Frame,Time,RightHand_Accel_X,RightHand_Accel_Y,RightHand_Accel_Z,LeftHand_Accel_X,LeftHand_Accel_Y,LeftHand_Accel_Z
0,0.0,-129579.77348667197,102628.73938035395,50400.85460447731,141874.580339975,104336.3690452824,-31503.19203461837
1,0.02,-112205.13907893538,88867.2952438173,43642.16971569408,122849.89034435124,90346.31299969729,-27278.46150183775
2,0.04,-83447.36013716203,66090.05936921595,32455.23529588835,91360.71345491151,67190.57977976467,-20285.921214570702
3,0.06,-52592.14282124009,41651.7746062235,20451.979149881783,57574.338759931656,42346.01066823495,-12783.571556214361
4,0.08,-27675.409585926074,21917.177532653008,10758.52427772717,30290.10984570116,22283.165290442845,-6725.603277799098
5,0.1,-11995.109647522957,9498.393692603404,4658.286908625521,13120.126290836035,9657.763119813253,-2914.1882193788897
6,0.12,-4232.712627974656,3351.2490221031408,1638.8866672761174,4621.615764525438,3408.3188595906668,-1028.8821928665618
7,0.14,-1203.4531925221368,953.3119230649976,461.60753727484837,1307.3440272893924,970.2099328919851,-295.1327249849339
8,0.16,-271.78349219376815,216.6927715734777,100.93049722935,290.1736525066014,220.5134837276677,-71.49283391406082
9,0.18,-46.509170941950785,38.702061540409986,15.215599249368783,45.11734027537417,38.26586993570393,-18.891487827557075
10,0.2,-5.251799358914944,5.004862724388238,0.9946810972005043,-0.5260871987969153,2.819936005595287,-9.805179739316404
11,0.22,-2.215075716983656,0.36073658178125056,1.6528168781021382,-5.512154791050926,-2.2015935146059604,-8.818498734080197
12,0.24,-4.220249346496269,-0.4374685909403279,4.5369541660667885,-4.207524271358392,-1.9247532671907743,-8.287188448232708
13,0.26,-3.887213949931139,-1.9951876639359218,6.747078679953287,-2.955962898953453,-1.180350968209145,-7.035347071464978
14,0.28,-0.9272066145088329,-3.9309996741383415,7.626954599197811,-1.8215695334428847,-0.4564818729497274,-5.72818967393202
15,0.3,3.279610051428354,-5.477081480272833,6.9531935100920155,-0.8778078595256399,-0.22443487099804343,-5.268849531944352
16,0.32,6.641639529576393,-5.8707146864306985,5.136726366582348,-0.25242871114007787,-0.6894570548841545,-6.0761662976319695
17,0.34,7.8002380671957745,-4.796987996395889,2.9377153720530247,0.06885322677703282,-1.7193154046412966,-7.588543494983481
18,0.36,6.9027932045318945,-2.584091662230219,0.9468936314167682,0.396789982963828,-2.961453001195858,-8.525890513383636
19,0.38,5.043882461233686,-0.010592926439405237,-0.6188049964772764,1.0928621364698439,-3.986713564751992,-7.680030375218601
20,0.4,3.0389201319691486,2.1346659510172366,-1.7242869586705452,2.129855048967856,-4.383686614340025,-4.640204415321085
21,0.42,0.9977889507987812,3.415262579100922,-2.376461798416702,3.025354133492278,-3.8616500257504267,-0.0014792220201539363
22,0.44,-0.8965689653008184,3.7971583733838363,-2.7643450598269736,3.280671233903562,-2.3898532580428737,4.972389182297981
23,0.46,-1.7496186510913971,3.4553979942494433,-3.3237363259659762,2.8071906421051143,-0.29223371193259784,8.856057181660201
24,0.48,-0.6175743853291229,2.606478003368059,-4.389730657466473,1.8657722210828531,1.836440800785799,10.497966707943416
25,0.5,2.3317615334097685,1.4920719845441148,-5.766971216935049,0.704366765276741,3.415738644125608,9.519218877367853
