Frame,Time,RightHand_Accel_X,RightHand_Accel_Y,RightHand_Accel_Z,LeftHand_Accel_X,LeftHand_Accel_Y,LeftHand_Accel_Z
0,0.0,38.219327863874085,28.175396543309127,26.27376220587255,11.09084397186411,3.5730295759326256,15.686712568165131
1,0.016667,34.231076459861896,26.085129658937166,20.765632370852106,9.595443890311413,2.907215743653954,13.733052406260999
2,0.033334,27.27670357337172,22.064658014601104,11.19259336167646,7.540916015909092,1.9264694881052657,10.288765537651424
3,0.050001000000000004,19.129177158848258,16.28979576747954,0.4604131968620187,5.531805781146097,1.0596420800832171,5.79683192752354
4,0.066668,11.59066185028294,9.10260273922895,-8.150086519032067,3.2623451698754495,0.5257014581998003,0.4569656445066328
5,0.083335,5.61903526526178,1.4262474634709417,-12.829658709713023,0.5051894718423975,0.32941429386708637,-5.335639772662937
6,0.10000200000000001,1.045052887009977,-5.313863957982891,-14.043500596921938,-2.059029465684458,0.4222099958936055,-10.429906083154188
7,0.11666900000000001,-2.8228743071433193,-10.038541524958454,-13.649780825035933,-3.7246666189841973,0.6682215120737276,-13.05768565848764
8,0.133336,-6.333439235172799,-12.69944157960535,-13.410639685245616,-4.957215282240515,0.7566787351559199,-11.840874935212987
9,0.150003,-9.22316654948057,-13.955192989571088,-13.992128478183616,-6.746866012400907,0.47912379081242984,-6.970654221469469
10,0.16667,-10.994463713382352,-14.330306230348056,-14.792834488477768,-8.927873675525653,0.09796815850311563,-0.4465248740290248
11,0.18333700000000003,-11.342154254749396,-13.88408421410223,-14.58671882601707,-10.04428098732706,0.12583017940616603,5.136194981489093
12,0.20000400000000002,-10.413551710060316,-12.572792193246027,-12.685685361068646,-8.99724385550368,0.648915012963063,8.301522270598674
13,0.216671,-9.059109150942252,-10.647938053544733,-9.795021359123263,-6.261593495929603,1.0622734253419084,9.337562808708245
14,0.23333800000000002,-8.667204509433127,-8.58376733256799,-7.608967646719206,-3.488521597540133,0.5825709652640988,9.433596581512768
15,0.25000500000000003,-10.045153258468702,-6.716289317929319,-7.164317370453351,-2.30452787555759,-0.960034546987629,9.235070348046536
16,0.266672,-12.275176942115102,-5.084976518890396,-7.4779248788342185,-3.249556022356275,-2.7575414045943223,8.081091418869526
17,0.283339,-13.25775413324725,-3.6098443884337374,-6.230946710917737,-5.3769849861235315,-3.4775153145238735,4.751460738366863
18,0.300006,-11.618527839330678,-2.2964045516942617,-2.193994133588416,-7.03698342923893,-2.3260640677035944,-0.7378496389199005
19,0.31667300000000004,-7.69682501297622,-1.2603269891668005,3.1973569959028376,-7.399603636440936,0.1957796074612712,-6.313154962641335
20,0.33334,-2.803313186638446,-0.691973310233296,6.9892889346594265,-7.05645880705367,2.698650778899812,-9.386300241496231
21,0.350007,1.7323520413313285,-0.8439284855038843,7.19424442282289,-7.050842971097815,4.065161970324857,-9.13898042177235
22,0.36667400000000006,4.715568419637098,-1.941604384283095,3.7391076191619965,-7.740480906462011,4.077870792418535,-6.840121994032875
23,0.38334100000000004,5.034958235988936,-4.044884134355201,-2.616281176470304,-8.777537286954932,3.0916357684696902,-4.223975775244559
24,0.40000800000000003,1.9729756648124117,-6.962387368136426,-11.167095646344626,-9.748758779221479,1.5208682047269741,-2.2029292988022684
25,0.416675,-4.104012039696139,-10.05687746864145,-20.524479462030772,-10.459787071245167,-0.25489741070072186,-0.9559875714219608
26,0.433342,-11.013134940239283,-12.034213986076416,-27.738229743862064,-10.763937654390894,-1.8082583712625033,-0.4266844284178999
27,0.45000900000000005,-15.256086013121354,-11.521035867491253,-29.63541168521234,-10.48298465161959,-2.816260462188948,-0.34380225895197203
28,0.46667600000000004,-14.498621010953276,-8.501938241058362,-25.845803888525097,-9.578730885710021,-3.300191184414942,-0.10103232241199944
29,0.483343,-9.689488571247056,-4.865304272388769,-19.728395607174242,-8.227975303586108,-3.474789477984686,0.9307506236164591
30,0.5000100000000001,-3.971264767417714,-2.825789701372428,-15.162053073743541,-6.67332567660143,-3.3077638211006497,2.8853339979343575
31,0.516677,0.12759797285656083,-2.865782277910752,-12.656394810911795,-5.120985453401708,-2.50633714081671,5.220959084340582
32,0.533344,1.6664788806491966,-3.559366563958301,-9.41881386810434,-3.7810173067826507,-1.0558910641161106,6.890141709821812
33,0.550011,0.6410982662907809,-3.067171380957295,-2.8148599588739946,-2.810719838047464,0.5139122992847067,6.6844214734632885
34,0.566678,-1.9072656186283878,-0.4014114688777496,7.196998789470992,-2.121632563588606,1.5639714360514634,3.9225717839252465
35,0.583345,-3.644133779252375,4.270523845589187,18.621393780403952,-1.3755311986119054,1.8875282529791002,-0.774396352045745
36,0.600012,-2.4708480974977416,9.799071520922391,28.997030209513007,-0.291440573700229,1.8214816592147935,-5.6496835387924715
37,0.6166790000000001,1.4035083262010515,14.54104770283632,36.129111329370204,1.1257552482455924,2.001525640402534,-9.084019011019858
38,0.6333460000000001,5.531010492771765,17.201636140750168,38.45886770116271,2.773542742203394,2.9114676584596384,-10.558762208992633
39,0.6500130000000001,7.422764054841389,17.460630060484853,35.71854143387464,4.735473568894672,4.423356618427109,-10.386679034022839
40,0.66668,6.439067632131367,15.742259133487435,29.114337157297502,7.024217168949871,5.771315876391746,-9.064793802672671
41,0.683347,3.7152557156465527,12.46652472899678,20.584489647956122,8.932863097430065,6.0992421346271275,-7.129143232187696
42,0.700014,0.8367376499441375,7.8202168707187765,12.067075840656853,9.113971146298681,5.109008452043755,-5.122951978090438
43,0.716681,-1.123900899535585,2.31680334903243,5.243017539163004,6.801083930737472,3.260218706511162,-3.28224326208233
44,0.7333480000000001,-1.7489100630734487,-2.822011241941624,0.9864001196347559,2.81908732857039,1.3925553297933417,-1.393026546382723
45,0.7500150000000001,-1.0247242887956385,-6.175758161384548,-1.303129814537925,-0.9834475652155534,0.11122145056614874,0.8646522402627062
46,0.7666820000000001,0.9876650974969082,-6.976595555785698,-3.1200186171203947,-3.2706510717180515,-0.5205207179424598,3.477941325080144
47,0.7833490000000001,4.1072250545356574,-5.5761532060496215,-5.3124905295121065,-4.047091732209067,-0.7650997642818085,5.991563440733886
48,0.8000160000000001,7.426962781504341,-3.439503703765544,-7.626282625509475,-4.162755264847967,-0.8441072258745128,7.74276615404447
49,0.816683,9.227637416198005,-2.4832622162567954,-9.648391300170694,-4.277660162695315,-0.8933283329654782,8.28252724817997
50,0.83335,8.394304036684275,-3.5735836274458004,-11.157563275227426,-4.346227197537308,-1.169080208532053,7.734265851976635
51,0.850017,6.081698231685001,-5.280005296373036,-11.26987788138156,-3.9695749320403424,-1.9766940608051704,6.673206789514194
52,0.866684,5.245680506286997,-4.6921340046531395,-8.423722572153313,-2.999904020422319,-3.1374760427306185,5.423593146094783
