gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
6.28,-31.341,1.341,0.673,-0.43,0.0
5.061,-31.524,2.805,0.696,-0.435,0.0
3.841,-31.524,3.963,0.719,-0.441,0.0
2.5,-31.524,4.756,0.746,-0.449,0.0
0.793,-31.159,5.305,0.78,-0.46,0.0
-0.61,-30.549,5.671,0.809,-0.467,0.0
-1.951,-29.817,5.549,0.833,-0.468,0.0
-3.049,-28.902,4.817,0.86,-0.468,0.0
-3.72,-27.927,4.085,0.891,-0.468,0.0
-4.085,-26.768,2.988,0.917,-0.465,0.0
-3.963,-25.671,1.585,0.936,-0.463,0.0
-3.659,-24.329,0.0,0.953,-0.467,0.0
-3.354,-22.805,-1.524,0.969,-0.464,0.0
-2.622,-21.341,-3.171,0.982,-0.458,0.0
-1.89,-19.634,-4.817,1.0,-0.457,0.0
-1.037,-17.866,-6.524,1.013,-0.453,0.0
-0.305,-16.098,-8.171,1.019,-0.457,0.0
0.671,-14.207,-9.878,1.022,-0.456,0.0
1.829,-12.378,-11.22,1.028,-0.458,0.0
2.866,-10.488,-12.805,1.028,-0.456,0.0
3.78,-8.72,-14.268,1.03,-0.447,0.0
4.878,-7.073,-15.488,1.026,-0.444,0.0
6.098,-5.366,-16.829,1.024,-0.44,0.0
6.951,-3.78,-18.171,1.02,-0.435,0.0
8.049,-2.622,-19.329,1.005,-0.438,0.0
8.902,-1.585,-20.305,0.994,-0.431,0.0
9.817,-0.61,-21.159,0.976,-0.419,0.0
10.427,0.305,-21.707,0.961,-0.406,0.0
10.976,1.159,-22.317,0.945,-0.392,0.0
11.28,1.585,-22.561,0.926,-0.377,0.0
11.707,1.951,-22.5,0.909,-0.365,0.0
12.073,2.317,-22.317,0.893,-0.354,0.0
12.256,2.439,-21.951,0.874,-0.341,0.0
12.378,2.195,-21.402,0.856,-0.332,0.0
12.317,1.707,-20.793,0.847,-0.327,0.0
12.256,1.28,-20.366,0.833,-0.321,0.0
11.829,0.61,-19.634,0.818,-0.318,0.0
11.159,-0.061,-18.78,0.803,-0.315,0.0
10.244,-0.671,-17.683,0.783,-0.307,0.0
8.963,-1.707,-16.646,0.772,-0.3,0.0
7.439,-2.561,-15.488,0.756,-0.291,0.0
6.22,-3.293,-14.207,0.74,-0.28,0.0
4.573,-4.207,-12.561,0.728,-0.283,0.0
2.805,-5.183,-10.732,0.72,-0.281,0.0
1.037,-6.159,-8.841,0.708,-0.275,0.0
-0.854,-6.951,-6.768,0.697,-0.264,0.0
-2.561,-7.927,-4.634,0.695,-0.261,0.0
