gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-6.098,6.28,-27.256,0.788,0.182,0.338
-7.073,7.256,-28.841,0.784,0.168,0.327
-9.573,8.049,-30.305,0.781,0.155,0.328
-11.768,9.024,-32.195,0.772,0.159,0.325
-15.061,10.732,-34.329,0.761,0.166,0.314
-20.244,12.561,-36.159,0.752,0.167,0.309
-24.756,14.451,-38.11,0.74,0.169,0.309
-31.28,16.341,-40.183,0.722,0.173,0.294
-38.598,18.963,-41.585,0.701,0.178,0.273
-46.463,21.707,-42.988,0.694,0.191,0.268
-54.756,24.634,-45.244,0.682,0.204,0.259
-61.707,27.988,-47.927,0.669,0.216,0.254
-68.902,31.829,-50.244,0.666,0.221,0.262
-74.939,35.915,-52.622,0.675,0.211,0.271
-79.268,40.427,-55.427,0.689,0.193,0.277
-82.622,45,-58.78,0.702,0.192,0.27
-84.878,49.39,-62.195,0.694,0.187,0.268
-85.915,53.78,-66.22,0.691,0.164,0.271
-85.244,59.207,-70.427,0.691,0.123,0.272
-84.024,65,-74.39,0.693,0.08,0.258
-84.817,67.744,-77.927,0.687,0.045,0.241
-83.598,72.744,-82.5,0.688,0.001,0.236
-82.378,77.439,-87.012,0.694,-0.042,0.235
-80.305,82.317,-91.768,0.697,-0.067,0.259
-78.415,87.134,-96.89,0.672,-0.08,0.238
-76.159,92.073,-101.83,0.682,-0.108,0.256
-73.841,97.134,-106.77,0.688,-0.113,0.263
-71.098,102.32,-111.28,0.682,-0.11,0.262
-67.439,107.87,-115.55,0.676,-0.104,0.273
-63.659,112.99,-118.84,0.69,-0.098,0.285
-59.085,119.02,-122.62,0.699,-0.086,0.307
-53.232,127.19,-127.56,0.693,-0.067,0.336
-51.159,130.37,-129.21,0.689,-0.061,0.364
-47.866,133.84,-130.06,0.703,-0.04,0.403
-42.012,140.55,-132.5,0.73,-0.025,0.434
-37.439,146.1,-133.72,0.755,0,0.479
-33.537,151.4,-134.63,0.777,0.03,0.516
-28.598,156.22,-135.31,0.816,0.064,0.578
-22.439,161.1,-135.91,0.861,0.087,0.645
-14.878,166.65,-136.83,0.911,0.132,0.726
1.159,176.83,-137.81,0.973,0.171,0.796
41.89,195,-133.41,1.035,0.227,0.861
15,178.96,-126.04,1.104,0.294,0.908
23.963,185.24,-120.55,1.163,0.352,0.941
43.902,194.02,-115.49,1.216,0.398,0.986
95.305,205.18,-106.65,1.39,0.32,1.055
115.92,203.66,-85.732,1.311,0.675,1.1
101.95,190.73,-63.537,1.484,0.598,1.183
138.96,200.61,-38.415,1.591,0.642,1.258
168.66,203.35,-26.037,1.706,0.704,1.375
195.98,206.04,-11.28,1.918,0.674,1.367
229.02,205.91,9.207,1.909,1.009,1.564
256.65,201.52,33.293,2.309,1.087,1.56
337.38,197.07,52.439,2.319,1.106,1.509
325.67,185.98,65.366,2.462,1.183,1.546
287.81,186.16,79.024,2.684,1.358,1.456
289.76,198.72,94.512,2.843,1.497,1.399
256.65,205.55,120.79,2.896,1.599,1.304
201.95,200.31,148.48,2.949,1.779,1.085
135.43,192.19,183.66,3.138,2.068,1.095
47.561,179.51,220.91,3.137,2.346,0.846
-57.744,169.88,250.43,3.306,2.405,0.734
-165.37,167.01,272.74,3.037,2.986,0.571
-268.84,169.45,290.61,2.935,3.085,0.532
-382.93,172.07,314.88,2.801,3.062,0.375
-489.27,175.67,344.69,2.754,3.388,0.07
-583.78,183.23,374.45,2.759,3.556,-0.262
-669.82,190.12,405.79,2.573,3.783,-0.562
-735.98,198.35,437.01,2.411,4.114,-0.887
-771.16,204.57,466.89,2.25,4.275,-1.334
-786.28,208.23,495,2.067,4.145,-1.807
-767.07,221.4,536.16,1.926,3.952,-2.132
-688.48,265.92,575.73,1.708,3.731,-2.317
-623.6,296.52,591.59,1.434,3.445,-2.453
-552.56,328.6,629.88,1.203,3.142,-2.523
-497.81,359.69,651.22,0.981,2.843,-2.538
-460.55,383.6,675.85,0.688,2.417,-2.521
-417.81,406.34,692.38,0.124,2.421,-2.385
-396.16,439.15,696.04,0.038,2.333,-2.199
-379.69,476.95,674.21,-0.054,2.464,-2.202
-358.78,488.23,615.79,0.023,2.808,-2.271
-364.69,471.52,548.6,-0.162,2.696,-2.24
-336.52,472.01,481.04,-0.455,2.494,-2.07
-298.66,458.23,407.62,-0.817,2.349,-1.898
-293.17,388.54,335.06,-1.454,2.346,-1.778
-272.38,297.19,263.11,-2.395,2.573,-1.244
-224.45,216.89,194.69,-3.598,2.739,-1.005
-184.27,157.99,129.02,-4.562,1.921,-1.401
-141.4,93.232,64.024,-5.819,1.318,-1.413
-98.841,6.646,2.805,-6.602,0.772,-0.632
-56.037,-89.146,-47.073,-6.312,-0.034,-0.286
3.963,-160.98,-96.524,-5.609,-0.651,-0.647
45.671,-214.33,-125.06,-5.769,-1.006,-0.69
79.085,-254.33,-143.96,-6.565,-0.989,-0.477
119.63,-283.78,-146.52,-6.975,-0.98,-0.3
162.32,-295.85,-138.54,-6.715,-1.023,-0.146
206.04,-289.76,-129.02,-6.207,-0.954,-0.088
249.15,-272.38,-118.54,-5.81,-0.813,0.075
286.89,-249.51,-105.92,-5.444,-0.749,0.344
313.48,-226.46,-94.573,-4.912,-0.846,0.621
326.52,-207.44,-88.598,-4.284,-0.906,0.867
325.55,-194.33,-90.305,-3.827,-0.858,1.048
310.67,-185.79,-95.366,-3.521,-0.784,1.118
287.62,-175.73,-96.829,-3.179,-0.736,1.09
258.23,-169.27,-103.54,-2.819,-0.579,0.966
226.59,-165.06,-113.72,-2.517,-0.292,0.833
191.83,-162.13,-128.35,-2.352,-0.028,0.818
157.19,-163.17,-145.85,-2.05,0.158,0.923
122.5,-168.78,-164.02,-1.802,0.295,1.114
93.11,-176.28,-179.15,-1.527,0.41,1.296
69.207,-189.15,-193.23,-1.231,0.512,1.471
49.329,-203.05,-205.12,-0.976,0.63,1.558
34.146,-217.19,-216.22,-0.807,0.789,1.581
24.695,-233.41,-225.06,-0.615,0.813,1.512
20,-249.09,-231.89,-0.483,0.841,1.387
20,-260.85,-237.38,-0.307,0.859,1.228
23.841,-267.99,-240.37,-0.131,0.848,1.044
30.244,-271.71,-239.09,0.038,0.822,0.905
39.512,-274.82,-235.18,0.238,0.811,0.792
51.037,-275.61,-229.57,0.454,0.792,0.704
63.902,-272.56,-223.11,0.662,0.761,0.636
78.78,-270,-216.1,0.825,0.702,0.528
94.695,-265.61,-209.09,0.937,0.655,0.357
112.81,-257.19,-200.43,1.017,0.598,0.17
129.82,-244.63,-190.06,1.095,0.548,0.01
148.41,-235,-177.93,1.153,0.511,-0.111
166.28,-226.46,-164.33,1.174,0.457,-0.211
175.61,-222.19,-156.34,1.21,0.397,-0.293
181.46,-217.93,-144.45,1.266,0.343,-0.321
184.39,-213.23,-136.77,1.267,0.298,-0.388
185.73,-208.84,-122.81,1.352,0.259,-0.404
177.32,-210.73,-123.9,1.291,0.258,-0.346
183.66,-207.5,-113.17,1.371,0.34,-0.344
172.13,-207.44,-106.52,1.331,0.345,-0.325
158.96,-205.37,-100.85,1.46,0.378,-0.329
158.96,-203.66,-90.488,1.314,0.389,-0.264
139.88,-204.69,-85.488,1.437,0.367,-0.307
130.85,-199.76,-80.183,1.397,0.385,-0.235
123.72,-202.07,-72.012,1.358,0.306,-0.11
119.82,-202.68,-67.866,1.475,0.284,-0.162
93.293,-213.6,-64.939,1.332,0.24,-0.018
79.085,-219.09,-56.524,1.427,0.098,0.083
72.317,-217.56,-50.915,1.421,0.191,0.123
57.134,-217.5,-46.89,1.42,0.005,0.314
43.415,-216.4,-41.768,1.394,0.12,0.349
30.854,-213.35,-37.317,1.401,0.054,0.532
18.476,-208.84,-34.451,1.406,-0.028,0.485
10.366,-198.9,-34.329,1.366,-0.047,0.5
1.829,-189.88,-34.329,1.364,-0.029,0.458
-18.963,-190.18,-32.622,1.338,-0.029,0.401
-21.951,-179.45,-33.963,1.326,-0.041,0.363
-29.085,-171.34,-35.122,1.319,-0.049,0.338
-39.451,-170.06,-33.72,1.358,-0.089,0.328
-36.646,-161.71,-33.354,1.347,0.002,0.324
-37.866,-153.54,-35.671,1.406,-0.083,0.264
-33.659,-146.4,-34.939,1.409,-0.121,0.348
-28.659,-137.93,-34.085,1.397,-0.096,0.392
-25.732,-129.57,-32.744,1.428,-0.169,0.357
-20.61,-121.16,-29.268,1.428,-0.226,0.369
-16.524,-112.32,-26.524,1.451,-0.251,0.383
-13.232,-104.21,-24.939,1.453,-0.262,0.38
-8.78,-96.098,-22.927,1.457,-0.252,0.393
-6.098,-87.866,-21.829,1.456,-0.235,0.399
-2.866,-79.573,-20.305,1.446,-0.233,0.394
1.707,-71.402,-17.805,1.417,-0.207,0.416
3.841,-64.085,-16.037,1.381,-0.179,0.433
3.78,-57.195,-13.537,1.354,-0.153,0.432
4.451,-50.305,-11.463,1.325,-0.106,0.427
4.451,-44.512,-10,1.324,-0.074,0.411
4.451,-38.476,-7.744,1.298,-0.049,0.399
3.049,-32.622,-5.732,1.285,-0.024,0.419
