gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-389.45,-166.46,-736.83,-1.781,4.317,-2.974
-370.12,-174.94,-763.41,-1.423,3.903,-3.05
-342.81,-190.91,-786.65,-1.078,3.866,-3.14
-322.01,-202.87,-804.76,-0.688,3.813,-3.237
-302.62,-214.09,-816.77,-0.351,3.648,-3.348
-282.26,-231.71,-823.48,0.074,3.69,-3.254
-264.82,-250.12,-824.94,0.378,3.54,-3.333
-249.27,-271.71,-821.89,0.685,3.446,-3.264
-235.85,-292.07,-816.65,0.885,3.294,-3.265
-227.07,-310.98,-808.72,1.049,3.177,-3.201
-227.81,-335.55,-796.16,1.177,3.07,-3.165
-229.76,-351.46,-779.7,1.231,2.972,-3.087
-228.35,-358.48,-761.04,1.254,2.921,-3.005
-226.4,-363.6,-735.55,1.259,2.879,-2.951
-221.52,-366.4,-698.35,1.241,2.879,-2.863
-208.48,-368.05,-646.52,1.243,2.857,-2.805
-186.34,-368.35,-575.85,1.216,2.838,-2.665
-154.21,-361.16,-485.37,1.209,2.811,-2.564
-121.22,-360.79,-389.82,1.211,2.753,-2.475
-98.841,-360.98,-297.93,1.296,2.723,-2.373
-85.915,-338.84,-217.93,1.497,2.684,-2.325
-92.927,-310.37,-164.82,1.715,2.626,-2.235
-91.829,-287.01,-136.95,1.88,2.565,-2.188
-100.98,-240.98,-131.46,2.04,2.429,-2.268
-154.76,-207.68,-137.19,2.021,2.187,-2.164
-145.67,-180.67,-136.1,2.17,1.826,-2.311
-138.48,-158.11,-127.32,2.387,1.327,-2.742
-140.49,-137.93,-109.82,2.768,0.923,-2.709
-134.33,-114.57,-86.098,3.328,0.569,-2.427
-125.06,-90.061,-60.488,3.648,0.18,-2.25
-114.08,-64.451,-36.707,3.909,-0.015,-1.958
-102.5,-38.78,-17.683,4.124,-0.337,-1.624
-90.793,-12.439,-5.488,4.374,-0.381,-1.134
-80.488,12.5,1.707,4.574,-0.121,-0.758
-67.012,32.988,4.146,4.696,-0.146,-0.516
-55.488,52.195,0.915,4.783,-0.274,-0.396
-42.927,65.854,-4.39,4.849,-0.463,-0.369
-22.317,72.927,-8.902,4.91,-0.663,-0.374
1.402,74.085,-10.976,4.938,-0.833,-0.374
28.293,69.695,-8.537,4.899,-0.995,-0.324
61.098,64.207,-1.28,4.781,-1.093,-0.179
90.549,55.183,9.878,4.646,-1.151,-0.006
121.58,44.207,22.195,4.437,-1.206,0.195
151.77,36.098,34.573,4.168,-1.227,0.42
178.17,30.427,47.988,3.891,-1.226,0.63
199.02,29.939,62.866,3.633,-1.209,0.839
208.72,38.293,78.232,3.402,-1.185,1.023
226.22,35.854,93.963,3.207,-1.234,1.154
235.55,40.915,109.02,3.004,-1.211,1.256
242.32,49.39,122.87,2.795,-1.164,1.311
241.4,59.756,137.44,2.615,-1.115,1.362
236.77,73.232,151.77,2.454,-1.026,1.405
234.15,87.927,163.9,2.358,-0.832,1.475
221.28,104.27,174.15,2.151,-0.757,1.492
