gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
18.902,1.646,-59.329,0.417,-0.21,0.413
22.012,4.146,-56.28,0.385,-0.215,0.41
24.939,7.012,-53.171,0.353,-0.227,0.397
27.866,10.122,-49.695,0.319,-0.245,0.39
30.732,13.659,-46.037,0.289,-0.271,0.389
33.354,16.341,-42.195,0.26,-0.304,0.392
36.28,18.354,-38.232,0.232,-0.337,0.394
38.537,19.817,-34.512,0.207,-0.375,0.412
40.366,20.732,-30.671,0.177,-0.413,0.418
41.402,21.28,-27.134,0.148,-0.445,0.423
41.707,21.585,-23.537,0.12,-0.481,0.424
41.402,21.768,-20.122,0.088,-0.512,0.43
40.305,22.256,-16.524,0.065,-0.542,0.431
38.171,22.866,-12.988,0.037,-0.572,0.427
35.61,23.476,-9.756,0.022,-0.586,0.426
32.561,24.024,-6.707,0.02,-0.591,0.418
28.902,24.085,-3.841,0.025,-0.58,0.414
24.878,23.72,-1.098,0.047,-0.566,0.412
20.915,23.232,1.585,0.087,-0.544,0.437
16.463,22.5,4.451,0.13,-0.514,0.459
12.073,21.707,7.439,0.176,-0.49,0.476
7.927,20.732,10.366,0.23,-0.456,0.492
3.841,19.695,13.049,0.291,-0.414,0.506
0.427,18.415,15.183,0.353,-0.377,0.516
-1.524,16.89,16.768,0.421,-0.356,0.527
-3.171,14.756,17.683,0.494,-0.334,0.53
-4.512,12.317,18.598,0.566,-0.316,0.545
-5.305,9.024,19.085,0.63,-0.312,0.559
-6.098,4.939,19.39,0.694,-0.304,0.578
-6.402,0.732,19.512,0.764,-0.301,0.603
-6.768,-4.085,19.512,0.833,-0.297,0.64
-7.256,-8.963,19.451,0.888,-0.289,0.675
-8.78,-13.537,19.817,0.941,-0.288,0.703
-10.976,-17.378,20.61,0.992,-0.278,0.729
-13.841,-20.122,21.951,1.039,-0.26,0.763
-17.317,-22.378,23.963,1.081,-0.24,0.789
-21.829,-24.39,26.524,1.122,-0.214,0.811
-27.439,-25.854,29.39,1.167,-0.181,0.835
-33.232,-26.829,32.134,1.203,-0.152,0.858
-38.902,-27.378,34.878,1.24,-0.118,0.881
-44.268,-27.744,37.317,1.276,-0.091,0.917
-48.72,-27.622,39.085,1.302,-0.071,0.926
-52.439,-27.195,40.732,1.32,-0.048,0.93
-54.39,-26.646,41.89,1.333,-0.037,0.938
-54.451,-25.976,42.5,1.332,-0.027,0.94
-53.537,-24.634,42.378,1.331,-0.018,0.932
-51.402,-23.171,41.829,1.328,-0.025,0.918
-47.866,-21.646,40.854,1.317,-0.035,0.904
-43.11,-20.366,39.573,1.302,-0.046,0.889
-37.927,-19.146,38.171,1.281,-0.054,0.872
-32.317,-17.561,36.341,1.254,-0.056,0.85
-26.585,-16.098,34.512,1.227,-0.065,0.828
-21.28,-14.573,32.561,1.193,-0.078,0.803
-17.073,-12.683,30.732,1.157,-0.082,0.785
-13.841,-10.305,28.841,1.116,-0.093,0.771
-11.707,-7.378,26.89,1.075,-0.104,0.754
-10.366,-4.512,24.939,1.033,-0.111,0.726
-9.756,-1.463,22.988,0.988,-0.11,0.701
-9.756,1.402,20.976,0.94,-0.112,0.68
-10.122,4.207,18.841,0.899,-0.112,0.663
-10.488,6.768,16.646,0.862,-0.106,0.645
-10.549,9.146,14.512,0.818,-0.104,0.629
-10.427,10.793,12.378,0.782,-0.101,0.616
-9.939,11.89,10.549,0.746,-0.1,0.606
-8.537,12.805,8.415,0.708,-0.103,0.592
-6.22,12.927,6.22,0.677,-0.115,0.583
-2.988,12.622,4.207,0.645,-0.126,0.57
0.488,11.707,2.378,0.614,-0.138,0.551
4.207,10.427,0.671,0.589,-0.155,0.524
8.171,8.72,-0.915,0.571,-0.167,0.503
12.561,6.768,-2.134,0.555,-0.179,0.488
16.89,4.39,-3.232,0.54,-0.186,0.478
20.793,1.707,-4.085,0.526,-0.196,0.477
24.573,-0.976,-5,0.52,-0.206,0.47
27.988,-3.659,-5.61,0.521,-0.208,0.467
30.305,-6.22,-6.28,0.517,-0.212,0.458
31.524,-8.72,-6.768,0.517,-0.213,0.447
32.012,-10.976,-6.951,0.518,-0.213,0.443
31.585,-12.805,-7.012,0.525,-0.205,0.442
30.244,-14.146,-6.829,0.534,-0.195,0.441
28.415,-14.817,-6.585,0.545,-0.188,0.443
26.159,-15.488,-6.037,0.559,-0.176,0.445
24.268,-16.098,-5.793,0.574,-0.166,0.457
22.073,-16.646,-5.488,0.587,-0.163,0.472
20.183,-17.195,-5.183,0.599,-0.159,0.49
18.841,-17.378,-4.939,0.612,-0.16,0.497
17.5,-17.378,-4.573,0.621,-0.162,0.518
15.976,-17.195,-4.085,0.632,-0.164,0.529
14.634,-16.707,-3.232,0.641,-0.165,0.547
13.78,-16.22,-2.134,0.652,-0.158,0.566
12.866,-15.732,-0.732,0.662,-0.158,0.583
11.951,-15.122,0.915,0.672,-0.152,0.602
11.037,-14.695,2.744,0.681,-0.153,0.614
9.817,-14.39,4.451,0.695,-0.146,0.625
8.171,-14.207,6.159,0.714,-0.135,0.631
6.463,-13.659,7.927,0.731,-0.124,0.638
