gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
18.902,1.646,-59.329,0.417,-0.21,0.0
22.012,4.146,-56.28,0.385,-0.215,0.0
24.939,7.012,-53.171,0.353,-0.227,0.0
27.866,10.122,-49.695,0.319,-0.245,0.0
30.732,13.659,-46.037,0.289,-0.271,0.0
33.354,16.341,-42.195,0.26,-0.304,0.0
36.28,18.354,-38.232,0.232,-0.337,0.0
38.537,19.817,-34.512,0.207,-0.375,0.0
40.366,20.732,-30.671,0.177,-0.413,0.0
41.402,21.28,-27.134,0.148,-0.445,0.0
41.707,21.585,-23.537,0.12,-0.481,0.0
41.402,21.768,-20.122,0.088,-0.512,0.0
40.305,22.256,-16.524,0.065,-0.542,0.0
38.171,22.866,-12.988,0.037,-0.572,0.0
35.61,23.476,-9.756,0.022,-0.586,0.0
32.561,24.024,-6.707,0.02,-0.591,0.0
28.902,24.085,-3.841,0.025,-0.58,0.0
24.878,23.72,-1.098,0.047,-0.566,0.0
20.915,23.232,1.585,0.087,-0.544,0.0
16.463,22.5,4.451,0.13,-0.514,0.0
12.073,21.707,7.439,0.176,-0.49,0.0
7.927,20.732,10.366,0.23,-0.456,0.0
3.841,19.695,13.049,0.291,-0.414,0.0
0.427,18.415,15.183,0.353,-0.377,0.0
-1.524,16.89,16.768,0.421,-0.356,0.0
-3.171,14.756,17.683,0.494,-0.334,0.0
-4.512,12.317,18.598,0.566,-0.316,0.0
-5.305,9.024,19.085,0.63,-0.312,0.0
-6.098,4.939,19.39,0.694,-0.304,0.0
-6.402,0.732,19.512,0.764,-0.301,0.0
-6.768,-4.085,19.512,0.833,-0.297,0.0
-7.256,-8.963,19.451,0.888,-0.289,0.0
-8.78,-13.537,19.817,0.941,-0.288,0.0
-10.976,-17.378,20.61,0.992,-0.278,0.0
-13.841,-20.122,21.951,1.039,-0.26,0.0
-17.317,-22.378,23.963,1.081,-0.24,0.0
-21.829,-24.39,26.524,1.122,-0.214,0.0
-27.439,-25.854,29.39,1.167,-0.181,0.0
-33.232,-26.829,32.134,1.203,-0.152,0.0
-38.902,-27.378,34.878,1.24,-0.118,0.0
-44.268,-27.744,37.317,1.276,-0.091,0.0
-48.72,-27.622,39.085,1.302,-0.071,0.0
-52.439,-27.195,40.732,1.32,-0.048,0.0
-54.39,-26.646,41.89,1.333,-0.037,0.0
-54.451,-25.976,42.5,1.332,-0.027,0.0
-53.537,-24.634,42.378,1.331,-0.018,0.0
-51.402,-23.171,41.829,1.328,-0.025,0.0
-47.866,-21.646,40.854,1.317,-0.035,0.0
-43.11,-20.366,39.573,1.302,-0.046,0.0
-37.927,-19.146,38.171,1.281,-0.054,0.0
-32.317,-17.561,36.341,1.254,-0.056,0.0
-26.585,-16.098,34.512,1.227,-0.065,0.0
-21.28,-14.573,32.561,1.193,-0.078,0.0
-17.073,-12.683,30.732,1.157,-0.082,0.0
-13.841,-10.305,28.841,1.116,-0.093,0.0
-11.707,-7.378,26.89,1.075,-0.104,0.0
-10.366,-4.512,24.939,1.033,-0.111,0.0
-9.756,-1.463,22.988,0.988,-0.11,0.0
-9.756,1.402,20.976,0.94,-0.112,0.0
-10.122,4.207,18.841,0.899,-0.112,0.0
-10.488,6.768,16.646,0.862,-0.106,0.0
-10.549,9.146,14.512,0.818,-0.104,0.0
-10.427,10.793,12.378,0.782,-0.101,0.0
-9.939,11.89,10.549,0.746,-0.1,0.0
-8.537,12.805,8.415,0.708,-0.103,0.0
-6.22,12.927,6.22,0.677,-0.115,0.0
-2.988,12.622,4.207,0.645,-0.126,0.0
0.488,11.707,2.378,0.614,-0.138,0.0
4.207,10.427,0.671,0.589,-0.155,0.0
8.171,8.72,-0.915,0.571,-0.167,0.0
12.561,6.768,-2.134,0.555,-0.179,0.0
16.89,4.39,-3.232,0.54,-0.186,0.0
20.793,1.707,-4.085,0.526,-0.196,0.0
24.573,-0.976,-5.0,0.52,-0.206,0.0
27.988,-3.659,-5.61,0.521,-0.208,0.0
30.305,-6.22,-6.28,0.517,-0.212,0.0
31.524,-8.72,-6.768,0.517,-0.213,0.0
32.012,-10.976,-6.951,0.518,-0.213,0.0
31.585,-12.805,-7.012,0.525,-0.205,0.0
30.244,-14.146,-6.829,0.534,-0.195,0.0
28.415,-14.817,-6.585,0.545,-0.188,0.0
26.159,-15.488,-6.037,0.559,-0.176,0.0
24.268,-16.098,-5.793,0.574,-0.166,0.0
22.073,-16.646,-5.488,0.587,-0.163,0.0
20.183,-17.195,-5.183,0.599,-0.159,0.0
18.841,-17.378,-4.939,0.612,-0.16,0.0
17.5,-17.378,-4.573,0.621,-0.162,0.0
15.976,-17.195,-4.085,0.632,-0.164,0.0
14.634,-16.707,-3.232,0.641,-0.165,0.0
13.78,-16.22,-2.134,0.652,-0.158,0.0
12.866,-15.732,-0.732,0.662,-0.158,0.0
11.951,-15.122,0.915,0.672,-0.152,0.0
11.037,-14.695,2.744,0.681,-0.153,0.0
9.817,-14.39,4.451,0.695,-0.146,0.0
8.171,-14.207,6.159,0.714,-0.135,0.0
6.463,-13.659,7.927,0.731,-0.124,0.0
4.329,-12.927,9.695,0.745,-0.111,0.0
1.829,-11.951,11.402,0.765,-0.099,0.0
-0.549,-11.037,12.805,0.785,-0.094,0.0
-2.5,-9.939,13.902,0.806,-0.093,0.0
-4.146,-8.72,15.0,0.825,-0.09,0.0
-5.671,-7.744,15.854,0.841,-0.097,0.0
-6.341,-6.768,16.341,0.851,-0.108,0.0
-6.524,-5.549,16.463,0.861,-0.123,0.0
-6.22,-4.39,16.22,0.863,-0.134,0.0
-5.366,-3.415,15.854,0.865,-0.15,0.0
-4.878,-2.622,15.427,0.861,-0.17,0.0
-4.39,-2.195,15.305,0.854,-0.189,0.0
-4.207,-2.012,15.305,0.847,-0.198,0.0
-4.39,-1.829,15.244,0.837,-0.208,0.0
-4.939,-1.829,15.305,0.83,-0.215,0.0
-5.793,-1.89,15.122,0.83,-0.216,0.0
-7.195,-1.707,14.817,0.834,-0.211,0.0
-8.78,-1.402,14.695,0.838,-0.206,0.0
-10.732,-1.098,14.817,0.85,-0.198,0.0
-12.805,-0.671,14.695,0.858,-0.19,0.0
-14.268,-0.427,14.573,0.86,-0.174,0.0
-15.122,0.061,14.573,0.87,-0.164,0.0
-15.427,0.549,14.573,0.866,-0.152,0.0
-15.061,1.098,14.207,0.868,-0.144,0.0
-13.902,1.768,13.537,0.868,-0.143,0.0
-12.012,2.134,12.744,0.864,-0.146,0.0
-9.573,2.256,12.012,0.852,-0.152,0.0
-5.976,2.134,11.159,0.843,-0.164,0.0
-1.646,1.585,10.244,0.835,-0.174,0.0
2.5,0.671,9.268,0.818,-0.189,0.0
6.159,-0.549,8.415,0.8,-0.201,0.0
9.146,-1.707,7.866,0.787,-0.207,0.0
11.402,-2.805,7.5,0.767,-0.206,0.0
12.866,-3.78,7.317,0.747,-0.203,0.0
13.72,-4.634,7.195,0.736,-0.196,0.0
13.72,-5.305,7.073,0.729,-0.191,0.0
13.171,-5.854,7.012,0.726,-0.186,0.0
12.256,-6.28,6.829,0.728,-0.176,0.0
11.037,-6.707,6.463,0.726,-0.171,0.0
9.817,-6.951,6.159,0.728,-0.163,0.0
8.598,-6.951,5.732,0.729,-0.152,0.0
7.866,-6.707,5.488,0.725,-0.149,0.0
7.683,-6.463,5.061,0.721,-0.148,0.0
7.988,-5.976,4.756,0.718,-0.146,0.0
8.659,-5.366,4.573,0.717,-0.145,0.0
9.451,-4.817,4.268,0.717,-0.15,0.0
10.732,-4.695,3.78,0.715,-0.157,0.0
12.622,-5.061,3.354,0.708,-0.164,0.0
14.573,-5.671,2.622,0.699,-0.171,0.0
15.976,-6.463,1.829,0.694,-0.176,0.0
16.829,-6.89,1.341,0.694,-0.182,0.0
17.134,-7.195,1.098,0.689,-0.184,0.0
16.768,-7.317,1.037,0.688,-0.177,0.0
16.159,-7.378,1.28,0.693,-0.173,0.0
15.183,-6.89,1.768,0.697,-0.171,0.0
13.841,-6.28,2.073,0.701,-0.165,0.0
12.256,-5.732,2.561,0.71,-0.156,0.0
10.976,-5.183,2.866,0.715,-0.146,0.0
10.122,-4.207,3.049,0.718,-0.14,0.0
9.146,-3.293,3.232,0.719,-0.135,0.0
8.293,-2.256,3.415,0.719,-0.128,0.0
7.805,-1.28,3.78,0.713,-0.134,0.0
7.805,-0.61,4.451,0.713,-0.136,0.0
8.476,-0.122,5.061,0.71,-0.142,0.0
