gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-8.963,12.805,4.817,1.021,-0.18,0.609
-8.232,13.963,5.366,1.036,-0.169,0.604
-6.524,14.085,6.098,1.078,-0.132,0.585
-4.573,13.049,7.927,1.135,-0.095,0.574
-6.341,14.39,8.049,1.171,-0.032,0.549
-4.329,17.256,8.537,1.17,-0.023,0.54
-0.122,20.244,8.963,1.202,0.04,0.506
1.951,21.159,9.878,1.364,0.171,0.521
5.183,20.915,10.427,1.433,0.219,0.526
6.341,20.732,10.732,1.469,0.261,0.537
6.341,22.073,9.756,1.51,0.314,0.542
6.341,21.341,9.573,1.618,0.372,0.532
5.305,19.329,10,1.816,0.504,0.496
2.927,19.024,9.817,1.952,0.589,0.434
0.122,19.756,8.598,2.129,0.71,0.379
-2.5,19.634,7.256,2.28,0.829,0.338
-4.695,19.695,6.159,2.456,0.865,0.313
-6.707,20.732,4.939,2.506,0.964,0.225
-10.122,24.024,1.768,2.631,1.073,0.148
-11.524,27.744,-3.659,2.793,1.179,0.096
-11.037,29.024,-8.049,2.917,1.244,0.046
-10.854,33.659,-10.61,2.952,1.281,-0.014
-9.451,43.598,-16.402,3.05,1.266,-0.046
-4.573,52.378,-21.402,3.183,1.195,-0.078
4.451,58.171,-23.293,3.214,1.125,-0.118
15.854,59.451,-24.39,3.242,1.01,-0.145
28.049,62.195,-24.329,3.146,0.938,-0.176
42.195,65.732,-25.549,3.073,0.896,-0.163
58.293,68.293,-26.646,3.013,0.791,-0.12
73.293,72.134,-28.902,2.923,0.676,-0.059
89.756,77.317,-31.768,2.787,0.559,-0.01
108.23,82.561,-33.171,2.622,0.458,0.031
124.39,83.598,-33.232,2.455,0.379,0.065
141.77,85.549,-32.622,2.291,0.28,0.12
160.91,88.659,-34.024,2.115,0.215,0.174
180.49,91.585,-35.732,1.854,0.175,0.176
198.78,90.61,-35.305,1.554,0.102,0.172
214.69,92.622,-32.683,1.341,0.091,0.149
230.49,97.5,-30.549,1.119,0.17,0.155
245.73,102.81,-26.768,0.786,0.133,0.224
261.71,109.39,-18.354,0.35,0.091,0.33
273.78,112.68,-7.561,-0.181,0.04,0.391
282.81,116.89,1.22,-0.73,0.145,0.329
291.04,123.29,10.427,-1.072,0.396,0.283
297.56,132.44,21.28,-1.416,0.553,0.302
302.62,142.74,35.305,-1.874,0.391,0.316
306.89,153.9,50.793,-2.376,0.198,0.312
310.24,167.01,66.28,-2.82,0.054,0.302
311.22,184.94,82.866,-3.108,-0.031,0.434
305.92,204.94,99.329,-3.409,-0.157,0.599
296.89,223.96,117.5,-3.84,-0.209,0.671
284.76,244.09,137.81,-4.201,-0.251,0.601
267.5,270.49,157.32,-4.342,-0.263,0.558
249.21,299.69,179.09,-4.344,-0.055,0.655
232.38,328.72,202.68,-4.461,-0.083,0.68
214.39,353.6,223.96,-4.516,-0.059,0.474
194.02,372.32,247.99,-4.193,0.118,0.254
167.74,385.55,273.84,-3.793,0.033,0.282
139.09,397.62,293.48,-3.58,-0.28,0.516
112.68,409.57,302.44,-3.368,-0.624,1.001
89.512,415.61,312.56,-3.002,-1.097,1.791
75.671,416.46,325.18,-2.571,-0.941,1.809
68.598,410.49,344.69,-1.886,0.393,0.335
69.573,407.93,355.49,-0.721,1.342,-0.568
75.976,408.6,360.67,0.251,0.871,-0.298
85.122,401.65,365.92,0.883,0.353,0.295
101.83,387.01,369.63,1.271,0.167,0.679
117.32,367.99,373.78,1.117,-0.368,0.943
129.21,349.45,371.1,0.418,-0.893,1.298
138.11,321.1,361.71,-0.205,-0.912,1.507
131.83,278.23,349.15,-0.511,-0.482,1.454
111.89,240,331.65,-0.493,-0.229,1.165
99.878,208.29,308.23,-0.32,-0.222,0.91
98.659,166.46,275.67,-0.265,-0.03,0.806
105.67,104.88,236.65,-0.285,0.155,0.794
97.561,29.085,183.11,-0.284,0.292,0.817
39.268,-49.268,139.02,-0.274,0.456,0.9
-36.463,-108.96,102.13,-0.333,0.663,0.935
-103.11,-120.92,56.646,-0.403,0.811,0.902
-159.63,-123.05,9.573,-0.42,0.888,0.871
-200.91,-111.4,-45.915,-0.402,0.906,0.868
-204.21,-70.671,-97.927,-0.368,0.906,0.917
-166.22,-27.744,-119.27,-0.303,0.87,0.98
-111.04,-6.037,-128.6,-0.266,0.762,1.054
-61.829,-5.671,-122.74,-0.3,0.565,1.11
-26.037,-11.037,-111.58,-0.372,0.383,1.138
17.317,-11.341,-96.951,-0.439,0.258,1.131
65.366,-4.39,-79.573,-0.47,0.186,1.115
103.84,2.195,-61.89,-0.482,0.13,1.115
130.85,5.183,-45.549,-0.499,0.092,1.1
146.77,6.28,-28.902,-0.529,0.079,1.081
148.66,8.354,-17.317,-0.581,0.092,1.076
135.98,8.902,-13.841,-0.661,0.087,1.087
111.28,5.732,-14.695,-0.745,0.102,1.135
78.537,1.463,-18.902,-0.814,0.129,1.168
40.61,-2.683,-24.939,-0.854,0.132,1.223
0.427,-6.646,-33.11,-0.917,0.105,1.269
-37.378,-8.963,-42.073,-1.025,0.102,1.295
-68.11,-9.512,-51.89,-1.163,0.146,1.361
-87.988,-10.488,-60.854,-1.292,0.132,1.424
-97.744,-13.232,-68.841,-1.386,0.063,1.41
-99.39,-18.293,-76.707,-1.451,0.063,1.382
-94.39,-24.085,-84.695,-1.534,0.049,1.363
-84.573,-30.244,-93.232,-1.621,0.027,1.351
-72.927,-37.744,-102.13,-1.698,0.036,1.303
-61.341,-45.366,-111.34,-1.729,-0.024,1.259
-49.573,-52.927,-121.34,-1.753,-0.155,1.208
-37.927,-61.585,-131.77,-1.719,-0.203,1.2
-28.659,-72.439,-141.89,-1.646,-0.297,1.167
