gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
24.085,-12.866,-7.744,0.692,-0.543,0.0
23.72,-12.5,-8.72,0.697,-0.547,0.0
24.024,-12.439,-9.756,0.692,-0.558,0.0
24.634,-12.622,-10.671,0.682,-0.572,0.0
25.305,-13.11,-11.463,0.677,-0.587,0.0
26.341,-13.354,-12.317,0.673,-0.607,0.0
27.439,-13.354,-12.988,0.669,-0.631,0.0
28.659,-13.476,-13.415,0.665,-0.651,0.0
29.939,-13.598,-13.415,0.661,-0.668,0.0
31.098,-13.72,-13.171,0.658,-0.684,0.0
32.134,-13.78,-12.622,0.658,-0.698,0.0
33.049,-13.963,-11.768,0.658,-0.706,0.0
33.598,-14.207,-10.732,0.659,-0.715,0.0
34.024,-14.451,-9.573,0.655,-0.725,0.0
34.024,-14.817,-8.476,0.651,-0.73,0.0
33.78,-15.061,-7.378,0.645,-0.738,0.0
33.11,-15.549,-6.707,0.644,-0.744,0.0
32.073,-16.037,-6.22,0.636,-0.75,0.0
30.671,-16.463,-5.976,0.63,-0.746,0.0
28.963,-17.073,-5.976,0.621,-0.736,0.0
27.134,-17.805,-6.037,0.611,-0.726,0.0
25.0,-18.476,-5.976,0.598,-0.707,0.0
22.805,-19.146,-6.037,0.591,-0.691,0.0
20.427,-19.634,-5.793,0.583,-0.673,0.0
18.293,-20.0,-5.366,0.58,-0.651,0.0
15.976,-20.244,-4.878,0.578,-0.637,0.0
13.598,-20.305,-4.512,0.579,-0.629,0.0
11.585,-20.183,-3.598,0.581,-0.62,0.0
9.695,-20.061,-2.744,0.584,-0.612,0.0
8.049,-20.183,-2.073,0.585,-0.602,0.0
6.646,-20.244,-1.098,0.589,-0.586,0.0
5.427,-20.183,-0.122,0.597,-0.577,0.0
4.756,-20.305,0.671,0.601,-0.572,0.0
4.39,-20.671,1.463,0.606,-0.563,0.0
4.329,-20.793,2.439,0.615,-0.557,0.0
4.756,-21.159,3.293,0.618,-0.55,0.0
5.427,-21.524,4.146,0.622,-0.542,0.0
6.646,-21.707,5.183,0.625,-0.542,0.0
7.988,-22.073,5.976,0.634,-0.538,0.0
9.512,-22.195,6.951,0.64,-0.536,0.0
11.28,-22.195,7.683,0.639,-0.542,0.0
13.049,-22.317,8.476,0.645,-0.542,0.0
15.0,-22.439,9.268,0.646,-0.54,0.0
16.951,-22.5,10.244,0.65,-0.543,0.0
18.72,-22.5,10.976,0.652,-0.542,0.0
20.366,-22.439,11.707,0.657,-0.545,0.0
21.89,-22.561,12.439,0.66,-0.547,0.0
23.049,-22.561,12.866,0.663,-0.548,0.0
23.659,-22.439,13.171,0.669,-0.555,0.0
23.841,-22.317,13.293,0.666,-0.559,0.0
23.841,-22.317,13.293,0.667,-0.556,0.0
