gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-22.012,-3.78,21.585,0.14,0.01,0.25
-28.11,-2.622,23.902,0.095,0.015,0.25
-35.061,-1.768,26.28,0.045,0.002,0.238
-42.988,-0.915,29.024,-0.002,-0.006,0.227
-50.549,0.122,32.134,-0.045,-0.002,0.221
-57.866,1.22,36.037,-0.086,-0.002,0.216
-65.305,2.012,40.366,-0.137,-0.016,0.208
-72.256,2.561,45.183,-0.176,-0.034,0.188
-78.354,3.049,50.183,-0.197,-0.034,0.146
-83.72,3.415,55.427,-0.186,-0.018,0.09
-88.171,3.537,60.671,-0.162,-0.001,0.057
-91.89,3.598,66.098,-0.114,0.008,0.021
-93.841,3.415,71.707,-0.079,0,-0.009
-95.427,2.744,77.866,-0.045,-0.027,-0.03
-96.098,1.707,84.39,0.036,-0.067,-0.073
-95.671,0.366,91.28,0.124,-0.108,-0.092
-94.634,-1.524,98.598,0.21,-0.151,-0.119
-93.659,-3.354,106.22,0.31,-0.245,-0.099
-92.988,-5.061,114.45,0.448,-0.389,-0.083
-92.195,-6.768,123.05,0.61,-0.539,-0.083
-92.317,-8.963,132.81,0.783,-0.72,-0.084
-93.049,-10.854,144.09,0.987,-0.964,-0.113
-95.488,-12.073,156.95,1.193,-1.294,-0.172
-100,-13.049,171.52,1.405,-1.729,-0.242
-105.55,-13.902,187.5,1.657,-2.253,-0.292
-111.77,-14.451,205.31,1.925,-2.829,-0.333
-119.15,-14.634,224.63,2.188,-3.469,-0.404
-127.44,-14.573,244.82,2.442,-4.138,-0.515
-136.16,-14.817,265.55,2.684,-4.773,-0.58
-145.79,-14.451,286.04,2.951,-5.351,-0.647
-155.37,-12.927,306.58,3.241,-5.952,-0.718
-165.12,-10.549,327.44,3.521,-6.453,-0.706
-173.84,-8.415,348.29,3.79,-6.944,-0.669
-183.11,-5.244,369.15,3.998,-7.343,-0.521
-193.6,-1.341,390.06,4.145,-7.506,-0.384
-202.01,2.5,411.22,4.214,-7.437,-0.324
-208.78,7.195,434.08,4.187,-7.299,-0.317
-212.87,13.598,458.05,4.054,-7.124,-0.311
-210.49,22.134,481.4,3.824,-6.853,-0.346
-199.51,34.146,503.96,3.501,-6.547,-0.403
-180.24,49.756,523.6,3.061,-6.086,-0.438
-152.68,71.341,536.16,2.526,-5.691,-0.543
-117.99,97.988,536.77,1.927,-5.305,-0.64
-74.634,128.54,522.07,1.317,-4.877,-0.761
-27.134,165.55,492.93,0.766,-4.462,-0.842
22.988,207.44,451.1,0.338,-4.04,-0.917
69.39,248.35,392.99,-0.068,-3.639,-0.87
112.26,290.06,327.99,-0.344,-3.299,-0.855
150.31,326.52,251.59,-0.514,-2.979,-0.766
176.1,355.98,163.23,-0.617,-2.661,-0.594
194.45,375.12,64.817,-0.695,-2.401,-0.491
211.95,382.38,-38.598,-0.731,-2.343,-0.427
230.24,378.66,-144.51,-0.785,-2.329,-0.296
249.33,362.5,-251.4,-0.833,-2.077,-0.217
270.49,336.95,-352.99,-0.751,-1.705,-0.288
290.79,304.69,-446.28,-0.865,-1.474,-0.292
310.85,271.1,-529.51,-1.296,-1.525,-0.37
331.16,237.19,-599.82,-1.964,-1.584,-0.427
