Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
2026-01-14 17:05:52.791,4541127,-61008680,53343750,12601380,21289060,4248047,-3022461
2026-01-14 17:05:52.801,4555796,-43868760,-32435250,12621230,25585940,-59051510,-17224120
2026-01-14 17:05:52.811,-31747300,-95129680,19170950,48941590,25830080,-7269287,-8782959
2026-01-14 17:05:52.821,4578241,-94948420,19334950,12650580,23632810,-28823850,-7128906
2026-01-14 17:05:52.831,4585144,-43346540,-31921660,12660940,26342770,-15167240,-10040280
2026-01-14 17:05:52.841,8236431,-94663580,19568010,9044178,27612300,-2130127,-8135986
2026-01-14 17:05:52.891,46490200,-43255050,-31840520,127351700,26757810,11431890,-14624020
2026-01-14 17:05:52.901,82877020,-43427690,-32013160,90964900,24401860,4324341,-10687260
2026-01-14 17:05:52.911,82877020,-43514000,-32099470,90964900,25024410,-17684940,-43670660
2026-01-14 17:05:52.921,82877020,-43600320,-32185790,90964900,24145510,25238040,8216858
2026-01-14 17:05:52.951,82620660,-95241900,18937890,90703360,26513670,24108890,-15808110
2026-01-14 17:05:52.961,-31747300,-9533687,1886022,49062440,28100590,-2073288,13420110
2026-01-14 17:05:52.971,8236430,-9551812,1869620,9044182,2692871,8583069,2331543
2026-01-14 17:05:52.981,-31738670,-9570803,1854085,49002020,2084961,59051510,-415802
2026-01-14 17:05:52.991,4579103,-9597560,1829052,12649720,1973877,7092285,4459381
2026-01-14 17:05:53.001,4563569,-61060460,53240170,12630730,17150880,546875,-6713867
2026-01-14 17:05:53.011,4548028,-45076330,-33644540,12611740,14880370,-1096344,-68359380
2026-01-14 17:05:53.021,4524724,-96795600,17556830,12583250,12719730,-56915280,79956060
2026-01-14 17:05:53.031,8134059,-96994130,17410090,8939389,109802200,-60150140,1958847
2026-01-14 17:05:53.041,-39397550,-45772900,-34329030,41101440,83984380,-5368042,-4284668
2026-01-14 17:05:53.051,4472072,-97546550,16926710,12515060,1116333,-55603030,-892334
2026-01-14 17:05:53.061,4457398,-97831410,16693660,12495210,91918940,-36346440,-10095220
2026-01-14 17:05:53.071,80488630,-46642120,-35186160,88519540,6829834,-26245120,-37323000
2026-01-14 17:05:53.081,80318590,-9847881,1613256,88344320,60791020,-30151370,-30471800
2026-01-14 17:05:53.091,80062230,-61474790,53171110,88082780,18920900,-19317630,-26412960
2026-01-14 17:05:53.101,43823010,-47683960,-36215920,123976700,-33477780,-52856440,-6945801
2026-01-14 17:05:53.151,4316699,-49159980,-37674670,12307900,-9564209,-4824829,-75927740
2026-01-14 17:05:53.161,-31626460,-49334340,-37845580,48233800,-1182251,-7800293,-5429077
2026-01-14 17:05:53.171,-31609190,-10122370,1369848,48199270,-13696290,-81604000,-1247406
2026-01-14 17:05:53.181,-31600560,-10141360,1354311,48156110,-11920170,-55480960,32310490
2026-01-14 17:05:53.191,-31574660,-61906370,53084790,48130210,-15332030,-2859497,-9398,46
2026-01-14 17:05:53.201,4285626,-10179330,1323235,12252660,-14050290,-19348140,-17868040
2026-01-14 17:05:53.231,4292534,-62044470,53067530,12245750,-1862793,-17578120,-23956300
2026-01-14 17:05:53.241,4294258,-10253570,1259361,12244030,-18237300,-15478520,-692749
2026-01-14 17:05:53.251,-31453820,-5090100,-3938632,48009370,-21606440,-13391110,-8532715
2026-01-14 17:05:53.261,-31427930,-50989030,-39470920,47983480,-23779300,-12390140,-120910600
2026-01-14 17:05:53.271,-3140205,-51076200,-39556370,4797483,-2454834,-17541500,-9576416
2026-01-14 17:05:53.281,-31376140,-103010400,12205190,47966210,-20544430,-20959470,15853880
2026-01-14 17:05:53.291,4328785,-103019000,12213820,12261290,-17675780,-21057130,28381350
2026-01-14 17:05:53.301,7907130,-51165110,-39640100,8700208,-14172360,-16040040,15510560
2026-01-14 17:05:53.311,-31332980,-51165110,-39640100,47957580,-14025880,-12805180,4135132
2026-01-14 17:05:53.321,4357267,-51251430,-39726420,12284600,-15637210,-11218260,8430481
2026-01-14 17:05:53.331,4365899,-51337740,-39812740,12293230,-18615720,-10046390,-4876709
2026-01-14 17:05:53.341,4374531,-51424060,-39899060,12301860,-15405270,-15661620,-6689453
2026-01-14 17:05:53.351,4383162,-51510380,-39985370,12310490,-12719730,-2109375,-2828598
2026-01-14 17:05:53.361,4383162,-51596700,-40071690,12310490,-13537600,-18432620,3265381
2026-01-14 17:05:53.371,-31289820,-103536900,11695920,48000740,-13366700,-14013670,4046631
2026-01-14 17:05:53.381,7958924,-62208480,53007110,8751997,-16174320,-12121580,33599860
2026-01-14 17:05:53.391,4397838,-10369230,1150602,12330350,-140625,-14978030,10070800
2026-01-14 17:05:53.401,-38833900,-10368370,1149740,40508450,-14733890,-20324710,9971619
2026-01-14 17:05:53.411,4412514,-62191220,52972580,12350200,-1149292,-25024410,5404663
2026-01-14 17:05:53.421,44202800,-5176420,-4024952,123596900,-7611084,-21972660,7366943
2026-01-14 17:05:53.431,44280490,-10357150,1155779,123691900,-58532720,-14685060,6512451
2026-01-14 17:05:53.441,80100210,-62156690,52955310,88044800,-7977295,-7867432,40252690
2026-01-14 17:05:53.451,80184800,-51675250,-40165780,88132850,-6921387,-1005249,3765869
