Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
2026-01-14 17:05:52.931,-46490200,41261140,-50407250,-60646140,-9753418,11320110,-50323490
2026-01-14 17:05:52.941,-46490200,27624,5,-9173741,-60646140,2909851,-32615660,-4663086
2026-01-14 17:05:52.951,1808336,53517,-9199638,-12520240,11886600,-48675540,-3970337
2026-01-14 17:05:52.961,-46403880,-4107811,-5038307,-60732460,-2468872,-77590940,-40283200
2026-01-14 17:05:52.971,-46317560,-41043610,-50400340,-60818780,-44158940,-2961731,-5670166
2026-01-14 17:05:52.981,-46231240,132930,5,-9275595,-60905090,-21698000,-39100650,-36895750
2026-01-14 17:05:52.991,-46144930,-4097453,-5045212,-60991410,107666000,-13969420,-14450070
2026-01-14 17:05:53.001,2153602,201981,5,-9344651,-12865510,13183590,-45135500,-31311040
2026-01-14 17:05:53.011,70602780,2270136,-93714100,-81314690,61950680,-4248047,-76446540
2026-01-14 17:05:53.021,2326234,43766040,-52908710,-13038140,655365,-40802000,53901670
2026-01-14 17:05:53.031,2498867,44025850,-53166800,-13210780,-8105469,-256958,56610110
2026-01-14 17:05:53.041,-45627030,-40801920,-50590240,-61509310,-12890630,-7147217,-3944397
2026-01-14 17:05:53.051,-45540710,-40758760,-50616140,-61595620,-5609131,-11260990,-1534462
2026-01-14 17:05:53.061,-45454400,-45190260,-46184630,-61681940,14633180,-12927250,-30975340
2026-01-14 17:05:53.071,-4535947,-40681080,-50693820,-6175965,17150880,-10620120,-20217900
2026-01-14 17:05:53.081,-4527316,-40637920,-50736980,-6184597,26565550,-41748050,16784670
2026-01-14 17:05:53.091,-4518686,5239428,-96614340,-6193227,6524658,-56518560,8522034
2026-01-14 17:05:53.101,3103947,5584696,-96959600,-13814130,9661865,-82336420,7671356
2026-01-14 17:05:53.111,3190266,-40517080,-50857820,-13900450,89904780,-114868200,-10528560
2026-01-14 17:05:53.121,3190268,645650,-9781414,-13900450,87402340,-103393600,-3390,312
2026-01-14 17:05:53.131,3276584,680176,5,-9815940,-13986760,26382450,-27191160,-5554199
2026-01-14 17:05:53.141,3276584,4825883,-5739287,-13986760,-3125,-14762880,2998352
2026-01-14 17:05:53.151,3362901,4860410,-5773814,-14073080,20431520,-8166504,4714966
2026-01-14 17:05:53.161,-44824290,53059680,-53973080,-62260260,89660650,-9051514,5239868
2026-01-14 17:05:53.171,-44824290,53404950,-54318350,-62260260,58746340,-58898930,8050537
2026-01-14 17:05:53.181,-44824290,8545364,-99868480,-62260260,32901760,-30212400,59387210
2026-01-14 17:05:53.191,-44824290,-40214970,-51108140,-62260270,17578120,-18814090,7556152
2026-01-14 17:05:53.201,-44824280,907192,-10037770,-62260270,12597660,-4031372,9399414
