Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
2026-01-14 17:05:52.911,-32983360,9727894,-58704020,41525260,105651900,12878420,-3642578
2026-01-14 17:05:52.921,546382,5,9771058,-58695390,7995521,10827640,7763672,-36035160
2026-01-14 17:05:52.931,-3296524,-24093770,-24778770,4150885,1015625,1939392,-3544922
2026-01-14 17:05:52.941,5498376,-20974110,-27829380,79955200,64208980,-27236940,-2890625
2026-01-14 17:05:52.951,553289,3,31856920,-36730370,7995522,9692383,-20019530,-26611330
2026-01-14 17:05:52.961,5550168,31886260,-36752810,79955200,12976070,14701840,-24401860
2026-01-14 17:05:52.971,558466,8,10055900,-58634960,7995521,14501950,6793213,-203125
2026-01-14 17:05:52.981,5619220,10116320,-58626340,79955200,15319820,3829956,-20605470
2026-01-14 17:05:52.991,565373,5,31966540,-36810640,7995522,11566160,-18554690,-17980960
2026-01-14 17:05:53.001,569688,10237160,-58591810,7996384,50994870,-6304932,-1628418
2026-01-14 17:05:53.011,5731428,10288950,-58574540,79963830,637207,-3665161,-121398900
2026-01-14 17:05:53.021,5783220,10340740,-58557290,79963830,39031980,-58517460,-8935547
2026-01-14 17:05:53.031,39192980,32058900,-36873650,46605860,7972717,18548960,-7684326
2026-01-14 17:05:53.041,39221470,1043567,-5853141,46629170,-18997190,-44158940,-9753418
2026-01-14 17:05:53.051,592994,8,32099470,-36902140,7997249,21636960,-59692380,-64331060
2026-01-14 17:05:53.061,-32697640,32119320,-36916810,41293070,17175670,-33599860,-48461910
2026-01-14 17:05:53.071,-32669170,10573800,-58479590,41269760,21316530,12397770,-3326416
2026-01-14 17:05:53.081,-32640680,1061695,-5847095,41246460,31982420,-10635380,-41992190
2026-01-14 17:05:53.091,39353530,32171110,-36951340,46738790,-18188480,-55999760,-28121950
2026-01-14 17:05:53.101,616299,10694640,-58462330,7996384,-83618160,-6817627,-32440190
2026-01-14 17:05:53.111,620616,8,1072917,-5846233,7995520,-62805180,-6213379,-45135500
2026-01-14 17:05:53.121,-36426360,10763700,-58462330,37288140,1373291,2784729,20751950
2026-01-14 17:05:53.131,-32538820,-20369030,-27295080,41158410,9750366,61950680,28213500
2026-01-14 17:05:53.141,3941481,34409390,-34885690,4678111,-36376950,33359530,34454340
2026-01-14 17:05:53.151,6283852,10875910,-58470960,79929300,-10424810,-41656500,4751587
2026-01-14 17:05:53.161,39426030,32321300,-37077360,46787130,-9637451,-4675293,54992680
2026-01-14 17:05:53.171,-32487030,32349790,-37100660,41106620,-32226560,-3439331,6188965
2026-01-14 17:05:53.181,-32487030,32378270,-37123970,41106620,24032590,15701290,4977417
2026-01-14 17:05:53.191,-36365940,-20224880,-27180280,37227720,29129030,-12016300,10107420
2026-01-14 17:05:53.201,-3247928,-20196390,-27156980,4109712,16845700,-62286380,9197998
2026-01-14 17:05:53.211,629247,5,-20176540,-27142300,7986887,-27572630,-9729004,9881592
2026-01-14 17:05:53.221,39393240,32481850,-37210280,46750880,-7385254,-12841800,9259033
2026-01-14 17:05:53.231,-32490490,-23284890,-23982160,41103170,45776370,-9661865,9527588
2026-01-14 17:05:53.241,6249328,11255700,-58505490,79842990,75683590,-3237915,9753418
2026-01-14 17:05:53.251,623205,8,-20127340,-27105180,7984298,6896973,-22640230,12200930
2026-01-14 17:05:53.261,622341,8,32537100,-37258620,7983437,38726810,-29586790,11975100
2026-01-14 17:05:53.271,39338850,11290220,-58522750,46701670,3622055,-496521,10003660
2026-01-14 17:05:53.281,-32522420,-20124750,-27107770,41123020,-7461548,-4055786,11022950
2026-01-14 17:05:53.291,-32523290,-20133380,-27116400,41122160,23880000,-11663440,9838867
2026-01-14 17:05:53.301,42617420,11298860,-58548650,43354050,43823240,61950680,10083010
2026-01-14 17:05:53.311,613709,8,11290230,-58557280,7981711,19546510,8807373,9118652
2026-01-14 17:05:53.321,6111224,11290230,-58557280,79808460,43563840,58776860,61187740
2026-01-14 17:05:53.331,-32553490,32568170,-37296600,41143740,13641360,31204220,61340330
2026-01-14 17:05:53.341,-32563000,11281600,-58583180,41151510,4234314,16586300,435791
2026-01-14 17:05:53.351,39238730,11281600,-58583180,46611910,39642340,4916382,309906
2026-01-14 17:05:53.361,604214,5,11272970,-58591810,7979121,12451170,9698486,27618410
2026-01-14 17:05:53.371,-32592340,11281600,-58600440,41173950,10626220,10070800,27709960
2026-01-14 17:05:53.381,39210240,11281600,-58600440,46588600,56915280,64819340,32806400
2026-01-14 17:05:53.391,598173,3,32574210,-37307820,7978259,22857670,4269409,2897644
2026-01-14 17:05:53.401,5964488,32574210,-37307830,79782570,52520750,592041,13496400
2026-01-14 17:05:53.411,593857,5,32574210,-37307820,7979122,8276367,6311035,4798889
2026-01-14 17:05:53.421,593856,8,11264340,-58617700,7979121,13305660,76416020,-29449460
2026-01-14 17:05:53.431,-32657950,11255700,-58609070,41229190,14477540,8087158,-31204220
2026-01-14 17:05:53.441,42478110,11255700,-58609070,43217150,1508789,41656500,-26321410
2026-01-14 17:05:53.451,39151550,11255700,-58609070,46543720,11260990,-12504580,-18066410
2026-01-14 17:05:53.461,39142920,32565580,-37299200,46535080,7531738,24353030,-57250980
2026-01-14 17:05:53.471,-32686430,32565580,-37299190,41252500,7800293,7366943,-83618160
2026-01-14 17:05:53.481,584362,8,32556950,-37290560,7981711,6365967,8685303,-6945801
2026-01-14 17:05:53.491,-32713190,11264330,-58583180,41277530,24291990,6726074,-8312988
2026-01-14 17:05:53.501,39112700,11264330,-58583180,46513500,30395510,6854248,-8093262
2026-01-14 17:05:53.511,578321,-20167910,-27150930,7982572,703125,55267340,-9307861
2026-01-14 17:05:53.521,575730,11247070,-58565910,7983436,9277344,53894040,-108947800
2026-01-14 17:05:53.531,5731432,11238440,-58557280,79842990,6896973,72387700,-12695310
2026-01-14 17:05:53.541,42407850,11238440,-58557280,43149310,35369870,8538818,-140625
2026-01-14 17:05:53.551,-32813310,-20170500,-27148340,41367300,4207611,29800420,-13391110
2026-01-14 17:05:53.561,39041920,-20170500,-27148340,46463440,-1550293,35827640,-12524410
2026-01-14 17:05:53.571,561921,3,-20161870,-27139710,7986888,982,2845,53466800,-105529800
2026-01-14 17:05:53.581,-32868550,32516380,-37244810,41415640,59814450,12225340,-94055180
2026-01-14 17:05:53.591,39010850,-20144600,-27122450,46442720,37353520,10827640,-9509277
2026-01-14 17:05:53.601,-36740810,-20135970,-27113810,37595170,-51361080,5807495,-6939697
2026-01-14 17:05:53.611,-36749450,11281600,-58514120,37603800,-8728027,16845700,-9173584
2026-01-14 17:05:53.621,-32905670,32537100,-37258620,41447580,-9503174,-5962372,-947876
2026-01-14 17:05:53.631,552425,5,32545720,-37267250,7989480,-6088257,4494,19,-9008789
2026-01-14 17:05:53.641,552424,8,11307490,-58505490,7989479,-10795590,22567750,-11785890
2026-01-14 17:05:53.651,552424,8,11316120,-58496860,7989479,-54626460,57922360,-14025880
2026-01-14 17:05:53.661,552427,1133338,-5849686,7989478,-9680176,26000980,-10858150
2026-01-14 17:05:53.671,552427,1133338,-5849686,7989478,-9906006,-63056940,-12036130
2026-01-14 17:05:53.681,552424,8,11350650,-58496860,7989479,-9710693,11375430,-122802700
2026-01-14 17:05:53.691,38982360,11367910,-58496860,46419420,-8972168,-76942450,-11975100
2026-01-14 17:05:53.701,38982360,11385180,-58496860,46419420,-7067871,18371580,-92041020
2026-01-14 17:05:53.711,38973740,1140242,-5849688,46410780,-9515381,5609131,-73913580
2026-01-14 17:05:53.721,42320320,11428330,-58505490,43064200,-11401370,2798462,-6921387
2026-01-14 17:05:53.751,5463852,32640670,-37344940,79868880,-637207,11701580,2620697
2026-01-14 17:05:53.761,5463848,11488760,-58514120,79868880,-18661500,4928589,459671
2026-01-14 17:05:53.771,-32936740,-20003040,-27005060,41468290,-16281130,4638672,15945440
2026-01-14 17:05:53.781,-32937610,32669160,-37368250,41467420,-59692380,16342160,74310300
2026-01-14 17:05:53.791,-32937610,32677790,-37376880,41467420,-8984375,-40740970,3,08156
2026-01-14 17:05:53.801,5437952,11557810,-58531390,79842990,-7055664,-28182980,3859,997
2026-01-14 17:05:53.851,-3296005,1163550,-5855728,4147951,-45684820,-46661380,5609131
2026-01-14 17:05:53.861,536888,3,32758930,-37451110,7980848,-6210327,-48095700,6213379
2026-01-14 17:05:53.871,536887,5,11661390,-58565910,7980847,-42297360,-51208500,5822754
2026-01-14 17:05:53.881,5351632,11661390,-58565910,79808460,-10864260,-36376950,6323242
2026-01-14 17:05:53.891,-32971270,-19940030,-26964490,41485550,-15716550,-28579710,6903076
2026-01-14 17:05:53.901,532573,-19940030,-26964490,7979982,15914920,16113280,6311035
2026-01-14 17:05:53.931,529982,5,11678660,-58583180,7979121,-46295170,-22247310,66345220
2026-01-14 17:05:53.941,-33000620,32784820,-37477000,41508000,-3451538,1878357,7458496
2026-01-14 17:05:53.951,-33001480,32793460,-37485640,41507140,-72387700,39733890,6707764
2026-01-14 17:05:53.961,5256692,32793460,-37485640,79782560,-5319214,26611330,10498050
2026-01-14 17:05:53.971,5256688,11670020,-58609070,79782560,-53863520,8590698,10449220
2026-01-14 17:05:53.981,-33011840,11670020,-58609070,41514040,-4071045,-15136720,119506800
2026-01-14 17:05:53.991,523940,11661390,-58617700,7978257,-22735600,3900528,8538818
2026-01-14 17:05:54.001,523940,11661390,-58617700,7978257,37136080,49972540,8514404
2026-01-14 17:05:54.011,523940,11644130,-58617700,7978257,11199950,14503480,8074951
2026-01-14 17:05:54.021,-33011840,-19991820,-27016280,41514040,31143190,8192,063,6506348
2026-01-14 17:05:54.031,-33011840,-20000450,-27024910,41514040,-3271103,-18600460,43914800
2026-01-14 17:05:54.041,-33012700,11583700,-58643600,41513170,-30334470,-28274540,24017330
2026-01-14 17:05:54.051,-33012700,11575070,-58652230,41513170,-907135,-3414917,13748170
2026-01-14 17:05:54.061,5230796,11557810,-58669500,79756670,-49438480,154800400,-28572080
2026-01-14 17:05:54.071,-33014430,11549180,-58678120,41511440,-49743650,31051640,23223880
2026-01-14 17:05:54.081,-3302395,11549180,-58678120,4151922,39520260,10650640,3050232
2026-01-14 17:05:54.091,38739810,11540550,-58686760,46195860,-14755250,-17807010,6359863
2026-01-14 17:05:54.101,5170372,32755480,-37471830,79748050,-11520390,-24993900,52978520
2026-01-14 17:05:54.111,515308,5,11514650,-58695380,7974805,-3730774,-10124210,6021118
2026-01-14 17:05:54.121,513583,-20089360,-27108640,7974803,-90408330,-18753050,57037350
2026-01-14 17:05:54.131,-33070540,11471490,-58704020,41558920,9086609,-158844,37261960
2026-01-14 17:05:54.141,5118580,11436960,-58704020,79748040,-8430481,-181427,18478390
2026-01-14 17:05:54.151,5109952,-20153240,-27165610,79756670,182724,-22583010,8460999
2026-01-14 17:05:54.161,5109948,11367910,-58721290,79756670,22201540,21011350,1965332
2026-01-14 17:05:54.171,5109948,11324750,-58729920,79756670,-9277344,8294678,-75302130
2026-01-14 17:05:54.181,5118584,32645850,-37391550,79748040,-7409668,9429932,-3338623
2026-01-14 17:05:54.191,38702700,-20244730,-27246750,46163920,-5331421,80444340,-53497310
2026-01-14 17:05:54.201,38702700,11238440,-58764440,46163920,-16311650,703125,-7537842
2026-01-14 17:05:54.211,38703560,11229810,-58773070,46163060,-31585690,52978520,-680542
2026-01-14 17:05:54.221,38703560,32614780,-37370840,46163060,24,76573,6347656,-7672119
2026-01-14 17:05:54.231,38703560,11203910,-58781700,46163060,12939450,5999756,-7562256
2026-01-14 17:05:54.241,38703560,11186650,-58781700,46163060,-11711120,4031372,-10028080
2026-01-14 17:05:54.251,38703560,11178020,-58790340,46163060,15220640,16799930,-10076900
2026-01-14 17:05:54.261,5144476,3259403,-3735703,79722140,128,3884,2532959,-9680176
2026-01-14 17:05:54.271,5144476,-20325870,-27320980,79722140,-10528560,39764400,-68115230
2026-01-14 17:05:54.281,5144472,11134860,-58798970,79722140,-2609253,6506348,-8520508
2026-01-14 17:05:54.291,5144476,32574210,-37342350,79722140,13763430,6829834,-7531738
2026-01-14 17:05:54.301,5144476,-20354360,-27344280,79722140,5279541,47027590,-95336910
2026-01-14 17:05:54.311,-33044650,11083070,-58798970,41533030,7067871,2420044,-11663820
2026-01-14 17:05:54.321,-33044640,32554360,-37327680,41533030,725708,2079773,-111084000
2026-01-14 17:05:54.331,-33044640,32545730,-37319050,41533030,4949951,32928470,-8227539
2026-01-14 17:05:54.341,-33044650,11048540,-58798970,41533030,39154050,3994751,-99975580
2026-01-14 17:05:54.351,-33043780,11048540,-58798970,41533890,37384030,3564453,-8123779
2026-01-14 17:05:54.361,38731180,11048540,-58798970,46187230,24795530,56671140,-9375
2026-01-14 17:05:54.371,38732050,-20392330,-27375360,46186360,27832030,5822754,-11590580
2026-01-14 17:05:54.381,38740680,11014010,-58798970,46194990,4751587,36956790,-12915040
2026-01-14 17:05:54.391,38740680,32507750,-37287970,46194990,38482660,4574585,-14697270
2026-01-14 17:05:54.401,-3302395,10988120,-58807600,4151922,33813480,2935791,-15991210
2026-01-14 17:05:54.411,-3302394,-20420820,-27398660,4151921,55633540,17211910,-16760250
2026-01-14 17:05:54.421,-3302395,10962230,-58798970,4151922,21911620,3944397,-16564940
2026-01-14 17:05:54.431,38740680,10962220,-58798970,46194990,13595580,25817870,-16479490
2026-01-14 17:05:54.441,38740680,10962220,-58798970,46194990,19311900,45898440,-13146970
2026-01-14 17:05:54.451,38740680,10962220,-58798970,46194990,-10505680,50811770,-10809330
2026-01-14 17:05:54.461,38740680,10962220,-58798970,46194990,1908,541,3765869,-10632320
2026-01-14 17:05:54.471,-3302395,10962230,-58798970,4151922,3692627,59692380,-1015625
2026-01-14 17:05:54.481,-3302395,10953590,-58790340,4151922,4321289,6677246,-925293
2026-01-14 17:05:54.491,521351,10953590,-58790340,7975668,25985720,592041,-11187740
2026-01-14 17:05:54.501,-33014430,10953590,-58790340,41511440,-11940000,4144287,-14416500
2026-01-14 17:05:54.511,5230796,10953590,-58790340,79756670,6399,155,42785640,-1418457
2026-01-14 17:05:54.521,-33004080,10953590,-58790340,41504540,1361084,28778080,-12780760
2026-01-14 17:05:54.531,525666,5,10953590,-58790340,7974805,2746582,45776370,-118774400
2026-01-14 17:05:54.541,527392,8,10953590,-58790340,7974805,2603531,625,-14123540
2026-01-14 17:05:54.551,527392,8,10970860,-58790340,7974805,-48736570,30700680,-14208980
2026-01-14 17:05:54.561,5291212,10970850,-58790340,79748040,-29510500,8483887,-14685060
2026-01-14 17:05:54.571,5291216,1098809,-5879034,79748040,-15792850,17608640,-13537600
2026-01-14 17:05:54.581,5291216,-20403560,-27381400,79748040,30044560,52825930,-13012700
2026-01-14 17:05:54.591,5291212,11014010,-58781700,79748040,3741455,8001709,-99731450
2026-01-14 17:05:54.601,5291216,32519830,-37293150,79748040,4906,654,36895750,-9173584
2026-01-14 17:05:54.611,5291216,-20366440,-27349460,79748040,-22354130,23361210,-7086182
2026-01-14 17:05:54.621,5291212,11074440,-58773070,79748040,-12565610,13908390,-5343628
2026-01-14 17:05:54.651,-32975590,11108960,-58755810,41481240,22583010,40893560,-61065670
2026-01-14 17:05:54.661,530846,5,34702870,-35179170,7974806,-21438600,29296880,-657959
2026-01-14 17:05:54.671,530845,5,11134860,-58747180,7974805,-15060430,22449490,-46325680
2026-01-14 17:05:54.681,531710,-20302560,-27292490,7973940,-127334600,12634280,-5029297
2026-01-14 17:05:54.691,532571,8,11169390,-58747180,7974805,3878784,50231940,-53985600
2026-01-14 17:05:54.701,531708,5,11186650,-58729910,7975668,513916,8288574,-35095220
2026-01-14 17:05:54.711,531708,5,11203910,-58729910,7975668,3274536,61767580,-33233640
2026-01-14 17:05:54.721,531709,8,-20248180,-27243290,7975666,-10673520,14808660,-48583980
2026-01-14 17:05:54.731,531708,5,11238440,-58729910,7975668,-31021120,2079773,-21911620
2026-01-14 17:05:54.741,531708,5,11247070,-58721280,7975668,-6690979,22583010,-995636
2026-01-14 17:05:54.751,531709,3,32619960,-37365660,7975669,101623500,66223140,-11421200
2026-01-14 17:05:54.761,-32975590,11272960,-58712650,41481240,15075680,55480960,-25234220
2026-01-14 17:05:54.771,529119,3,11281600,-58704020,7976531,1146698,45959470,15007020
2026-01-14 17:05:54.781,529119,3,11290230,-58695380,7976531,-71258540,2746582,14945980
2026-01-14 17:05:54.871,-33000620,11350650,-58652230,41508000,-4321289,61187740,-38833620
2026-01-14 17:05:54.881,-33000620,11350650,-58652230,41508000,-42175290,26062010,9360,313
2026-01-14 17:05:54.891,-33010110,32637220,-37365660,41515760,-692749,-7633209,1838684
2026-01-14 17:05:54.901,525667,3,32637220,-37365660,7979985,-41656500,4119873,3440857
2026-01-14 17:05:54.911,38791610,32637220,-37365660,46247650,-23376460,18173220,9880066
2026-01-14 17:05:54.921,38791610,32637220,-37365660,46247650,107803300,35491940,-23174290
2026-01-14 17:05:54.931,5230792,32628590,-37357020,79808460,-25894160,1739502,-4270,077
2026-01-14 17:05:54.941,5230792,32628590,-37357020,79808460,-6695557,1575,947,6187439
2026-01-14 17:05:54.951,5230788,11342020,-58643600,79808460,-57556150,-22888180,12557980
2026-01-14 17:05:54.961,38791600,11342020,-58643600,46247650,-3640747,-66871640,19388200
2026-01-14 17:05:54.991,525667,5,-20161870,-27156970,7981708,-2897644,18051150,-84472660
2026-01-14 17:05:55.001,526530,8,-20161870,-27156970,7980845,-6329346,17074580,-10510250
2026-01-14 17:05:55.011,526529,5,11324760,-58643600,7980847,-52886960,18341060,-1184082
2026-01-14 17:05:55.021,524803,3,11324760,-58643600,7980847,-3463745,3665161,-8673096
2026-01-14 17:05:55.031,5230788,11333380,-58634970,79808460,-2293396,5291748,-46569820
2026-01-14 17:05:55.041,520487,3,11333390,-58634960,7981710,1776123,3604126,-15991210
2026-01-14 17:05:55.051,-33073120,1133337,-5861769,41573600,5895996,18630980,-7858276
2026-01-14 17:05:55.061,517036,-20135970,-27131080,7983435,30548100,-646,5912,-3375244
2026-01-14 17:05:55.071,38759670,-20127340,-27122450,46227800,-6034851,-16052250,-47668460
2026-01-14 17:05:55.081,5144480,-20135970,-27131080,79842990,-19744870,-37506100,-43426510
2026-01-14 17:05:55.091,512719,5,11333390,-58600440,7984300,-7751465,8720398,-51940920
2026-01-14 17:05:55.101,512719,5,11333390,-58600440,7984300,-60539250,47851560,-57739260
2026-01-14 17:05:55.111,511856,11324760,-58591800,7985163,-20751950,8129883,-4067993
2026-01-14 17:05:55.121,511856,8,32594060,-37322500,7985164,-5102539,12249760,-22079470
2026-01-14 17:05:55.131,-36950380,-20155820,-27145750,37799910,-61584470,16369630,-11871340
2026-01-14 17:05:55.141,-33126640,11290230,-58591810,41623660,-20462040,12286380,-5874634
2026-01-14 17:05:55.151,-33126640,11290230,-58591810,41623660,-26016240,10644530,-21347050
2026-01-14 17:05:55.161,5118588,32568170,-37296600,79868880,71144100,67871100,-16708370
2026-01-14 17:05:55.171,-33124920,11290230,-58557280,41625380,60028080,48034670,-16098020
2026-01-14 17:05:55.181,-33124050,-20133380,-27116400,41626250,8276367,4727173,-32348630
2026-01-14 17:05:55.191,-33122330,11281590,-58531380,41627970,76293940,5340576,-51208500
