Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
0.000,28502650,22720300,-31106830,-36131320,11390690,115600600,-70703130
0.010,-5964492,-15148590,-68854860,-70408570,28427120,20324710,-6489258
0.020,28320520,22577010,-30991160,-35968190,16952520,-7977295,-60302740
0.030,-6223440,22501910,-30928150,-70339510,-13801580,-21679690,-5991211
0.050,-6456494,-15675120,-68846230,-70261830,-4940796,-29052730,-61376950
0.060,-6568708,-15787330,-68854860,-70218670,-45776370,-36328120,-60253900
0.070,-35253490,-15899540,-68863500,-41602940,-29792790,-28515620,-5722656
0.080,-6775864,-1601172,-6887213,-70132350,43396000,-8050537,-54248050
0.090,27762050,22136800,-30637270,-35456330,19213870,48754880,-4663086
0.100,27691270,22078100,-30592380,-35389000,32739260,11347660,-4873047
0.110,-7026184,22011640,-30538000,-69985620,2709961,10507810,-5864258
0.120,27566110,-16477870,-68906660,-35272480,1706543,62109380,-6064453
0.130,27511740,21888200,-30437010,-35223280,19384770,84472660,-5834961
0.170,-35561640,21625800,-30198770,-41812690,-10668950,1676941,-40161130
0.180,27373620,-17030290,-68716760,-35119700,-99853520,-28808590,-21655270
0.200,27385710,-17211560,-68587280,-35142140,7446289,-6977539,85510260
0.210,30884640,-17332400,-68535500,-31660460,19055180,-8496094,19177250
0.220,2740208,-17470510,-68500970,-3516027,30395510,-8466797,19995120
0.230,2740208,-17625880,-68466440,-3516027,32128910,-9550781,13342290
0.240,-35645360,-17763980,-68449180,-41901600,31713870,-11162110,13464360
0.250,-7483662,-1791070,-6844055,-70011510,34350580,-11025390,13305660
0.260,-747506,-18048830,-68440540,-6998563,3557129,-9536133,1508789
0.270,27367590,20804060,-29466810,-35108480,3659668,-7363281,17529300
0.280,-744915,20736730,-29413290,-6990793,39501950,-5595703,19543460
0.290,27356360,-18428620,-68475070,-35085170,4230957,-3618164,2154541
0.300,-7414612,-18549470,-68475070,-69838880,45507810,-19750980,22460940
0.310,-7388716,-18661680,-68466440,-69812980,47973630,-56549070,20959470
0.320,27353770,20480380,-29203550,-35070490,45483400,-38146970,20458980
0.330,-35443380,-1887746,-6842327,-41689260,40039060,-6561279,20593260
