Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
0.000,-4115583,31255290,-6033543,-17826130,765625,15356450,15722660
0.020,67594640,28122000,-4333105,-69787090,88671870,121032700,9100342
0.030,57806320,26568300,-3469935,-79696250,8408203,15490720,15136720
0.050,57935800,13865060,-11684700,-79791200,10,15197750,27734380
0.060,-4027539,22338770,-1139381,-17810600,10917970,17443850,2644043
0.080,58117070,10756800,-8750794,-79903420,11796880,-18981930,45776370
0.090,5817749,18385470,1122118,-7992930,11748050,-2692871,-11193850
0.100,58246540,17004400,1985283,-79946570,11689450,-32543940,-22766110
0.110,58298330,7225579,-5376673,-79963830,10136720,-25146480,-39379880
0.120,-3890296,5907519,-4105224,-17723420,8598633,-42999270,-50683590
0.130,-3852318,46766410,-29192320,-17692340,49267580,42260740,-34594730
0.140,-3849727,8864730,8312302,-17694930,16418460,9423828,-1743164
0.150,-3864398,102026400,65773360,-17714780,4611206,7285156,-45703120
0.160,-3853180,19412640,-3029717,-17708740,59631350,43237300,-59472660
0.170,58565910,7993538,7992324,-80041510,9777832,6821289,-13647460
0.190,58695380,7660615,7651977,-80015620,45385740,8149414,25195310
0.210,-3668459,83899870,63183860,-17548190,74365230,-9301758,-47546390
0.220,-3658967,21898560,-7449135,-17540430,89208980,-45922850,-18884280
0.230,5884212,25230380,-11022650,-8000698,10351560,-8798828,-3317871
0.240,-3630480,90805220,49373180,-17517120,11425780,-10351560,-30932620
0.250,58911180,29382220,-15502490,-79989730,11044920,-9067383,-859375
0.260,-3558840,30193600,-16417440,-17450650,10302730,-76220700,10510250
0.270,-3514818,31039500,-17297870,-17408360,10693360,-5600586,15441900
0.280,59057910,31048140,-17289250,-79894780,11357420,-42919920,25585940
0.290,59101070,31082660,-17254720,-79851620,11455080,-37768560,28515620
0.300,59135600,9468950,4462573,-79817090,10654300,-33691410,33862300
0.310,59170120,73023970,68017600,-79782560,81591800,-34765620,24401860
0.320,-3333553,31315720,-17021660,-17227090,5473633,-38745120,16992190
0.330,-3325784,30556130,-16054910,-17217600,20812990,-38793940,9552002
0.340,68424150,28078840,-13353210,-70476760,-35949710,-3425293,36102300
0.350,5917014,9123680,5843643,-7969625,-24804690,-31640620,93566900
0.360,68389620,88215710,64047020,-70442230,-39282230,-29003910,7739258
0.370,5914424,7743303,7741921,-7967035,-46948240,-24511720,7519531
0.380,68363720,78807180,78807180,-70416330,-578125,-13391110,10437010
0.390,-3334415,8009505,8010885,-17208970,-5776367,10205080,927124
0.400,59066550,80015620,82777750,-79644460,-5258789,10614010,30258180
0.410,-3363762,-11575080,28130630,-17231410,-6484375,60157780,-7885742
0.420,-3374116,58177480,109967500,-17238310,-7792969,28884890,-13562010
0.430,58997490,-22537300,39610750,-79609930,-85498050,8477783,-13427730
0.440,-3368938,83123020,90200990,-17226230,-88916020,8111572,-17834470
0.450,-3361174,4902792,12671300,-17216740,-9277344,50567630,-15539550
0.460,-3345635,-31660980,49476760,-17197750,-87890620,12805180,-10949710
0.470,-3346498,-41394060,43196350,-17196890,-77441410,26245120,-12641910
0.480,-9596607,-34051960,52264790,-10981310,-67529300,22790530,-49194340
0.490,58902550,-33965640,52351100,-79532250,-50683590,60668940,-44036860
0.500,68173830,-33896580,52420160,-70243700,-3383789,32691960,2015686
0.510,-3456121,-33827530,52489210,-17294430,-2220459,-46661380,11260990
0.520,58781700,-33775740,52541000,-79584040,-2010498,-25222780,10961910
0.530,-3501005,-33723950,52592790,-17335860,-31420900,-3366089,10058590
0.540,-3519134,5066793,13871100,-17352260,-39941410,-3378296,10296630
0.550,58712650,-36244400,55251340,-79601300,-42944340,6829834,12963870
0.560,-3538124,-3707304,5614905,-17367790,-3803711,13586430,18676760
0.570,-3546754,-3963664,5876444,-17376420,-43823240,22741700,21740720
0.580,-3573511,-41337090,60516670,-17401460,-4572754,22399900,1907959
0.590,58626330,-43900690,63132060,-79635820,-34301760,12121580,2915039
0.600,58600440,3944678,15338480,-79644460,-27148440,23291020,53027340
0.610,-9848135,3720252,15631960,-11230410,-29174800,32983400,6245117
0.620,-3646017,-52428790,71867320,-17467060,-28833010,46166990,6142578
0.630,58522750,-5496647,7450859,-79670350,-2763672,48535160,80029300
0.640,5850550,3271405,16391550,-7967036,-24963380,63427740,9765625
0.650,5849686,3426776,16374290,-7966173,-16760250,7885742,11630860
0.660,-3684861,3608040,16382920,-17497270,-17956540,8647461,12958980
0.670,5847097,3797937,16400180,-7963583,-23339840,8798828,13251950
0.680,67977900,4082786,16339760,-70094380,-24902340,80566410,12929690
0.690,-3671914,4272679,16357020,-17475690,-2331543,69433590,13017580
0.700,58453700,4376262,16460600,-79566780,-3605957,67822260,12304690
0.710,-9857973,-51634680,72661430,-11237840,-53564450,6977539,10605470
0.720,58445070,4030995,17151130,-79523620,-7314453,59716800,85546870
0.730,58445070,3668465,17651770,-79506350,-9526367,49609380,64453120
0.740,-3642562,-65255460,86662020,-17435990,-9584961,27001950,4777832
0.760,-3582145,-8076657,10222490,-17375560,-94189460,-26708980,21618650
0.770,58565910,595589,20793700,-79402780,-10791020,-12792970,5341797
0.780,-9676711,10640440,10662540,-11056570,-10693360,-29006960,65625
0.790,-3440585,-1406962,22589090,-17240910,-10253910,-14562990,49194340
0.800,-3395700,-2511817,23555840,-17199470,-91064460,-4169922,22473140
0.810,-3324058,9028732,11825390,-17133010,-68115230,-4597168,52001950
0.820,58902540,-13814130,15878830,-79238770,-5029297,-2993164,9555664
0.830,-3225656,-5394798,25851870,-17041520,-19885250,-23925780,94921870
0.840,68084920,-6163012,26464710,-70108180,-6881714,-51171880,73828130
0.850,-9390656,-6844916,26991240,-10772930,13830570,-45263670,8305664
0.860,59075180,-7518184,27526400,-79169720,18798830,-33129880,7685547
0.870,-3107402,-17940760,18139640,-16935340,17980960,-3762207,54833980
0.880,-3072012,-8571253,28372320,-16901680,14697270,-3330078,3347168
0.890,59221920,-17831310,19802780,-79092030,16064450,-43286130,36206060
0.900,-2975337,-9158207,28821160,-16808460,15979000,-3955078,20166020
0.910,59351400,-9261785,28890210,-79014350,16821290,-6020508,64941410
0.920,-2843274,7889351,11721820,-16681570,19226070,-58496100,1907959
0.930,-2773356,7880720,11730450,-16613380,15820310,-47631840,31762700
0.940,68246340,7897986,11747710,-70171200,88134770,-3449707,21789550
0.950,68252380,7923880,11756340,-70165160,35491940,-16845700,20324710
0.960,59713930,7949775,11782230,-78720870,-52948000,-10253910,11804200
0.970,59774350,-9184100,28967900,-78660450,-19396970,-3149414,1282959
0.980,-2460026,-8985572,28821160,-16305230,-26049800,-4260254,2401123
0.990,-8629862,-18631300,18830170,-10014560,-3095703,4537964,3359375
1.000,-8578071,-8588516,28527680,-9962767,-27929690,18249510,46875
1.010,-8534912,-8381355,28389580,-9919608,-29003910,24646000,43798830
1.020,-8500385,-8087879,28165150,-9885081,-30908200,25683590,43237300
1.030,-8483122,-7872087,28035680,-9867818,-38476560,20080570,3251953
1.040,-8474491,-16769620,18792880,-9859186,-44604490,1282959,27954100
1.050,6006784,-7449135,27768100,-7838424,-5541992,7751465,27783200
1.060,6006784,-7164290,27535040,-7838424,-61865230,6976318,3425293
1.070,60050560,-6870810,27310620,-78384240,-6855469,-77934260,5102539
1.080,60024670,-6663648,27172500,-78392870,-7084961,-22094730,5834961
1.090,-2289982,8623043,11954870,-16130010,-7167969,19515990,6791992
1.110,59886560,-5688270,26421550,-78479180,-78759770,34118650,82421870
1.120,-2440174,-14754980,16836950,-16273300,-87841800,14379880,9135742
1.130,-2519585,-4911423,25817340,-16349260,-84814460,3708496,81152340
1.140,59601710,-13883180,15982410,-78660450,-7836914,38110350,64208980
1.150,-8941810,-3961939,25040490,-10324090,-72998050,49835200,60009770
1.160,-2827736,-13011390,15127870,-16645320,-70947260,-3330078,5415039
1.170,59230550,9253157,11980760,-78910770,-7138672,-31982420,55615230
1.180,6805904,-2718977,24039210,-7004777,-7651367,-49951170,47070310
1.190,-3144518,-2330552,23737100,-16950020,-6816406,-65966800,3461914
1.200,58876660,-2028440,23521310,-79143820,-50878900,-67822260,15698240
1.210,-9529972,-1717703,23314150,-10909830,-22619630,-62158200,13195800
1.220,-3400878,-1303383,23037940,-17194300,5230713,-4790039,-74920660
1.230,58591810,-802742,22675400,-79307820,43286130,-2064209,14205930
1.240,5852276,-379793,22407830,-7934235,6020508,17297360,-5029297
1.250,-3545029,9995478,12239710,-17326360,5673828,5683594,-14111330
1.260,58436440,11201500,11223590,-79342360,38964840,7763672,-3088379
1.270,-3564882,10176740,12403720,-17341030,6980896,8779297,-6464844
1.280,-9729709,34526,22649510,-11107150,-4699707,9199219,-8491211
1.290,-3504459,-120844,22839410,-17280610,-9057617,6904297,-8725586
1.300,-3469933,-224424,22908460,-17246090,-11337890,3696289,-90185540
1.310,67865670,-267579,22865300,-69930370,-1296875,15307620,-8066406
1.320,-3406057,-250318,22709940,-17189120,-13623050,-79956060,-7758789
1.330,-3387069,-10194010,12420980,-17173580,-12978520,-30517580,-8173828
1.340,58695390,9917797,12144760,-79204250,-10488280,-42895510,-7109375
1.350,58755810,10899390,10921480,-79195620,-71240230,-48608400,-58154300
1.360,5882487,10761280,10783380,-7917835,-39013670,-59765620,-44506840
1.370,-3230836,10623170,10645270,-17036340,-14111330,-58984380,-23352050
1.380,-3175592,1038564,1060660,-16988000,8105469,-48168940,-35308840
1.390,5905792,1023890,1045986,-7911793,19909670,-33935550,5404663
1.400,59152860,9097788,11324750,-79092030,26513670,-20544430,13464360
1.410,-3002959,8942414,11186650,-16832630,3647461,-10992430,12915040
1.420,5931687,8795676,11039910,-7903161,46362300,-99609380,647583
1.430,68229070,-10330390,12284600,-70188460,48168940,-16442870,-6365967
1.440,-9035549,-1778125,21009500,-10420240,45458980,-16394040,-12915040
1.450,59610340,-2114758,21018120,-78928030,40234380,-119140600,-24133300
1.460,59722550,-2356443,20949070,-78884870,33520510,-18457030,-375
1.470,-2561017,-2693083,20957700,-16428670,36865230,-265625,-36889650
1.480,59955610,-2934767,20888650,-78772660,41259770,-38085940,-37426760
1.490,6009373,-3185086,20810970,-7870361,40795900,-44189450,-41918940
1.500,-2258045,-3435406,20733280,-16144690,5,-40966800,-43701170
1.510,-2151012,-3763409,20750540,-16044560,51171880,-47558590,-55859380
1.520,68603680,-4186360,20845490,-70400800,5185547,-45214840,-56347660
1.530,60672050,68880760,94603140,-78401500,47998050,-2915039,-51660160
1.540,-80395420,-5101315,21138970,-94309670,4038086,-8685303,-30444340
1.560,-1513133,-5619219,21138970,-15439480,49047850,71191410,27905270
1.570,-1398331,-5619220,20966340,-15329850,6435547,7138672,6142578
1.580,61397100,63011220,89078880,-77952650,69970700,7192383,7836914
1.590,6149209,62838580,88388340,-7789221,8066406,29663090,8305664
1.600,-74253980,-4980473,20051380,-88194140,9189453,36572260,11425780
1.610,-1109169,-4635209,19706110,-15049330,10068360,10693360,12626950
1.620,-1126429,64047030,87525180,-15066590,9765625,15761720,12011720
1.630,-11713180,6542816,8769782,-151080200,7426758,1671875,91064460
1.640,-1250729,-2788030,18273260,-15183980,2944336,12207030,34294130
1.650,-1303379,68708130,88043070,-15234900,-3970337,-51193240,-20585940
1.660,61423000,-975376,16805870,-77874970,-37841800,-7167969,-30
1.670,-74517250,-172629,16054920,-88448770,-11347660,-15166020,-14335940
1.680,-1103991,241688,15606070,-15037240,-11191410,-18349610,25566410
1.690,-74517250,586958,15260800,-88448770,-7080078,16279300,33300780
1.710,60948260,1286123,14751530,-78228860,-18005370,91064460,9682617
1.720,-1873073,1355174,14647950,-15787330,-7548828,21374510,18493650
1.730,-2012905,1217068,14682480,-15923710,-85009770,-75439460,-3803711
1.740,-2090588,71815540,85626210,-16001400,-8129883,-8125,-7910156
1.760,60456250,1078963,14371740,-78669080,-7753906,-5488281,-8149414
1.770,-2157918,1355174,13957420,-16072180,-5234375,-27563480,-8286133
1.780,-2148421,70002890,81741960,-16064410,-2824707,-34985350,-6542969
1.790,60482140,-46869990,61889100,-78694980,-105041500,-2861328,-40356440
1.800,-2155327,-43486380,58367380,-16074770,8862305,-9472656,-91674810
1.810,-8436252,2710346,12032560,-9828369,34960940,8178711,20666500
1.820,-2233011,68967080,77253480,-16152450,6245117,6732178,13171390
1.830,6035269,-30720130,45238610,-7884173,8779297,-4272461,14978030
1.840,-2336593,-27310620,41742780,-16256040,10361330,12310790,20861820
1.850,-2379752,-24747010,39127380,-16299190,10214840,13439940,33398440
1.860,60205930,4151839,10194010,-78971190,8540039,80566410,40454100
1.870,60171400,-22174770,36520610,-79005720,5541992,5958557,359375
1.880,-2493690,6913973,7466399,-16409680,19616700,-15649410,2861328
1.890,-2511816,-18661680,33128370,-16426080,-72143550,-2692871,16784670
1.900,60076460,-16892180,31445190,-79048870,-36914060,-26879880,10046390
1.910,-2548066,52566900,93998940,-16458880,-5229492,-122558600,9136963
1.920,-2573964,-10755070,25497970,-16484770,-5488281,38635260,18249510
1.940,59929710,-2037072,16952600,-79126560,-27905270,23754880,29907230
1.950,-2689629,7487979,7496610,-16593530,-13134770,2722168,35131840
1.960,-2733652,7526821,7526820,-16635830,-21865840,32299800,3955078
1.970,59774340,7557035,7548397,-79230140,60577390,2286377,390625
1.980,-2838954,84417780,67154430,-16737680,7989502,11602780,28466800
1.990,59627600,88992560,63097530,-79325080,9753418,-62316900,15808110
2.000,-2962391,24902380,-9624316,-16855930,10888670,-22949220,100097700
2.010,59480870,28398210,-13033830,-79420040,12030030,-35180660,13598630
2.020,68438820,2580529,-2425849,-70444820,14294430,-35961910,17810060
