Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
0.000,30057130,15860700,25381440,30796170,16611330,-15844730,-21328120
0.010,-628385,15924580,25455670,6727528,15185550,-1541748,-19648440
0.020,26886800,15977230,25523860,34208190,14033200,-1381836,-18261720
0.030,26929960,16010890,25576510,34216820,12822270,-7696533,-16972660
0.050,26999880,16030740,25642980,34215960,11044920,39642340,-15361330
0.060,-5282588,-2735381,6904477,66498420,9741211,4232788,-14765630
0.070,-5092684,-2750054,6919150,66291260,86328130,9056091,-14697270
0.080,27032680,15986720,25687000,34131370,7597656,-10571290,-1390625
0.090,-32230670,-46600680,50764600,38341890,65185550,-18115230,-13203130
0.100,-4548890,-2808750,6965762,65592100,5859375,-22375490,-12099610
0.110,-4367626,15833940,25649880,65324510,50390620,-18151860,-10859380
0.120,-4194992,-28605370,69985620,65031030,46069340,-27923580,-95703130
0.130,-4039622,-28907480,70149620,64737560,4165039,32177730,-8623047
0.140,26837600,-2921824,7032224,33670440,39501950,65625,-80029300
0.150,-30933330,-2954624,7047764,36963420,36669920,9921875,-69628900
0.160,29683380,-4822432,5230017,30358550,37768560,12578130,-6542969
0.170,26507010,-30236760,70788350,33224180,35009770,14277340,-60595700
0.180,-375477,15087300,25239880,6312345,33740230,14833980,-5234375
0.190,-3832464,-49009780,53016600,62786800,21521000,13476560,-43359380
0.220,-30163380,-32239310,71306260,35920710,4180908,-27801510,-3326416
0.230,-4419416,-3268818,7135806,61509310,-29006960,-48486330,14672850
0.240,-4548894,-3314566,7140122,61207210,-8734131,-81640620,27001950
0.250,-4661098,-33603110,71444370,60905090,-20202640,-9892578,30078120
0.260,24655520,13436930,23990010,31191420,-2800293,-10214840,2849121
0.270,24485470,13215090,23814790,30998930,-33422850,-9946289,28955080
0.280,-488552,13001890,23648200,6000741,-3635254,-88134770,30078120
0.290,24146250,-35303550,71608370,30613100,-3461914,-85595700,32861330
0.300,-5023634,-3567474,7166880,59420450,-31835940,-84228510,34545900
0.310,-31839740,12471900,23245960,32379910,-25854490,-8378906,36938480
0.330,-5325742,12209500,23059520,58548650,-27783200,-72558590,49194340
0.340,23200220,12096430,22982690,29573840,-30615230,-6791992,51708980
0.350,-5662376,11993710,22912780,57970330,-3474121,-6538086,55371100
0.360,-2919143,-37392420,72126270,3437217,-36328120,-6245117,54541020
0.370,-6137118,11796910,22781580,57409260,-39575200,-63671880,54589840
0.380,22181680,-3785854,7228163,28538040,-38208010,-63623050,5698242
0.390,21876980,11612190,22655550,28238520,-375,-60498050,5991211
0.400,-7103862,-38290120,72402490,56615150,-39575200,-62158200,57666020
0.410,21234780,-3849728,7245426,27620490,-40942380,-5605469,54833980
0.420,-29613550,11342020,22459620,34433480,-45996100,-45361330,4716797
0.430,-8398614,-38859800,72523330,55890090,-4765625,-33984380,3876953
0.440,-29953640,11175430,22332730,34628550,-4958496,-24902340,2734375
0.450,-30164250,-39196430,72549220,34763200,-42138670,-18396000,18933100
0.460,-32436370,11004520,22192900,32888150,-37329100,-13781740,14770510
0.470,-10729170,10903530,22103990,55061450,-31420900,-17163090,1439209
0.480,-11411070,10803400,22014220,54862920,-2980957,-20385740,12487790
0.490,17936620,-39809280,72402490,24617530,-2915039,-22509770,748291
0.500,-31607470,-3998194,7231619,35771390,-2685547,-25341800,7720947
0.510,-31947550,-40171810,72195330,36018240,-27954100,-2836914,9234619
0.520,-3407747,-40361700,72074480,3447523,-25585940,-2788086,107666000
0.530,-1514858,10049860,21300380,5399113,-26879880,-24963380,925293
0.540,1546885,-40793290,71763740,2244147,-3203125,-21472170,10559080
0.550,14991500,-54774880,57833940,22021130,-35766600,-14001470,13464360
0.560,-17358290,-41233510,71427100,53490480,-41625980,-3086853,17919920
0.570,14083440,14334790,15461750,21220110,-46264650,58288580,1932373
0.580,-18661680,-41656460,71073200,53188370,-5239258,1965332,22033690
0.590,-19257260,-4183775,7090921,53058900,-55615230,37719730,26464840
0.600,-3470795,8743024,20017720,3802253,-6196289,5917969,35107420
0.610,12633320,8604916,19879610,19942620,-65185550,78271490,42285160
0.620,-20655590,-42226150,70503510,52765420,-65625,9111328,52246100
0.630,-20992230,8427102,19694890,52722270,-6459961,10185550,5883789
0.640,12037730,8386535,19649140,19433350,-70166020,11552730,6508789
0.650,15287130,-42260680,70279100,16028590,-75341800,12539060,6538086
0.670,-21501500,8504786,19738050,52851740,-72509770,11796880,72802740
0.680,15398130,-41854990,70339510,16142010,-66503900,10273440,6816406
0.690,12198280,8795676,19999590,19635330,-58691410,87158200,6176758
0.700,12400270,9010604,20198980,19830410,-5292969,71972660,42333980
0.710,-20741910,9261784,20431170,53438700,-52246100,6098633,26391600
0.720,12924210,-40637920,70866050,20325000,-53808590,5288086,12445070
0.730,13246170,9851330,20981010,20624520,-46923830,36987300,21533200
0.740,13605250,10190550,21297790,20955980,-4116211,21325680,25805660
0.750,-3659811,10556540,21639610,3659848,-33935550,9222412,23535160
0.760,14466690,10950140,22005590,21751820,-33447270,87890620,1730957
0.770,14969910,11353240,22379340,22215340,-31225590,11791990,57006840
0.780,-16900820,-37685900,72247120,55121870,-28393560,40985110,-10076900
0.790,16084260,12216410,23173460,23241650,-30664060,12954710,-3137207
0.800,-15303960,12649720,23568790,55786510,-46484380,24368290,-49829100
0.810,17307370,-3588188,7292901,24366350,-62353520,-44647220,-72265620
0.820,-13568990,-3526905,7312756,56468420,-6386719,-85632320,-8515625
0.830,18634060,-34621650,73326070,25577380,-6767578,-3942871,-95410160
0.840,-11566440,-33957010,73524600,57193470,-8076172,40374760,-14365230
0.850,-31650620,14893950,25588600,36366970,-8886719,11999510,-18945310
0.860,-9149572,-3242060,7393893,57970320,-87158200,4819336,-225
0.870,-7733976,-31540140,74197870,58350120,-10419920,10820310,-26289060
0.880,-6163010,-30590660,74456820,58695380,-14335940,16787110,-27207030
0.890,-4410780,-29606650,74750300,58997490,-1515625,20117190,-28417970
0.900,25315840,-28588110,75061040,31480580,-12236330,22460940,-31757810
0.910,-233056,-2756959,7537179,59360020,-8652344,26464840,-35722660
0.920,-25543710,19437670,29659300,31701550,-45239260,31855470,-39355470
0.930,-24103950,-25601550,75889680,30517280,20800780,35449220,-4265625
0.940,-22520030,-24695220,76053680,29200950,81396480,39726560,-428125
0.950,10547910,21129470,31126680,59075180,15380860,428125,-4578125
0.960,-18892140,-23046570,76062320,26147930,18359380,4640625,-49375
0.970,-16850750,-46407340,51769330,24408650,18457030,48242190,-51640620
0.980,37442480,22192900,31910440,41157550,15019530,50078120,-53671880
0.990,24436270,-20810970,75276830,57167580,12998050,50078120,-51914060
1.000,-9775369,22589090,32083930,18225780,21445310,72382820,-590625
1.010,-7336920,-19369480,74163340,16072180,5698242,33476560,-4484375
1.020,35847340,-1874802,7347280,54129230,14433590,528125,-48476560
1.030,-1827322,-18195570,72661430,11068400,17685550,515625,-471875
1.040,10547910,-17738090,71720580,84089780,17851560,60859380,-43789060
1.050,39619380,22237780,31036910,57055370,14892580,65,-3890625
1.060,24520000,21859720,30500020,-14667800,8276367,69804690,-38164060
1.080,81116160,-1646058,6659334,-70973940,-6171875,58164060,-23476560
1.090,15543920,-1634839,6513461,-5310207,-8276367,42421880,-23691410
1.100,64659880,19618930,27630850,38177900,-14833980,53632810,-12529300
1.110,53133140,-1665915,6218256,49946320,-79589840,49609380,29296880
1.120,7000289,17961650,25731880,3302479,-97998050,42617190,18369140
1.130,26035720,17028570,24696950,-15758850,-17041020,40742190,23261720
1.140,28281680,16027300,23609350,-18053150,-17558590,31816410,35976560
1.150,7609687,-18799790,56295780,2549796,-10771480,23964840,44023440
1.160,7766782,13918570,21367710,2311563,-6826172,16220700,46484380
1.170,79031620,12819760,20222280,20785070,61920170,7680664,54804690
1.180,80222780,11717500,19080310,18540830,-8105469,421875,58476560
1.190,81241320,10601420,17934890,16417450,28051760,-39746100,59804690
1.200,3866905,9481895,16792920,-2902055,8911133,-97265620,62265620
