Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
0.000,-35743770,-22364660,-60240450,-67508330,52734380,-20153810,-12597660
0.010,-35925030,14645370,-22936950,-67309800,4885254,-16418460,-12314450
0.020,-36071770,18245550,-19077810,-67111260,39282230,-10559080,-12324220
0.030,10200910,-23210570,-60326770,-20510590,27294920,-8105469,-11621090
0.040,-36296190,-40069090,-43761720,-66714210,1217041,-48034670,-11572270
0.050,-36365240,-23668050,-60456240,-66524310,-4421997,-4196167,-11416020
0.060,9828887,-2386657,-6055120,-20105760,-17150880,-5545044,-10800780
0.070,-36425670,-24039210,-60654770,-66187680,-2524414,-103271500,-10253910
0.090,-49659750,-42423040,-42788840,-52608330,-34887700,-35205080,-9345703
0.100,-36339350,-24427630,-61025940,-65738830,-33984380,-42041020,-9345703
0.110,14147140,-24522590,-61172680,-15166030,-328125,-40063480,-9477539
0.120,-36218510,17938520,-18797880,-65462620,-33032230,-26000980,-10429690
0.130,-36114920,17989100,-18850880,-65324510,-32714840,72265620,-12207030
0.140,9544902,-24686590,-61699210,-19664680,-30517580,5180664,-12412110
0.150,9583747,14288870,-22948170,-19677630,-20507810,84716800,-11230470
0.160,14170530,14409720,-23086280,-15177160,-14245610,10341800,-9848633
0.170,9715812,18468760,-19337970,-19752720,-11987310,12167970,-91845700
0.180,9816802,14732540,-23436720,-19824370,-41900640,12939450,-6513672
0.190,-34975540,14906910,-23624890,-64789340,12524410,1140625,-3474121
0.200,10020510,-41714290,-45603720,-19965930,21899410,7519531,-24353030
0.210,-3448355,15238360,-23983970,-6465986,28515620,24682620,23254400
0.220,-34250490,-24039210,-63572280,-64582190,19873050,-27661130,16784670
0.230,-47746110,-23961520,-63805330,-50793090,3390503,-6816406,-4220581
0.240,-47593330,-23866580,-64021130,-50652390,-82214350,-9135742,-23400880
0.250,14883160,-23763000,-64245550,-15862860,-10736080,-10439450,-41210940
0.260,10575530,-2364216,-6446999,-20343130,-3390503,-10517580,-46362300
0.270,-47135850,16185250,-25005090,-50246700,57128900,-9638672,-47387700
0.280,-32886680,-2335729,-6492744,-64202390,20056150,-81152340,-45239260
0.290,-32636360,-42080270,-46273540,-64159240,27368160,-6503906,-42626950
0.300,-46663700,-23055200,-65367660,-49838420,3503418,-5058594,-47485350
0.310,-32127090,-2290844,-6558345,-64081550,3786621,-36694340,-5214844
0.320,11292820,-22761730,-65781990,-20886060,34692380,-24572750,-5834961
0.330,11427470,17253850,-26111680,-20993100,24414060,-11254880,-6567383
0.340,-3135026,17424760,-26286040,-6402976,20837400,-8026123,-6953125
0.350,-45903250,21584890,-22471180,-49200540,20092770,8947754,-7084961
0.360,11899630,21748880,-22635180,-21384110,1895752,16882320,-73339840
0.370,12094700,-2195035,-6666243,-21551570,23864750,18591310,-7138672
0.380,12297550,-21786340,-66809160,-21728520,23999020,19421390,-65283200
