Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
0.000,14985450,76528420,28812530,-7197950,-32409670,6777344,36621100
0.010,15549100,29339060,-18842950,-7773685,4714966,7363281,2614746
0.020,40023350,29578160,-19121750,37575400,11730960,7675781,28222660
0.030,51539730,76701060,27483250,25886400,6210327,7368164,30639650
0.040,17274570,30057220,-19678490,-9552674,-9942627,73876950,40673830
0.050,52506470,30296310,-19957300,24505330,-22338870,70996100,5888672
0.060,18408770,76882320,26128080,-10731760,-21228030,6977539,66015620
0.070,18957750,26123330,-25097030,-11304900,-16320800,69677740,6533203
0.080,53801220,76977270,25290810,22468250,-16088870,59033200,67529300
0.090,19984050,77020430,24885120,-12384720,-12988280,46313480,6582031
0.100,20478650,31370960,-21213200,-12908670,-1361084,29418940,61376950
0.110,54888820,5062742,5062210,20500220,-23937990,38482660,6435547
0.120,21422090,77193060,23728470,-13915980,-43676760,-15783690,80566410
0.130,5548440,31963090,-21898560,1924865,-51220700,-20495600,8979492
0.140,22261950,77296650,23089730,-14819720,-44360350,14930730,82177740
0.150,22642610,7734845,2279625,-15233180,-36132810,35131840,6376953
0.160,22987880,77400220,22537300,-15612970,-2998047,71435540,47875980
0.170,38675940,77460640,22304240,34745080,-2697754,10429690,43164060
0.180,56520210,77512430,22079820,16555560,-2565918,13447270,453125
0.190,5666694,3282626,-2288257,1608081,-23474120,16279300,5292969
0.200,24215300,32947100,-23020680,-16975050,-25317380,17080080,70947260
0.210,5692591,49844210,49281940,1516587,-21789550,15478520,10107420
0.220,5703809,33191380,-23294300,1476018,-111816400,11865230,13154300
0.230,5714170,77771380,21061290,1439767,10614010,71435540,15087890
0.240,37814500,77814540,20897280,33500400,39697260,2692871,15703130
0.250,37720420,52150850,46440140,33370060,6503906,-19543460,15058590
0.260,25452220,77883590,20586540,-18362150,7998047,-6254883,13671880
0.270,22045300,52058490,46308070,-22045290,82666020,-8979492,12421880
0.280,5742652,33769700,-23941670,1311153,7324219,-10126950,11181640
0.290,37401040,78064860,20111800,32947110,5493164,-10361330,10205080
0.300,37314730,51947140,46125940,32843520,32104490,-10087890,9667969
0.310,37228410,29725330,-28745640,32739940,-29087070,-9848633,10390630
0.320,37148140,78306540,19593900,32647590,-2084961,-94384770,10585940
0.330,57366110,78384240,19464430,12274250,-3388672,-83984380,9794922
0.340,2603746,78470550,19360850,-1908892,-4440918,-73095700,8642578
0.350,57236630,51878090,45953310,12127510,-52001950,-5942383,7128906
0.360,25991700,51892760,45955900,-19065640,-5883789,-4711914,609375
0.370,57072630,78677710,19222740,12101610,-67626950,-4260254,57177740
0.380,56977680,34652720,-24854040,12127500,-74853520,-40795900,63623050
0.390,56874100,78789930,19283160,12196560,-71240230,-35375980,7270508
0.400,56761890,52071440,46122490,12291510,-63378900,-31762700,8027344
0.410,56641050,7888487,1944714,12429610,-5698242,-28100590,88671870
0.420,56520200,78910770,19576630,12602250,-4399414,-18273930,92529300
0.430,25245920,78936660,19723380,-18326770,-3774414,11558530,8803711
0.440,56235350,34471460,-24586460,13059730,-3203125,17053220,8955078
0.450,5608863,78971190,20085910,1334460,-3137207,3083496,93847660
0.460,55941880,34310040,-24385340,13646680,-27783200,4814453,10019530
0.470,55777880,7897982,2047431,13983310,-2709961,5649414,10800780
0.480,55613880,78979820,20664230,14354480,-22265620,6044922,11435550
0.490,23854490,34054540,-24071150,-16835210,-66101070,58447260,11728520
0.500,55268610,33968230,-23967570,15183120,12963870,53759770,10742190
0.510,19723380,29382480,-28380690,-19723370,3071289,4345703,9213867
0.520,3744161,33811130,-23779400,3356256,45117190,29223630,765625
0.530,22614990,50256440,50198980,-15485220,51416020,15441900,5644531
0.540,54509020,78945300,21630970,17099360,5473633,56243900,31762700
0.550,21946890,29108680,-28102060,-14754980,56103520,-8018494,6072998
0.560,37923260,78936660,21812240,34323860,59277340,-24276730,-17126460
0.570,21271900,78928030,21872660,-14014380,6269531,-27496340,-43041990
0.590,53550900,78910770,21941720,19697480,6455078,3253174,-91845700
0.600,20243000,53281600,47588140,-12885360,625,657959,-11220700
0.610,19906370,78884880,21967610,-12514200,6176758,11657720,-13369140
0.620,52981220,33483130,-23399610,21302980,60302740,2277832,-15400390
0.630,52799950,7884170,2197622,21846770,64160160,39648440,-17509770
0.640,18856750,33454650,-23376300,-11354100,72753900,5395508,-18974610
0.650,39168810,78764030,21984870,36220230,81689460,72216800,-20019530
0.660,18168810,78720870,21976250,-10591930,91796870,921875,-19482420
0.670,17824410,33387320,-23322780,-10211270,11162110,10214840,-18027340
0.680,39613340,33367460,-23308110,36880550,12607420,10888670,-16738280
0.690,51729620,33338980,-23284810,25126810,13515630,10732420,-14179690
0.700,5154835,33301860,-23252870,2567062,13798830,10039060,-11142580
0.710,16445930,50510060,49945370,-8689504,14111330,78027340,-81396480
0.720,16092900,78392860,22010770,-8300216,13388670,4958496,-5234375
0.730,40328050,7832380,2202802,37961240,11523440,30639650,-30810550
0.740,50788770,33111100,-23081100,27863050,8925781,58166500,-22375490
0.750,50590250,78168450,22062560,28406850,7060547,-21875,-19628910
0.760,50391720,3301010,-2299222,28950640,6767578,-3984375,-31762700
0.770,14324260,32964370,-22951620,-6357227,73095700,-49780270,-4099121
0.780,49968760,7795264,2212296,30012330,81347660,-6357422,-47827150
0.790,10008510,32872870,-22870480,-9205594,89990230,-6176758,-5551758
0.800,4953718,7781455,2215751,3104814,82958980,-6308594,-56103520
0.810,49304130,77754120,22183410,31557410,79833980,-8129883,-65625
0.820,12549590,52739530,47198000,-4437542,9604492,-9394531,-8383789
0.830,48786220,32602700,-22605500,32593200,12539060,-80615230,-10859380
0.840,48484120,7751242,2256317,33119730,15380860,-6875,-10683590
0.850,48147480,7742611,2277034,33646260,18662110,-72509770,-95214850
0.860,109000800,77339810,23046570,-27034400,22792970,-7963867,-8730469
0.870,10449510,77227590,23400470,-2239053,25898440,-8276367,-50683590
0.880,47016730,31667020,-21573150,35243130,25019530,-7788086,-74401860
0.890,95397260,31356280,-21227880,-13016570,17900390,-29858400,48876950
0.910,4806030,7664064,2547207,-3981015,8203125,38110350,8120117
0.920,4510049,30342060,-20084180,3736653,11523440,67333980,49536130
0.930,37867160,76416220,26663240,-29632530,1328125,79296870,5703125
0.940,70330890,76373060,27224300,11808140,10234380,89941410,12001950
0.950,6597188,29470260,-19057010,1590819,50390620,6484375,19072270
0.960,24795350,29154340,-18682400,-16636690,42163090,31689450,21171880
0.970,5702084,7620905,2916643,2422048,2939453,17419430,19365230
0.980,52489210,76148630,29951910,28320530,3713379,-85754390,121875
0.990,11870280,7609685,3079782,-3839368,68115230,-22131350,63623050
1.000,44554980,56079990,51643310,-36582760,4260254,-4255371,28915400
1.010,11719220,27114680,-16250850,-3817789,-5810547,-11494140,-111328100
1.020,-17665580,75915580,33723950,25492790,-32202150,-11728520,-13017580
1.030,33447740,21002070,-19894800,43978380,-6323242,-18359380,-12666020
1.040,3005548,25300300,-14111920,4645569,-72314460,-24003910,-21269530
1.050,2657692,24544170,-13228040,4884666,9552002,-28984380,-32207030
1.060,-9754653,75276830,39248230,17176170,10859380,-3125,-38183590
1.070,21484240,22888610,-11292820,51349830,14150390,-25449220,-465625
1.080,18834310,74802090,42640470,52497850,13554690,-20585940,-46875
1.090,15882280,20890380,-8992479,53861650,17021480,-23945310,-43710940
1.110,9253158,73317450,48768960,57072630,42539060,-52001950,-42109380
1.120,6068068,62884340,60703980,58376020,53671880,-8660889,-41445310
1.130,2839824,15797690,-3295574,59636240,56601560,9399414,-36699220
1.140,27181140,88146660,-75509890,33275110,55859380,48510740,-33125
1.160,24807430,60475240,-47593330,31522880,484375,13549810,-24921880
1.170,-7336920,46633480,-33641090,61543840,50117190,86865230,-22421880
1.180,-8942414,32614780,-19520530,60974140,4203125,14375,-21484380
1.190,-10194010,77581490,54275970,60067820,30234380,14472660,-2109375
1.200,-32485300,36986720,95682110,37258620,17841800,21074220,-15615230
1.210,-11635490,49424970,83951660,57245260,64453120,42695310,-85058590
1.220,-32003660,3625302,9771056,36359200,11767580,44492190,28564450
1.230,-12861190,-36608660,50053350,54465860,-61340330,3390625,13867190
1.240,16572820,1244687,12241440,23167410,-48168940,22421880,20800780
1.250,-12964770,60965510,74206500,50909620,-12167970,12041020,18339840
1.260,15088170,-936538,14479630,21164870,-19335940,12783200,13808590
1.270,-11670020,-1963709,15524070,46334830,-225,17568360,10820310
1.280,13836570,-2915780,16488220,19343580,-21035160,16103520,98828130
1.290,-9969581,57366110,78444660,41820460,-21386720,12841800,87890620
1.300,-22722880,56641050,79221510,25787130,-25625,81347660,6020508
1.310,-7828930,-5178143,18766120,37401050,-29335940,18762210,36767580
1.320,-6939861,55337660,80524900,35527980,-31289060,-48999020,-14611820
1.330,-6421967,6788348,6791002,34146900,-23769530,-12480470,-28442380
1.340,-5429318,53930700,81759220,32377410,-16494140,-13613280,-5488281
1.350,-15693240,66339600,69246740,18315550,-11777340,-13330080,-8642578
1.360,-1726334,-8304536,21854540,27276090,-10214840,-12265630,-13330080
1.370,-10405480,52135320,83261140,12900040,-12138670,-13935550,-13808590
1.380,3668463,66044390,69248470,20759180,-15585940,-15957030,-14042970
1.390,-38928860,-9702868,23218340,62924900,-13085940,-15576170,-14775390
1.400,4039625,-16199760,17550090,19576640,-14052730,-153125,-15898440
1.410,54802500,-10484030,23973610,-31514240,-12607420,-10205080,-17617190
1.420,11250530,-16839710,18187630,-8947595,-10800780,-93896480,-18554690
1.430,17974600,-11021780,24488920,-15688930,-11992190,-10849610,-22988280
1.440,11620820,4926097,8525505,11132270,-15458980,-11972660,-29121090
1.450,14656590,48907060,85401780,8061985,-16230470,-10576170,-32773440
1.460,54086070,-17844690,19185190,-31367500,-19501950,-32543940,-37324220
1.470,16633240,6499996,6875646,5981751,-29414060,13798830,-446875
1.480,7567392,64844590,68635620,-5311066,-32109380,23144530,-575
1.490,19058740,64706480,68497510,3452674,-2875,2546875,-80
1.520,24677960,64034080,67702540,-2166547,-105,96972660,-74257810
1.530,27060300,-11585430,24667600,-4255417,-114296900,51708980,-44414060
1.540,29598010,63026760,66620990,-6119854,-95625,7167969,-2668457
1.550,32291100,-11242760,24078060,-7863459,-51210940,7939453,38222660
1.560,35087760,-10656660,23352130,-9779688,9638672,87353520,60742190
1.570,26213530,-9700276,22254180,-23643020,57539060,15146480,43632810
1.580,4026677,-14002130,15241980,-1514860,1709375,4875,53554690
1.590,43218790,-6370174,18558100,-18929260,1178125,16875,1046875
1.600,11650000,-3677957,15656990,10964990,156171900,15484380,30898440
1.610,13702790,52213000,65108720,6219124,133984400,1640625,-21113280
1.620,12279420,56937110,57536150,4207081,69375,16546880,-56210940
1.630,49183280,12551320,-1431997,-36909040,-16865230,15671880,-66953120
1.640,55989350,8431417,2302929,46900200,-95875,-5928125,-95625
1.660,74657940,69502240,41362980,66038350,111625,-421875,4546875
