Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
0.000,25403020,2255194,-2908271,76502530,-26708980,13828130,12333980
0.010,-20642650,-5904070,-58850760,30784870,-19885250,14228520,13144530
0.020,-20812690,23901970,-30322210,30908300,-1274414,13789060,13779300
0.030,-20982740,-4091416,-59541290,31031730,-4675293,12832030,14306640
0.040,23857940,-28699460,-34363560,76183160,-14717100,11025390,14550780
0.050,23478150,-2347820,-60128250,76114100,8123779,90283200,15068360
0.060,-21516180,29439550,-29445730,31430520,22436520,71533200,15820310
0.070,2273580,-656008,-60594360,7599326,3395996,5961914,16425780
0.080,-21885610,172630,-60784250,31717090,40576170,546875,17490230
0.100,21630980,28453450,-34385140,75906940,20031740,5678711,19013670
0.110,21285700,2520444,-61181310,75906940,34118650,7158203,20585940
0.120,45676230,3245508,-61267630,51171160,-95336910,8652344,21855470
0.130,-22811790,3901516,-61319420,32465450,-17578120,10644530,23046880
0.150,20042750,30405930,-36040700,75941470,-6378174,14599610,25078120
0.160,-23309840,5532900,-61431620,32882370,3994751,15009770,25351560
0.170,4490971,5955856,-61457520,5055659,18481440,12929690,25039060
0.180,-23601590,-24187680,-30968720,33125780,23791500,88134770,24277340
0.190,1905010,-24023680,-30839240,7598462,2578125,40698240,23574220
0.200,-23819970,6922604,-61543840,33304450,25219730,-10046390,22421880
0.210,18713470,7181550,-61561100,75976000,30126950,-5605469,21503910
0.220,18618520,7423238,-61578370,75967370,38330080,-8666992,203125
0.230,-23983970,7656290,-61587000,33433930,46411130,-103125,19716800
0.240,4692799,-26497080,-27191930,4750251,53466800,-98583980,19296880
0.250,18463150,8139664,-61569740,75932840,5576172,-8984375,18710940
0.260,-24024540,8372720,-61543840,33462420,609375,-82714850,18125
0.280,18376830,8812938,-61466160,75967370,46289060,-74609380,17783200
0.300,-24173870,-22569240,-29617860,33606560,14440920,-7114258,18408200
0.310,1820418,9253158,-61250360,7612275,670166,-6489258,19160160
0.320,18135150,9296312,-61155420,76209060,30914310,-65771480,19794920
0.330,18083360,9287676,-61060460,76312630,4046631,-62890620,20507810
0.340,1803154,9218628,-60939620,7641622,19210820,-6074219,20957030
0.350,18005670,32370500,-37546060,76528420,-5923462,-60498050,21230470
0.360,-24580420,-22432000,-29392580,34045910,-15466310,-5839844,21425780
0.370,-24608040,32022650,-37220640,34087340,-30615230,-5078125,21445310
0.380,1811786,8329564,-60499400,7684780,-44458010,-44555660,21210940
0.390,44649920,7967036,-60395830,50522920,-5961914,-25708010,21035160
0.400,18350940,31285500,-36559460,77046320,-66845700,-390625,20839840
0.410,44889020,30992030,-36300510,50749930,-76416020,16149900,20332030
0.420,1869618,6629126,-60093720,7720170,-828125,35083010,19550780
0.430,45159190,6111224,-59990140,50997660,-86572260,4633789,18671880
0.450,1930903,5032264,-59791610,7740023,-10048830,38867190,16054690
0.460,19516220,31807720,-32360150,77452020,-10097660,22595220,15097660
0.470,-24019360,-24688320,-31037770,33743800,-9980469,49926760,1375
0.480,45864400,3314558,-59524030,51621730,-9121094,-12927250,12607420
0.490,20172220,-25246790,-31463320,77555590,-7675781,-26586910,11425780
0.500,20370750,-25529050,-31681700,77581490,-6699219,-39331060,10224610
0.510,-23602450,-28559880,-29168760,33418390,-55810550,-46240230,89160160
0.520,-23507500,27219980,-33046360,33340710,-47338870,-5083008,74902340
0.530,46400420,422950,-59221920,52069710,-42504880,-5229492,6044922
0.540,-23348680,26551890,-32488760,33206050,-35595700,-47631840,47607420
0.550,49039040,-776854,-59196020,49603730,-32910160,-38256840,4038086
0.570,21138970,-2062978,-59187390,77521070,-6939697,-6976318,3046875
0.580,-23259770,-2753508,-59187390,33122320,9313965,19665530,29101560
0.590,21087180,-3487200,-59161500,77503800,28637700,38745120,27001950
0.600,-23299480,-4264048,-59144230,33151670,41015620,5708008,22192380
0.610,-23329690,-5084056,-59135600,33173250,5336914,81591800,16064450
0.620,20871390,-5947226,-59135600,77426110,58935550,9785156,11035160
0.630,20759180,-6853554,-59161500,77365700,6699219,10878910,-21347050
0.640,2063832,-30929020,-36070040,7727937,6845703,11347660,-19067380
0.650,20491590,21854530,-28658020,77167170,7207031,11640630,-32714840
0.660,-23470390,-9727894,-59377290,33205190,7373047,11064450,-6689453
0.670,-27852860,-10677380,-59498130,28822720,81103520,11455080,-88427740
0.680,45468200,20442390,-27566980,51137490,8745117,11191410,-10595700
0.690,19740640,20002180,-27230340,76468000,96191410,10087890,-11474610
0.700,45059060,19581820,-26908380,50735260,98828130,9013672,-12402340
0.710,19300420,19163180,-26584690,76096840,10351560,75439460,-13388670
0.720,-23672370,18757490,-26265320,33175840,10957030,5332031,-14443360
0.730,-23705170,21769510,-22528240,33177570,11484380,3647461,-14921880
0.740,18791150,-16521030,-60093720,75673890,128125,25976560,-15097660
0.750,-23728480,17550780,-25279580,33154260,15976560,25341800,-14824220
0.760,18644420,17139910,-24930870,75475370,20507810,2310791,-13183590
0.770,18670310,16715230,-24561430,75397670,240625,2006836,-10771480
0.780,-23572240,-19283160,-59713930,32982490,28046880,22509770,-765625
0.790,18981050,15783880,-23731930,75259570,32070310,17004400,-45996100
0.800,-23233880,15268570,-23263220,32682110,36269530,6866455,-3095703
0.810,19688850,-21458350,-58937080,75121460,38808590,1394043,-41430660
0.820,-22634840,14119690,-22202390,32159030,42382810,20935060,-48510740
0.830,47635700,-23107000,-58151590,48175880,434375,35205080,-69970700
0.840,-26051350,-24004690,-57668220,27016190,47070310,67333980,-9482422
0.850,22684040,11990260,-20188620,74629460,50429690,11777340,-12998050
0.860,23806160,11202180,-19422990,74491340,5296875,19599610,-14794920
0.870,2511815,-26654610,-55605250,7437050,55703120,27128910,-16943360
0.880,-23318900,-27440090,-54647130,24327940,578125,31054690,-20273440
0.890,-17826130,8615274,-16779110,28077110,63554690,38710940,-19384770
0.900,49968760,-28674430,-52238900,54370920,6390625,38476560,-20175780
0.910,32204780,-38842540,-41017720,74171980,63164060,38828120,-21894530
0.920,-14421800,6064613,-13909080,25283900,63085940,40507810,-21816410
0.930,-13048500,5263595,-12931970,24154010,59960940,40742190,-22832030
0.940,39602120,-29062850,-45566610,73990710,55703120,41289060,-25410160
0.970,4870852,-27517780,-39101490,7284269,478125,50351560,-3734375
0.980,-3893750,-26654610,-36719140,16304370,4796875,53398440,-42304690
0.990,-1717705,40339260,-46322740,14371740,45703120,5859375,-43242190
1.000,-52944970,9279050,-65298620,65826880,4375,6328125,-45234380
1.010,61638780,6188906,-58030750,69286450,40390620,71601560,-3828125
1.030,38663000,-328002,-42277940,-25211400,39013670,89375,-15449220
1.040,91271320,-17479140,-20241280,44660280,221875,75351560,-38256840
1.050,49665790,-10064530,-22666780,-35960420,-32226560,71796870,11651610
1.070,77193060,-19343580,-3288671,61224470,-18466800,5109375,20996090
1.080,16653090,-23219200,5610588,-2785442,-20761720,35585940,29492190
1.090,18328500,-8243250,-4341734,-4459123,-11748050,25078120,384375
