Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
2026-01-14 17:14:05.491,-36784740,14561640,58220640,44594680,3864746,5215454,1609375
2026-01-14 17:14:05.501,-157095,5,-18189530,25469480,7973940,35327150,-88378900,16201170
2026-01-14 17:14:05.511,-1484648,1457023,5824655,79722140,38085940,-44281010,15712890
2026-01-14 17:14:05.521,-3663539,14561630,58272430,4446780,44799800,11962890,15888670
2026-01-14 17:14:05.531,-1286120,-18230100,25515230,79696250,4567871,-6561279,16572270
2026-01-14 17:14:05.541,-36505940,-18255130,25541990,44355590,48999020,-12207030,16777340
2026-01-14 17:14:05.551,35264700,34250490,38635380,43335320,5683594,-115234400,16083980
2026-01-14 17:14:05.561,-91496,25,-1830433,2559637,7963583,6142578,-793457,15351560
2026-01-14 17:14:05.571,-75958,75,1448395,5845370,7960130,6508789,-9631348,14667970
2026-01-14 17:14:05.581,-36136500,14449420,58505490,44034490,65283200,-14038090,14052730
2026-01-14 17:14:05.591,35560770,1441488,5855726,43557160,65234380,-17407230,13330080
2026-01-14 17:14:05.601,-35914670,-18465740,25762960,43842000,66503900,-15795900,12724610
2026-01-14 17:14:05.611,3967457,-18516670,25815610,3975410,6640625,-13549810,12587890
2026-01-14 17:14:05.621,13810,75,1427679,5869538,7946320,71484380,-9301758,12441410
2026-01-14 17:14:05.631,-35570270,-18603850,25901070,43547660,68310540,-14282230,12734380
2026-01-14 17:14:05.641,52654,5,-18629740,25926960,7942003,6040039,-24743650,12919920
2026-01-14 17:14:05.651,72506,25,1418184,5879033,7941141,5385742,-38061520,12871090
2026-01-14 17:14:05.661,-35224140,1415593,5881625,43255050,53027340,-41430660,12705080
2026-01-14 17:14:05.671,36336760,-18690170,25987380,44162240,5288086,-39770510,12285160
2026-01-14 17:14:05.681,36442070,1413867,5885074,44246830,57421880,-28393560,11875
2026-01-14 17:14:05.691,-34867640,14138680,58868020,42955530,6899414,42419430,11416020
2026-01-14 17:14:05.701,-34745940,-18712610,26016730,42852810,82910160,44750980,10595700
2026-01-14 17:14:05.711,1950764,14181840,58876650,79325090,79833980,46313480,10361330
2026-01-14 17:14:05.721,215793,8,34304860,38770900,7932511,7109375,30444340,10712890
2026-01-14 17:14:05.731,238235,3,-18640970,25950270,7932508,71972660,22045900,10517580
2026-01-14 17:14:05.741,-34271200,1428540,5882488,42464390,7036133,2631836,10097660
2026-01-14 17:14:05.751,282258,3,14337210,58790330,7933372,68603520,33789060,90185540
2026-01-14 17:14:05.761,306427,3,14371740,58755810,7935099,62158200,27514650,82177740
2026-01-14 17:14:05.771,37525340,14414900,58712650,45131570,5776367,2692871,7260742
2026-01-14 17:14:05.781,354763,3,-18458840,25769860,7936824,5966797,34448240,6459961
2026-01-14 17:14:05.791,37816230,1447530,5861769,45375850,5102539,33447270,59375
2026-01-14 17:14:05.801,4039628,14501210,58557280,79428660,46118160,22717280,6147461
2026-01-14 17:14:05.811,-33395080,14509850,58496860,41769540,42114260,13085940,5966797
2026-01-14 17:14:05.821,-33259570,1453572,5843645,41663370,40307620,-9414673,57666020
2026-01-14 17:14:05.831,-33133550,-18260310,25554070,41564960,37182620,-12390140,52246100
2026-01-14 17:14:05.841,508405,8,1458753,5831559,7952362,43359380,-12158200,43432620
2026-01-14 17:14:05.851,534302,8,14613430,58272440,7954088,5410156,-36499020,2915039
2026-01-14 17:14:05.861,38883960,-18151550,25438410,46276130,5859375,84106450,21069340
2026-01-14 17:14:05.871,3902640,-18117020,25403880,4639265,66503900,2548828,9667969
2026-01-14 17:14:05.881,6145752,-18083360,25368490,79549510,6791992,27490230,61798100
2026-01-14 17:14:05.891,39328500,-18022940,25308070,46642980,6411133,26049800,51635740
2026-01-14 17:14:05.901,667228,8,3426515,3858617,7957541,56933590,12585450,3173828
2026-01-14 17:14:05.911,-32004520,-17884830,25169960,40656920,5292969,61279300,-21118160
2026-01-14 17:14:05.921,-31869010,-17807150,25092280,40550740,4975586,5090332,-17443850
2026-01-14 17:14:05.931,-31742980,15062270,57771800,40452340,40405270,-14196780,-22009280
2026-01-14 17:14:05.941,769945,5,1515722,5765959,7968762,34887700,-25585940,-265625
2026-01-14 17:14:05.951,795841,3,-17507630,24787580,7972214,31835940,-30419920,-35351560
2026-01-14 17:14:05.961,-31379590,15338490,57426530,40177000,2775879,-38891600,-36108400
2026-01-14 17:14:05.971,-31251840,-17303920,24576970,40080320,20703120,-51220700,-38891600
2026-01-14 17:14:05.981,872665,15519750,57193470,7985163,20727540,-5439453,-39990230
2026-01-14 17:14:05.991,40890830,-1709937,2436720,47980890,23852540,-54052740,-3959961
2026-01-14 17:14:06.001,9244532,15701020,56960420,79920670,2553711,-47998050,-43823240
2026-01-14 17:14:06.011,-30753790,1579595,5684822,39697940,26513670,-49365230,-43798830
2026-01-14 17:14:06.021,-30618280,-16790340,24054750,39591760,29125980,-50683590,-4482422
2026-01-14 17:14:06.031,-30483620,1599448,5664970,39484730,3137207,-43188480,-48461910
2026-01-14 17:14:06.041,-30339470,16106710,56554740,39369930,43847660,-18041990,-52001950
2026-01-14 17:14:06.051,-30196190,-19748410,20475200,39254270,51904300,76660160,-57666020
2026-01-14 17:14:06.061,-30042540,34330760,38330680,39131700,5336914,23474120,-66552740
2026-01-14 17:14:06.071,42164000,-16237910,23502320,49055530,42285160,31030270,-7451172
2026-01-14 17:14:06.081,11462870,16555540,56054090,80101940,32714840,359375,-82128900
2026-01-14 17:14:06.091,1177361,-15983270,23239060,8015372,21960450,46728520,-9379883
2026-01-14 17:14:06.101,12101610,1675405,5571746,80205520,11834720,49780270,-10283200
2026-01-14 17:14:06.111,1241235,1684039,5551030,8027457,-1473999,41992190,-10859380
2026-01-14 17:14:06.121,1273173,-15585350,22808340,8035224,-1517334,2734375,-10380860
2026-01-14 17:14:06.131,-29014510,16987130,55087340,38364340,-28955080,7550049,-97802740
2026-01-14 17:14:06.141,-28882440,-15307410,22499320,38271980,-3840332,-13024900,-9033203
2026-01-14 17:14:06.151,43799710,17142500,54638500,50492700,-4736328,-33911130,-80322260
2026-01-14 17:14:06.161,1398333,-15010480,22174770,8068889,-54052740,-47558590,-72753900
2026-01-14 17:14:06.171,-28488840,-14851660,22005590,37992320,-53515620,-46166990,-671875
2026-01-14 17:14:06.181,44386660,-17907360,18621880,51010600,-49804690,-33618160,-70947260
2026-01-14 17:14:06.191,-2821089,-14532290,21668950,3778687,-53271480,-2998047,-7241211
2026-01-14 17:14:06.201,-28063300,-14363970,21492010,37675530,-62841800,-3486328,-7729492
2026-01-14 17:14:06.211,-2791568,33820620,37373420,3756420,-7260742,-32128910,-84716800
2026-01-14 17:14:06.221,15813230,17936620,53153850,81034160,-75390620,-33569340,-89160160
2026-01-14 17:14:06.231,1612397,-13903900,21002590,8108594,-7783203,-2734375,-88183590
2026-01-14 17:14:06.241,-27464260,-13762340,20850680,37221500,-7324219,-11328130,-9145508
2026-01-14 17:14:06.251,-27308030,-13620780,20698760,37101520,-75146480,-57556150,-9394531
2026-01-14 17:14:06.261,45942090,-13497350,20563240,52355420,-7451172,6085205,-91259770
2026-01-14 17:14:06.271,17384190,-13373920,20427720,81258580,-67285150,27734380,-90966800
2026-01-14 17:14:06.281,1768632,-13250480,20292200,8130174,-59277340,4560547,-93066410
2026-01-14 17:14:06.291,-26711580,18497680,51781420,36644910,-6220703,49951170,-9301758
2026-01-14 17:14:06.301,-31059010,-13006210,20018580,32055790,-7578125,34301760,-89404300
2026-01-14 17:14:06.311,-26436230,18601260,51384360,36436890,-9082031,97961420,-82958980
2026-01-14 17:14:06.321,-26308480,18661680,51203100,36340210,-98828130,-43396000,-8261719
2026-01-14 17:14:06.331,-26172960,18713470,51030460,36234040,-98339840,-6915283,-84765620
2026-01-14 17:14:06.341,-30586770,18756630,50883720,31595810,-98535150,-8886719,-8623047
2026-01-14 17:14:06.351,19602530,-12490900,19446300,81543420,-9711914,-10882570,-81689460
2026-01-14 17:14:06.361,19835590,-15543490,16238340,81552060,-8823242,44067380,-85791020
2026-01-14 17:14:06.371,-25673190,18894740,50521190,35836120,-76464850,20727540,-89208980
2026-01-14 17:14:06.381,-25559250,18929260,50417610,35742900,-75341800,16101070,-8535156
2026-01-14 17:14:06.391,20465700,18972420,50322660,81560690,-7583008,26611330,-80566410
2026-01-14 17:14:06.401,-25341730,-12143040,19069100,35563360,-69140620,-36712650,-75341800
2026-01-14 17:14:06.411,20819600,19076000,50150020,81552060,-6538086,-14404300,-71533200
2026-01-14 17:14:06.421,2099226,19136420,50089610,8153481,-59472660,-2866211,-6821289
2026-01-14 17:14:06.431,21147600,19196840,50029180,81517540,-50439450,-28833010,-63183590
2026-01-14 17:14:06.441,-24958490,19274530,49968760,35238810,-42749020,-28198240,-6147461
2026-01-14 17:14:06.451,21441080,19360840,49916970,81465740,-37890620,-2722168,-6069336
2026-01-14 17:14:06.461,-24783260,-11743390,18674630,35086030,-34521480,-26220700,-6166992
2026-01-14 17:14:06.471,-24690900,33158580,36188300,35005760,-33398440,-24682620,-63623050
2026-01-14 17:14:06.481,21846770,19611160,49752970,81405330,-32421880,-21289060,-59375
2026-01-14 17:14:06.491,21967620,33199140,36199510,81388060,-2775879,-15344240,-5410156
2026-01-14 17:14:06.501,-24468210,19783800,49632130,34814140,-22766110,-7434082,-5263672
2026-01-14 17:14:06.511,2221794,-11374820,18318140,8136217,-13891600,87402340,-50683590
2026-01-14 17:14:06.521,-24336140,-11288510,18231830,34704510,-97229010,18444820,-49365230
2026-01-14 17:14:06.531,-24278310,-11193560,18136880,34658760,-1920166,1586914,-5361328
2026-01-14 17:14:06.541,-24221340,-11089980,18033300,34612150,-31884770,7366943,-5185547
2026-01-14 17:14:06.551,-24172140,20249910,49166020,34575040,-44970700,-35949710,-54833980
2026-01-14 17:14:06.561,-24123800,34555700,34842960,34537060,-5810547,-10546880,-5644531
2026-01-14 17:14:06.591,-24005550,20586540,48777590,34448150,-5463867,20019530,-546875
2026-01-14 17:14:06.601,-23975340,20672860,48691280,34426570,-52685550,21264650,-50439450
2026-01-14 17:14:06.611,23115620,20750540,48613580,81465740,-52734380,20666500,-50097660
2026-01-14 17:14:06.621,23184680,20836860,48527270,81465740,-5292969,16723630,-5649414
2026-01-14 17:14:06.631,23236470,-10298460,17236590,81465740,-5761719,5493164,-59375
2026-01-14 17:14:06.641,23296890,21009490,48406430,81457110,-56347660,5630493,-6894531
2026-01-14 17:14:06.651,23348680,21104440,48363270,81457110,-5102539,1227417,-76953130
2026-01-14 17:14:06.661,-2377766,21182130,48320110,3426172,-5708008,-58937070,-79785150
2026-01-14 17:14:06.671,-23750910,21268440,48302850,34236680,-5,440979,-82128900
2026-01-14 17:14:06.681,2346954,21346130,48294220,8138807,-34570310,20947270,-8769531
2026-01-14 17:14:06.691,2349542,-13073620,13770890,8136216,-25878910,24963380,-8647461
2026-01-14 17:14:06.701,-23673230,21536020,48276950,34158990,-21447750,26489260,-8828125
2026-01-14 17:14:06.711,23504050,21639600,48276950,81319010,-171875,24060060,-83154300
2026-01-14 17:14:06.721,23512680,3499678,3502332,81293110,-11383060,18103030,-8149414
2026-01-14 17:14:06.731,-23643020,-9691646,16704020,34120150,-11328130,83984380,-8286133
2026-01-14 17:14:06.741,-23644750,-9616551,16641010,34118420,-9063721,-7152,558,-8261719
2026-01-14 17:14:06.751,2346954,22105720,48242420,8121544,-5291748,-76293940,-84472660
2026-01-14 17:14:06.761,49429290,22226560,48242420,55203880,-8001709,-16247560,-8847656
2026-01-14 17:14:06.771,23409100,-9426655,16485630,81172260,-5279541,-23950200,-88623050
2026-01-14 17:14:06.781,23374570,-12904350,12904360,81155010,-19302370,-30200200,-8881836
2026-01-14 17:14:06.791,2332279,-9329115,16410540,8112047,66101070,-31811520,-83935540
2026-01-14 17:14:06.801,-23697400,-9279914,16373420,34134820,12561040,-30493160,-7949219
2026-01-14 17:14:06.811,49250610,2273581,4832009,55037280,20288090,-21557620,-7446289
2026-01-14 17:14:06.821,2314153,-9191006,16306960,8106005,23254400,-12915040,-72802740
2026-01-14 17:14:06.831,-23787170,34360970,36902140,34200420,13427730,-12512210,-7680664
2026-01-14 17:14:06.841,-23834640,-9095198,16230140,34239260,1295166,-27923580,-7861328
2026-01-14 17:14:06.851,-23890750,-9040817,16180940,34286740,35980220,-6866455,-76904300
2026-01-14 17:14:06.861,22796250,-898647,2,1613173,81094580,-11425780,-14611820,-74902340
2026-01-14 17:14:06.871,22701310,23227830,48259690,81120480,-17602540,-12138370,-7841797
2026-01-14 17:14:06.881,-24109130,23262360,48225170,34482680,-21447750,14196780,-74365230
2026-01-14 17:14:06.891,48885490,23296880,48190640,54763660,-2770996,19213870,-69921870
2026-01-14 17:14:06.901,-24315420,-12055090,12769620,34673440,-33007810,21313480,-61279300
2026-01-14 17:14:06.911,-24431950,-8807763,15947880,34781330,-43774420,13110350,-51904300
2026-01-14 17:14:06.921,-24557980,-8784456,15919400,34897000,-5830078,16159060,-4345703
2026-01-14 17:14:06.931,2178637,23322780,47992110,8150028,-6875,-8062744,-39086910
2026-01-14 17:14:06.941,48593740,-8753384,15881420,54589300,-78271490,-16870120,-35668940
2026-01-14 17:14:06.951,21423820,-8755111,15879690,81638380,-8852539,-26904300,-27783200
2026-01-14 17:14:06.961,-25081920,23270990,47940320,35374330,-9667969,-26391600,-29492190
2026-01-14 17:14:06.971,-25208800,-8793088,15910770,35489130,-9785156,-20300290,-3203125
2026-01-14 17:14:06.981,48285590,23176040,47966210,54379550,-9921875,-1607666,-29956060
2026-01-14 17:14:06.991,2067287,-8882857,15993630,8185417,-11015630,-25927730,-23352050
2026-01-14 17:14:07.001,48115540,-8936375,16043690,54256120,-10976560,-25512700,-21472170
