Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
2026-01-14 17:25:22.341,17944390,21746640,29439190,27596330,20019530,-2243042,-9918213
2026-01-14 17:25:22.351,-25463440,21746640,29439190,71038680,1996994,-98724370,-7745361
2026-01-14 17:25:22.361,17981510,21754410,29448690,27628270,9651184,-35888670,-8496094
2026-01-14 17:25:22.371,-25411650,21754410,29448690,71038690,-1398468,-25482180,-5706787
2026-01-14 17:25:22.381,-25385760,21763040,29457320,71047320,-3012085,-26412960,-7293701
2026-01-14 17:25:22.391,18027250,-1285258,6409018,27668830,-35552980,-23086550,-8660889
2026-01-14 17:25:22.401,-45904970,-1285259,6409021,50476310,35186770,-5050659,-10058590
2026-01-14 17:25:22.411,18047110,-12852560,64107450,27683510,68603520,-41229250,-9820557
2026-01-14 17:25:22.421,18056600,21778580,29476310,27691280,32287600,3981,59,-40405270
2026-01-14 17:25:22.431,-25290800,21787210,29484940,71038680,31528470,-2878189,10391240
2026-01-14 17:25:22.441,-45876480,21787210,29484940,50453000,-27862550,-34088140,7545471
2026-01-14 17:25:22.451,18075590,-1284394,6413333,27706810,-5935669,-20065310,24810790
2026-01-14 17:25:22.461,18075590,-1284394,6413333,27706810,-5130005,13809200,7495117
2026-01-14 17:25:22.471,18085090,-12826670,64133340,27714580,-18997190,2017212,29144290
2026-01-14 17:25:22.481,-25221760,-35912950,41047070,71055950,-1171875,-21026610,-1272583
2026-01-14 17:25:22.491,-25195860,-35912950,41047070,71064580,11962890,-5078125,-7476807
2026-01-14 17:25:22.501,1813086,-12800770,64159240,2775514,-836,8492,-71899420,-9210205
2026-01-14 17:25:22.511,18148960,-12800770,64159230,27771550,35305020,-927124,-66467280
2026-01-14 17:25:22.521,18148960,-12800770,64159230,27771550,31585690,-7373047,-47332760
2026-01-14 17:25:22.531,-2514404,-12800770,64159240,7108183,1637268,-56274420,-13557430
2026-01-14 17:25:22.541,-45807430,21840720,29535000,50401210,38360600,-7733154,71411140
2026-01-14 17:25:22.551,-25126800,21849350,29543630,71081840,33691410,-546875,-20629880
2026-01-14 17:25:22.561,18176580,21849350,29543630,27795720,19245150,-38635260,-3479004
2026-01-14 17:25:22.571,-2510090,21850220,29542770,7109048,30002590,-56640620,-4324341
2026-01-14 17:25:22.581,18193840,-1275763,6416786,27812980,32157900,-3591919,-7513428
2026-01-14 17:25:22.591,18193840,-35883600,41024620,27812980,-16677860,-3918457,-7562256
2026-01-14 17:25:22.601,18202480,-35883600,41024620,27821610,-242424,-20690920,-71777340
2026-01-14 17:25:22.611,18202480,-12757620,64150600,27821610,-8666992,-18341060,-54016110
2026-01-14 17:25:22.621,18211110,21851940,29541040,27830250,-2458191,-22842410,-6628418
2026-01-14 17:25:22.631,-45801390,21851940,29541040,50407250,-11878970,-12748720,-6414795
2026-01-14 17:25:22.641,-45801390,21852810,29540180,50407250,-881958,-6046295,-39886480
2026-01-14 17:25:22.651,-25066380,21852810,29540180,71142260,20202640,59928900,-4083252
