Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
2026-01-14 16:41:57.851,24220480,-6806073,-5387029,-45454400,45074460,-13374330,-12369160
2026-01-14 16:41:57.881,-7309304,-68095280,-53870280,-14269890,22918700,-19927980,-29006960
2026-01-14 16:41:57.891,24004690,-13220270,1021990,-45583870,22415160,-26916500,-3366089
2026-01-14 16:41:57.921,33663520,-68147070,-53870280,-35855980,11917110,-69389340,-25390620
2026-01-14 16:41:57.931,34740070,-68155700,-53861650,-34762170,-28182980,-16555790,-16189580
2026-01-14 16:41:57.941,-766063,5,-68172970,-53861650,-1460914,-39794920,-29006960,-4043579
2026-01-14 16:41:57.951,33611740,-68181600,-53853020,-35855980,-64331060,-15823360,-6463623
2026-01-14 16:41:57.961,23417730,-13266880,1061695,-46032720,-67871100,-11405950,-6958008
2026-01-14 16:41:57.971,-7922151,-13275520,1070328,-14865470,-61309820,-11054990,-55358890
2026-01-14 16:41:57.981,-8008468,-6820749,-5384438,-14951790,-7110596,-2848816,-6414795
2026-01-14 16:41:57.991,-8094785,-13292780,1087591,-15038100,-8258057,-37231440,-435791
2026-01-14 16:41:58.001,-8181103,-68207500,-53827120,-15124420,-11375430,-74539180,-4385376
2026-01-14 16:41:58.011,22986150,-68216130,-53818490,-46464310,-7156372,-11123660,-26435850
2026-01-14 16:41:58.021,22986150,-68224750,-53809860,-46464310,13549810,8560181,4724121
2026-01-14 16:41:58.031,22994780,-68233380,-53801230,-46472940,2154541,-87509150,56640620
2026-01-14 16:41:58.041,22994780,-68233380,-53783960,-46472940,37994380,-20126340,42388920
2026-01-14 16:41:58.051,22908460,-68242020,-53775330,-46559260,1499176,-25268560,3591919
2026-01-14 16:41:58.081,-11564290,-13341980,1141971,-12259140,-2548,695,-24612430,3604126
2026-01-14 16:41:58.091,-11564290,-13350610,1150603,-12259140,2922058,-17456060,2722168
2026-01-14 16:41:58.101,-11564290,-13350610,1150603,-12259140,-8010864,-2885437,36621100
2026-01-14 16:41:58.111,22839410,-13359240,1159233,-46662830,623703,-3189087,42236330
2026-01-14 16:41:58.121,22753090,-13358380,1160096,-46749140,10009770,-12763980,35064700
2026-01-14 16:41:58.131,22753090,-6825926,-5372355,-46749140,9788513,-16281130,6317139
2026-01-14 16:41:58.141,22753090,-13375640,1177360,-46749140,-14862060,-19546510,54779050
2026-01-14 16:41:58.151,22761730,-13375640,1177360,-46757780,-932312,-12992860,47607420
2026-01-14 16:41:58.161,22761730,-78950470,66752200,-46757780,6241,798,-15350340,52001950
2026-01-14 16:41:58.171,22761730,-78950470,66752200,-46757780,126571700,-28030400,41290280
2026-01-14 16:41:58.181,22848040,-133834100,11868560,-46671470,25543210,15497210,6097412
2026-01-14 16:41:58.191,22848040,-133920400,11954870,-46671470,10238650,-7858276,56640620
2026-01-14 16:41:58.201,22848040,-133920400,11954870,-46671470,14328000,13511660,8001709
2026-01-14 16:41:58.211,22848040,-134006700,12041190,-46671470,28137210,-30700680,29708860
2026-01-14 16:41:58.221,22848040,-134006700,12041190,-46671470,1083374,-15342710,6173706
2026-01-14 16:41:58.231,22934360,-134093100,12127500,-46585150,129470800,-6450653,619812
2026-01-14 16:41:58.241,22925730,-79209420,67011140,-46576520,4634857,-14678960,5480957
2026-01-14 16:41:58.251,22925730,-79295740,67097460,-46576520,-44937140,-17654420,26611330
2026-01-14 16:41:58.281,-11564280,-79295740,67097460,-12259140,-4473877,-496521,-1739502
2026-01-14 16:41:58.291,22735840,-79296600,67096600,-46731890,-72021490,-32440190,-9712219
2026-01-14 16:41:58.301,22735840,-79382920,67182910,-46731890,-5114746,-41107180,12298580
2026-01-14 16:41:58.311,22735840,-79382920,67182910,-46731890,-9411621,-5645752,14572140
2026-01-14 16:41:58.321,22735840,-79382920,67182910,-46731890,-5419922,-3439331,21148680
