Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
2026-01-14 16:41:58.001,-62683220,57530110,28320530,43866170,-21796880,-32558590,6953125
2026-01-14 16:41:58.011,-14761030,57530110,28320530,-4107811,-22011720,-32089840,69257810
2026-01-14 16:41:58.021,-14777430,57547370,28320520,-4125937,-21484380,-32246090,690625
2026-01-14 16:41:58.031,-54196560,57547370,28320530,52301040,-21699220,-32539060,69257810
2026-01-14 16:41:58.041,-14827490,18916320,-10327800,-4179455,-2203125,-32304690,68984380
2026-01-14 16:41:58.051,-14852520,18916320,-10327800,-4206214,-221875,-32011720,68828130
2026-01-14 16:41:58.061,-62778170,18917180,-10326930,43667640,-21757810,-31972660,68515620
2026-01-14 16:41:58.071,-14901720,57581900,28337790,-4260593,-21894530,-32246090,6859375
2026-01-14 16:41:58.081,-62812700,57581900,28337790,43581330,-21640620,-32382810,6875
2026-01-14 16:41:58.091,-62829960,15043110,-14183740,43546800,-21230470,-31835940,6875
2026-01-14 16:41:58.101,-14985450,18911140,-10315710,-4349500,-21074220,-31601560,69023440
2026-01-14 16:41:58.111,-15010480,57599160,28372320,-4376256,-21113280,-31542970,68710940
2026-01-14 16:41:58.121,-62881740,57599160,28372320,43443220,-21015620,-31582030,68867180
2026-01-14 16:41:58.131,-10268070,18921490,-10322620,-9204989,-21015620,-3171875,68867180
2026-01-14 16:41:58.141,-15068310,18921490,-10322620,-4439270,-2109375,-32265620,69023440
2026-01-14 16:41:58.151,-54113690,18922350,-10321760,52159480,-21230470,-32011720,69257810
2026-01-14 16:41:58.161,-6292492,18930990,-10330390,4333102,-21503910,-31699220,690625
2026-01-14 16:41:58.171,-15127010,18930990,-10330390,-4501418,-21425780,-31386720,68789060
2026-01-14 16:41:58.181,-15143410,18930990,-10330390,-4519544,-21738280,-31464840,69023440
2026-01-14 16:41:58.191,-15160670,18939620,-10339020,-4536808,-21582030,-31640620,690625
2026-01-14 16:41:58.201,-62976700,18948250,-10347650,43244690,-21855470,-31894530,690625
2026-01-14 16:41:58.211,-62985330,18956880,-10356280,43236060,-20859380,-32402340,69296870
2026-01-14 16:41:58.221,-63002590,18973280,-10374410,43218790,-19892580,-33222660,69453130
2026-01-14 16:41:58.231,-63019860,18988820,-10393400,43201530,-19785160,-34335940,70429690
2026-01-14 16:41:58.241,-63037120,15146690,-14287320,43184260,-19804690,-35566410,71054690
2026-01-14 16:41:58.251,-5411370,19029390,-10439150,5212497,-19824220,-34609380,70546870
2026-01-14 16:41:58.261,-15281520,57685480,28182420,-4657649,-20546880,-33203120,70039060
2026-01-14 16:41:58.271,-15307410,44402200,41448440,-4683545,-21191410,-32265620,69570310
2026-01-14 16:41:58.281,-15324680,19069100,-10485760,-4700809,-2140625,-32089840,69257810
2026-01-14 16:41:58.291,-15350570,19085500,-10503880,-4726704,-21953120,-321875,69023440
2026-01-14 16:41:58.301,-63175220,57702740,28096100,43046160,-21953120,-32402340,69023440
2026-01-14 16:41:58.311,-63209750,19101030,-10522870,43011630,-21503910,-32480470,690625
2026-01-14 16:41:58.321,-63244280,19108800,-10532370,42977100,-21269530,-325,69335940
2026-01-14 16:41:58.331,-63278800,44356440,41390610,42942580,-21816410,-31445310,69492190
2026-01-14 16:41:58.341,-63313330,19124340,-10551360,42908050,-22421880,-30078120,69179690
2026-01-14 16:41:58.351,-63339220,19124340,-10551360,42864900,-22929690,-29277340,68789060
2026-01-14 16:41:58.361,-54128370,19132100,-10560850,52075760,-23144530,-2921875,68203130
2026-01-14 16:41:58.371,-15589670,19132110,-10560850,-4970981,-234375,-29394530,68007810
2026-01-14 16:41:58.381,-15615560,19140740,-10569480,-4996876,-23378910,-29804690,67851560
2026-01-14 16:41:58.391,-6340829,19140740,-10569480,4276132,-23261720,-29726560,68164060
2026-01-14 16:41:58.401,-54111100,19141600,-10568620,52041230,-22792970,-29511720,68476560
2026-01-14 16:41:58.411,-15673400,19132970,-10559990,-5059887,-22558590,-29277340,68710940
2026-01-14 16:41:58.421,-15689790,57720010,28027050,-5078013,-22109380,-29335940,68789060
2026-01-14 16:41:58.431,-63451440,19126930,-10548770,42649100,-21699220,-29550780,68789060
2026-01-14 16:41:58.441,-15722590,57737270,28061570,-5114265,-21328120,-29609380,68476560
2026-01-14 16:41:58.451,-10435750,19128650,-10547040,-10435640,-21308590,-30097660,68320310
2026-01-14 16:41:58.461,-15746760,19129520,-10546180,-5141888,-21171880,-30683590,68164060
2026-01-14 16:41:58.471,-63468700,19129520,-10546180,42562780,-21074220,-3109375,68046870
2026-01-14 16:41:58.481,-15753670,57763170,28087470,-5152244,-21035160,-31601560,68085940
2026-01-14 16:41:58.491,-15761440,57780430,28087470,-5161739,-21015620,-3234375,68515620
2026-01-14 16:41:58.501,-15770070,57780430,28087470,-5170371,-20898440,-32988280,68671870
2026-01-14 16:41:58.511,-63468700,19140740,-10552220,42511000,-20683590,-3296875,68984380
2026-01-14 16:41:58.521,-15785610,19140740,-10552220,-5189362,-2046875,-32714840,69101560
2026-01-14 16:41:58.531,-6347734,19141600,-10551360,4248511,-20234380,-32578120,69375
2026-01-14 16:41:58.541,-15810640,19141600,-10551360,-5216120,-20136720,-32792970,6953125
2026-01-14 16:41:58.551,-15819270,57806320,28113360,-5224750,-20039060,-32441410,69648440
2026-01-14 16:41:58.561,-63503230,57806320,28113370,42424680,-20058590,-32421880,69960940
2026-01-14 16:41:58.571,-63511860,57806320,28113370,42416050,-2015625,-32539060,69804690
2026-01-14 16:41:58.581,-63529120,57797690,28122000,42398790,-20488280,-32050780,69570310
2026-01-14 16:41:58.591,-54013570,44442760,41476930,51897080,-209375,-31738280,69570310
2026-01-14 16:41:58.601,-63555020,44442760,41476930,42355630,-21054690,-31503910,69453130
2026-01-14 16:41:58.611,-63580920,57780420,28139260,42329740,-20976560,-31582030,69414060
2026-01-14 16:41:58.621,-6358954,57763170,28156520,4230386,-2125,-31503910,69648440
2026-01-14 16:41:58.631,-6361545,15224380,-14365010,4227795,-21464840,-31425780,69375
2026-01-14 16:41:58.641,-15988450,15207110,-14347740,-5400839,-21816410,-31171880,690625
2026-01-14 16:41:58.651,-16014350,5774591,2820832,-5426735,-21835940,-30644530,68515620
2026-01-14 16:41:58.661,-63675870,19049240,-10453820,42183000,-21796880,-3046875,68359380
2026-01-14 16:41:58.671,-63693130,57720000,28251470,42165740,-21621090,-30253910,67890620
2026-01-14 16:41:58.681,-16081670,19016440,-10417570,-5497513,-21738280,-29960940,67617180
2026-01-14 16:41:58.691,-16098940,18999180,-10400300,-5514776,-21289060,-29882810,67460940
2026-01-14 16:41:58.701,-6373629,18991410,-10390810,4210532,-21035160,-30,6734375
2026-01-14 16:41:58.711,-11361870,5768548,2832053,-10303630,-21191410,-29824220,675
2026-01-14 16:41:58.721,-11370500,57685480,28337790,-10312260,-2078125,-30019530,67460940
2026-01-14 16:41:58.731,-11379140,57676850,28346420,-10320890,-20,-30625,6796875
2026-01-14 16:41:58.741,-11379140,57676850,28346420,-10320890,-19814450,-31308590,68515620
2026-01-14 16:41:58.751,-11387770,18965520,-10364910,-10329520,-19658200,-31113280,68867180
2026-01-14 16:41:58.761,-11387770,18965520,-10364910,-10329520,-19716800,-31054690,68945310
2026-01-14 16:41:58.771,-16142100,18964650,-10365780,-5557935,-19472660,-30957030,68789060
2026-01-14 16:41:58.781,-16142100,18973280,-10374410,-5557935,-19570310,-309375,68632820
2026-01-14 16:41:58.791,-16133460,44453990,41517490,-5549302,-19912110,-31191410,684375
2026-01-14 16:41:58.801,-63762180,44453980,41517500,42096680,-20078120,-31113280,6859375
