Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
2026-01-14 16:41:57.931,-39494220,-6557486,-15401490,50275180,-62939450,-52226560,875
2026-01-14 16:41:57.941,9011468,33249210,-55225460,98780880,-5957031,-5265625,875
2026-01-14 16:41:57.951,-40359980,-6563528,-15412720,51135760,-60498050,-528125,8703125
2026-01-14 16:41:57.961,8113772,33283730,-55259980,99609520,-5385742,-52695310,87734380
2026-01-14 16:41:57.971,-40362570,-6568706,-15424800,51133170,-5258789,-5265625,87265620
2026-01-14 16:41:57.981,49174650,33301000,-55294510,58496860,-5493164,-52539060,87109380
2026-01-14 16:41:57.991,49079700,-10544970,-11431270,58574540,-56152340,-52890620,8734375
2026-01-14 16:41:58.001,-42955530,33335520,-55311760,53719220,-58984380,-528125,87265620
2026-01-14 16:41:58.011,460930,5,-6554894,-15421350,10301040,-5786133,-53164060,8765625
2026-01-14 16:41:58.021,-45545900,-6554033,-15422210,56307860,-57128900,-53164060,87578130
2026-01-14 16:41:58.031,2011176,-6554035,-15422210,105591300,-5966797,-53203120,875
2026-01-14 16:41:58.041,284840,33361420,-55337660,107317600,-6171875,-53242190,875
2026-01-14 16:41:58.051,-49000290,33361420,-55337660,59758810,-640625,-52890620,87265620
2026-01-14 16:41:58.061,5324015,33361420,-55337660,5434504,-5732422,-53164060,87734380
2026-01-14 16:41:58.071,5324015,33361420,-55354930,5434504,-58984380,-53125,871875
2026-01-14 16:41:58.081,4817335,33352790,-55363560,5939457,-63720700,-53085940,87421870
2026-01-14 16:41:58.091,4817337,-6568705,-15442070,5939455,-67041020,-528125,87578130
2026-01-14 16:41:58.101,53214280,-6577339,-15450700,54336400,-67041020,-525,875
2026-01-14 16:41:58.111,48078430,-6585970,-15459330,59472240,-66064450,-52460940,8765625
2026-01-14 16:41:58.121,48078430,-6594602,-15467960,59472240,-64941410,-52539060,87734380
2026-01-14 16:41:58.131,47992110,-6603234,-15476590,59558560,-64941410,-52382810,8734375
2026-01-14 16:41:58.141,47905800,44347120,-44369230,59644880,-6069336,-52382810,87734380
2026-01-14 16:41:58.151,-577461,5,44338500,-44360590,11334250,-54003900,-52695310,87734380
2026-01-14 16:41:58.161,-663776,5,-6623084,-15491270,11420570,-56884770,-53085940,86875
2026-01-14 16:41:58.171,-662913,-6631716,-15499900,11421430,-62109380,-5328125,8671875
2026-01-14 16:41:58.181,-662913,-6641210,-15507670,11421430,-6923828,-52929690,8703125
2026-01-14 16:41:58.191,47759050,33231940,-55415350,59843400,-67333980,-528125,87109380
2026-01-14 16:41:58.201,47845370,-10657190,-11543490,59757080,-6484375,-521875,86953130
2026-01-14 16:41:58.211,-488553,5,-6686958,-15548230,11250520,-55078120,-525,8796875
2026-01-14 16:41:58.221,-402238,5,43184260,-45411240,11164210,-51953120,-525,871875
2026-01-14 16:41:58.231,4820790,-6731843,-15589670,5942908,-5493164,-525,86796870
2026-01-14 16:41:58.241,5326606,-6749969,-15606070,5437091,-6113281,-52070310,86953130
2026-01-14 16:41:58.251,-48134530,43152330,-45391380,58898230,-6352539,-51914060,86640620
2026-01-14 16:41:58.261,48561800,43141110,-45385350,59092440,-59228520,-51523440,86953130
2026-01-14 16:41:58.271,2037076,-6812985,-15663900,105617200,-56640620,-51992190,86875
2026-01-14 16:41:58.281,2908872,32981620,-55493040,104762600,-5527344,-51992190,86484380
2026-01-14 16:41:58.291,48829380,-6850099,-15695840,58842130,-51123050,-5203125,8703125
2026-01-14 16:41:58.301,378067,-6868224,-15712240,10390810,-44799800,-52109380,87265620
2026-01-14 16:41:58.311,464383,5,-6876856,-15720870,10304490,-42358400,-52304690,86640620
2026-01-14 16:41:58.321,464381,5,32895310,-55527560,10304490,-43798830,-525,87109380
2026-01-14 16:41:58.331,-42952940,32878040,-55544820,53721820,-47729490,-52148440,871875
2026-01-14 16:41:58.341,-42952940,32860780,-55562080,53721820,-5336914,-51875,875
2026-01-14 16:41:58.351,49088340,3283487,-5557075,58583180,-48901370,-51484380,87890620
2026-01-14 16:41:58.361,49088340,-6956269,-15796830,58583180,-46411130,-51289060,87734380
2026-01-14 16:41:58.371,5498380,-6964902,-15805460,102173100,-42871100,-5140625,87421870
2026-01-14 16:41:58.381,5498380,-6973534,-15814090,102173100,-4501953,-5125,87265620
2026-01-14 16:41:58.391,48915700,-11402000,-11402890,58755810,-4272461,-51289060,87265620
2026-01-14 16:41:58.401,48829380,-11410630,-11411520,58842130,-40673830,-51640620,8734375
2026-01-14 16:41:58.411,2908876,-11410640,-11411520,104762600,-41235350,-51601560,8671875
2026-01-14 16:41:58.421,2045708,-11410640,-11411520,105625800,-46923830,-51289060,86640620
2026-01-14 16:41:58.431,319376,-6982166,-15822720,107352100,-51220700,-51367190,8671875
2026-01-14 16:41:58.441,53780510,-6982164,-15822720,53891000,-54248050,-51367190,865625
2026-01-14 16:41:58.451,48138850,-6973532,-15814090,59532660,-5986328,-51679690,86328130
2026-01-14 16:41:58.461,47966220,-6964900,-15805460,59705300,-64941410,-51914060,86484380
2026-01-14 16:41:58.471,-571417,5,-6956267,-15796830,11340290,-6923828,-51601560,86640620
2026-01-14 16:41:58.481,-744050,5,-11376110,-11376990,11512930,-60498050,-51757810,8625
2026-01-14 16:41:58.491,-56763620,-6957996,-15795100,67532500,-60253900,-50859380,85859380
2026-01-14 16:41:58.501,-915821,-6957993,-15795100,11686420,-57177740,-51171880,85859380
2026-01-14 16:41:58.511,47387890,32800360,-55553460,60335400,-5966797,-5140625,865625
2026-01-14 16:41:58.521,47301580,-6968352,-15802010,60421720,-6279297,-51523440,86015620
2026-01-14 16:41:58.531,47215260,-6976984,-15810640,60508040,-68603520,-515625,86171870
2026-01-14 16:41:58.541,-1345679,-6977846,-15809770,12119730,-7207031,-51210940,8640625
2026-01-14 16:41:58.551,-1345681,32739940,-55562090,12119740,-7216797,-51054690,86953130
2026-01-14 16:41:58.561,-1431998,32731310,-55570720,12206050,-7128906,-509375,86796870
2026-01-14 16:41:58.571,-1431996,-7022730,-15851210,12206050,-6591797,-5078125,8734375
2026-01-14 16:41:58.581,-1431996,-7031362,-15859840,12206050,-5854492,-50742190,86953130
2026-01-14 16:41:58.591,-1517449,3267952,-5558798,12293230,-5419922,-51015620,86875
2026-01-14 16:41:58.601,-1603766,-7049489,-15876240,12379550,-4873047,-51367190,87109380
2026-01-14 16:41:58.611,-1690085,32653620,-55596620,12465870,-4663086,-51796880,86875
2026-01-14 16:41:58.621,-1776402,32653620,-55596620,12552180,-44384770,-5234375,86796870
2026-01-14 16:41:58.631,-1862718,32644990,-55605250,12638500,-44873050,-52773440,86875
2026-01-14 16:41:58.641,-1949035,32636360,-55596620,12724820,-42089840,-53046880,87109380
2026-01-14 16:41:58.651,46464300,32636360,-55596620,61310780,-38452150,-53085940,875
2026-01-14 16:41:58.661,46464300,-7077976,-15899550,61310780,-3696289,-53515620,87421870
2026-01-14 16:41:58.671,46464300,-7086608,-15908180,61310780,-39404300,-53476560,87109380
2026-01-14 16:41:58.681,46559250,-7096102,-15915950,61233100,-40844730,-534375,875
2026-01-14 16:41:58.691,46645570,32567300,-55613880,61146780,-42578120,-52890620,87109380
2026-01-14 16:41:58.701,46818200,-7132355,-15948750,60974150,-4543457,-52578120,86953130
2026-01-14 16:41:58.711,-1514860,-11125710,-12007180,12295820,-43798830,-52148440,8734375
2026-01-14 16:41:58.721,-1255046,-7178100,-15989310,12037730,-45629880,-51796880,86796870
2026-01-14 16:41:58.731,-996095,5,-7204859,-16014350,11778780,-484375,-51328120,865625
2026-01-14 16:41:58.741,47793580,32394670,-55665670,60050560,-5493164,-5078125,86484380
2026-01-14 16:41:58.751,-476469,-7260102,-16062680,11262610,-52978520,-50546880,8640625
2026-01-14 16:41:58.761,5338690,-7279091,-16078220,5449176,-5102539,-50273440,859375
