Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
2026-01-14 16:52:35.011,-4987382,1677998,-7364544,-14019570,4196167,12158200,15792850
2026-01-14 16:52:35.021,-4988246,-23920100,-32962640,-14018700,5206299,11987310,-20889280
2026-01-14 16:52:35.031,35640180,16779970,-73662700,-54647130,793457,14758300,-5328369
2026-01-14 16:52:35.041,35631550,42386700,-48073250,-54638500,85632320,15478520,-7678223
2026-01-14 16:52:35.051,35622920,-23900240,-32947960,-54647140,76171870,13696290,-803833
2026-01-14 16:52:35.061,-4999468,42415180,-48096550,-14024740,524292,101867700,-340271
2026-01-14 16:52:35.071,-4999467,-23871760,-32924660,-14024750,57281500,32226560,-19042970
2026-01-14 16:52:35.081,-5000331,42443670,-48119860,-14023880,68725580,-31013490,-1259613
2026-01-14 16:52:35.091,-5000331,-27910690,-28816670,-14023880,5267334,-36865230,-1473999
2026-01-14 16:52:35.101,35605660,1696127,-7365409,-54612600,72631840,-491333,20019530
2026-01-14 16:52:35.111,35614290,-23796660,-32861650,-54603970,6317139,-7269287,14122010
2026-01-14 16:52:35.121,35622910,17030300,-73654080,-54595340,71777340,-4586792,44898990
2026-01-14 16:52:35.131,-4958899,-23758680,-32830570,-13979000,7141113,-38146970,14968870
2026-01-14 16:52:35.141,-4950267,-23730200,-32807270,-13970370,7397461,-62805180,-5958557
2026-01-14 16:52:35.151,-4933869,17151140,-73654080,-13952240,97961420,-42175290,-15296940
2026-01-14 16:52:35.161,35657450,45146160,-45710840,-54509020,6573486,51208500,-1461792
2026-01-14 16:52:35.171,35674710,-23672360,-32761520,-54491760,54595950,35461420,10055540
2026-01-14 16:52:35.181,-4875172,42643060,-48283000,-13890090,49621580,-14984130,2609253
2026-01-14 16:52:35.191,35717870,-23635250,-32729580,-54448600,881958,-11959080,4953003
2026-01-14 16:52:35.201,35735130,17323770,-73654080,-54431340,-9605408,46661380,6542969
2026-01-14 16:52:35.211,35752400,1734969,-7364546,-54414080,636,5776,45288090,29281620
2026-01-14 16:52:35.221,-4813024,-23580010,-32681250,-13831400,28045650,51727300,29083250
2026-01-14 16:52:35.231,3578690,45233690,-45795950,-5439679,3375244,68115230,21377560
2026-01-14 16:52:35.241,-4787129,-23542890,-32649310,-13805500,6036377,5596924,8773804
2026-01-14 16:52:35.251,-4769867,17461880,-73619550,-13788240,5517578,31234740,8880615
2026-01-14 16:52:35.261,-4760371,42743190,-48355500,-13780470,31982420,27526860,13496400
2026-01-14 16:52:35.271,-4760371,-23479880,-32591480,-13780470,13465880,16311650,11894230
2026-01-14 16:52:35.281,35847340,-23461750,-32575080,-54370920,15625,33081060,2116394
2026-01-14 16:52:35.291,35847340,42775130,-48375360,-54370920,-33168790,53009030,12107850
2026-01-14 16:52:35.301,-4741381,-23416870,-32533640,-13764930,15686040,110321000,-14076230
2026-01-14 16:52:35.311,-4740517,-23398740,-32517240,-13765800,35888670,-29129030,-20656590
2026-01-14 16:52:35.321,44210580,1765180,-7353326,-46059480,3173828,-8598328,1543,76
2026-01-14 16:52:35.331,44210570,17677670,-73524600,-46059480,17227170,-9017944,-26340480
2026-01-14 16:52:35.341,44219200,17694930,-73507340,-46068110,8783,341,-14953610,-44555660
2026-01-14 16:52:35.351,-4720665,17720830,-73498710,-13751120,19805910,-64849860,6980896
2026-01-14 16:52:35.361,-4720664,-23309840,-32433520,-13751120,13931270,20477300,15975950
2026-01-14 16:52:35.371,-4719801,-23301200,-32424880,-13751980,24909970,36590580,12031560
2026-01-14 16:52:35.381,35933660,-23283940,-32407620,-54405440,-16159060,27923580,5908966
2026-01-14 16:52:35.391,-8784109,1779852,-7345555,-9687673,-21331790,8911133,-76522820
2026-01-14 16:52:35.401,-8784112,17833040,-73438290,-9687672,16540530,29220580,-4434204
2026-01-14 16:52:35.411,-472671,9,-23220930,-32349790,-1376235,4421997,19989010,-33843990
2026-01-14 16:52:35.421,3594228,-23194170,-32324760,-5443135,41137700,3358841,-74401860
2026-01-14 16:52:35.431,3594226,17919360,-73403760,-5443133,6738281,-28442380,-7861328
2026-01-14 16:52:35.441,3594228,-23148420,-32284190,-5443135,6781006,-5065918,-8502197
2026-01-14 16:52:35.451,3594226,18005670,-73386500,-5443133,847168,-21072390,-12634280
2026-01-14 16:52:35.461,-4717211,-23094050,-32234990,-13754570,1161499,-50201420,-15014650
2026-01-14 16:52:35.471,35968180,18083360,-73360600,-54422710,13757320,-7080078,-18579100
2026-01-14 16:52:35.481,-4689590,-23030170,-32178020,-13730400,15478520,-9686279,-18920900
2026-01-14 16:52:35.491,-4671464,-23002550,-32153850,-13714010,16064450,-48950200,-2121582
2026-01-14 16:52:35.501,44305520,43020270,-48527280,-46137160,13806150,-29830930,-1862793
2026-01-14 16:52:35.511,36106290,18281890,-73282920,-54353650,17126460,-57922360,-21533200
2026-01-14 16:52:35.521,-4555800,-22877390,-32037320,-13605250,27270510,-34423830,-3005371
2026-01-14 16:52:35.531,-4501419,1840274,-7323112,-13556050,33374020,-15112310,-3540039
2026-01-14 16:52:35.541,-4439270,1848042,-7320522,-13497350,40625,-17565920,-38452150
2026-01-14 16:52:35.551,36425660,43138520,-48598920,-54206910,4243164,-1005249,-4267578
2026-01-14 16:52:35.561,-4260598,18661680,-73127540,-13330760,44140620,-15563970,-41748050
2026-01-14 16:52:35.571,-82296110,43213620,-48644660,-91373180,44140620,-1940918,-38671880
2026-01-14 16:52:35.581,36865880,18877470,-73032590,-53991120,38330080,-14123540,-38110350
2026-01-14 16:52:35.591,-79610800,18989690,-72972180,-88706860,38500980,-1484375,-37573240
2026-01-14 16:52:35.601,37280200,19127790,-72903120,-53801220,3972168,-14208980,-38134770
2026-01-14 16:52:35.611,37513250,19257270,-72825440,-53689010,39868160,-6726074,-39453120
2026-01-14 16:52:35.621,-78609440,19395380,-72739120,-79522840,36376950,20767210,-42358400
2026-01-14 16:52:35.631,38031150,19542120,-72644180,-53464590,296875,60302740,-40893560
2026-01-14 16:52:35.641,38324630,19714750,-72540590,-53343740,27416990,103393600,-3701172
2026-01-14 16:52:35.651,-27189780,19887380,-72419740,-119030800,22387700,1217041,-30249020
2026-01-14 16:52:35.661,38911590,2006867,-7229029,-53119320,17663570,83862300,-20996090
2026-01-14 16:52:35.671,-2277037,-21326280,-30567350,-11499120,1640625,-35949710,-1071167
2026-01-14 16:52:35.681,-2043118,2043981,-7202269,-11284190,18725590,-118896500,-6781006
2026-01-14 16:52:35.691,39861070,-21001730,-30253160,-52739530,18188480,-10687260,-6561279
2026-01-14 16:52:35.701,-57422210,-20834270,-30092600,-66701260,23254400,-15136720,-8117676
2026-01-14 16:52:35.711,-54995850,-20659050,-29922560,-64293890,23779300,-113098100,-9088135
2026-01-14 16:52:35.721,-1064286,2123393,-7147027,-10381320,31054690,-11920170,-14770510
2026-01-14 16:52:35.731,-796705,5,43892060,-48881170,-10130990,4333496,-22192380,-2434082
2026-01-14 16:52:35.741,41570140,21665510,-71176790,-51962680,48046880,-13647460,-3334961
2026-01-14 16:52:35.751,41941310,-19910680,-29203550,-51764160,4501953,-77209470,-31982420
2026-01-14 16:52:35.761,76818,5,22157510,-70857420,-9312712,39672850,-3652954,-25097660
2026-01-14 16:52:35.771,-38366930,2241648,-7068476,-47777180,41088870,-88012700,-21984860
2026-01-14 16:52:35.781,7267864,22684050,-70503520,-87024540,36791990,-97351070,-16894530
2026-01-14 16:52:35.791,10660120,-19012990,-28340380,-83856720,296875,-8416748,-10308840
2026-01-14 16:52:35.801,4703053,-18776480,-28110770,-4769346,21813960,-25375370,-66833500
2026-01-14 16:52:35.811,-24859220,4437718,-4901754,-34354060,12841800,28778080,7678223
2026-01-14 16:52:35.821,-21394470,-18287930,-27632580,-30913480,46295170,74646000,11071780
2026-01-14 16:52:35.831,-17844260,24021950,-69459080,-27385710,-41748050,10424810,18896480
2026-01-14 16:52:35.841,2866579,2428090,-6923466,-6699043,-11224370,11364750,23278810
2026-01-14 16:52:35.851,-11001940,24539850,-68992980,-20590000,-14685060,13378910,23913570
