Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
2026-01-14 16:52:35.051,-38143380,19697480,-59713920,67491060,-93,40048,30349730,-62072750
2026-01-14 16:52:35.061,-51348970,19697480,-59713920,54285460,54359440,-53520200,-8984375
2026-01-14 16:52:35.071,9418880,19688850,-59722560,19980600,-13885500,-10749820,-8416748
2026-01-14 16:52:35.081,9428374,19680220,-59731190,19988370,-63171390,14862060,-8117676
2026-01-14 16:52:35.091,9437008,19680220,-59731190,19997000,-28591160,-10139470,-6958008
2026-01-14 16:52:35.101,-38065680,37702290,-41709110,67516960,-5580902,18188480,-53588870
2026-01-14 16:52:35.111,-51317030,19662950,-59748450,54265610,11833190,25131230,-60913090
2026-01-14 16:52:35.121,-38031160,19645690,-59748450,67534220,-7522583,18371580,-47698980
2026-01-14 16:52:35.131,-38022530,37691070,-41703070,67542860,-3189087,55725100,-30349730
2026-01-14 16:52:35.141,9482756,19628430,-59765720,20037570,-30212400,36590580,-22369380
2026-01-14 16:52:35.151,9482756,19628430,-59782980,20037570,-44647220,58746340,-6378174
2026-01-14 16:52:35.161,9482756,19619800,-59791610,20037570,-5697632,6384277,12565610
2026-01-14 16:52:35.171,9483620,37696250,-41715160,20036710,-8178711,5441284,27648930
2026-01-14 16:52:35.181,9474986,19593900,-59800240,20028070,-58044430,35614020,21942140
2026-01-14 16:52:35.191,9483619,19585270,-59808870,20036710,-5670166,3842163,58410640
2026-01-14 16:52:35.201,-37996630,37685020,-41709110,67516960,-72265620,28900150,3704834
2026-01-14 16:52:35.211,-37996630,-16168850,-24106540,67516960,-8068848,12802120,41778560
2026-01-14 16:52:35.221,9485346,-16186120,-24123800,20034980,-7678223,2041626,18859860
2026-01-14 16:52:35.231,-3797938,-16194750,-24132430,6751695,-9552002,5760193,22949220
2026-01-14 16:52:35.241,-3797074,1950758,-5986930,6750833,-90148930,29792790,15022280
2026-01-14 16:52:35.251,9503473,-16220640,-24158330,20051380,-9020996,-19216540,15289310
2026-01-14 16:52:35.261,-37953470,-16229280,-24166960,67508320,-597229,-3778076,-12275700
2026-01-14 16:52:35.271,-37944840,1948166,-5989517,67499690,-65979000,-15716550,4032135
2026-01-14 16:52:35.281,-37936210,-16246540,-24184220,67508320,-49224860,-25283810,-21636960
2026-01-14 16:52:35.291,9514694,-16255170,-24192860,20057420,-40863040,-46844480,-79422
2026-01-14 16:52:35.301,9523326,1945579,-5992109,20066050,-16571050,-3692627,-12382510
2026-01-14 16:52:35.311,9532822,1945579,-5992109,20073820,-1436615,-26290890,-14640810
2026-01-14 16:52:35.321,9541453,-16272430,-24210120,20082450,-16693120,21972660,-33111570
2026-01-14 16:52:35.331,9550084,-16281060,-24218750,20091080,-9346008,-848,2933,-21484380
2026-01-14 16:52:35.341,-51213450,-16289700,-24227380,54179290,-19622800,-4146576,-19760130
2026-01-14 16:52:35.351,9569074,1942126,-5995562,20106620,-39611820,8758545,-7972717
2026-01-14 16:52:35.361,9578568,-16306960,-24244650,20114390,-52124020,23239140,-77781680
2026-01-14 16:52:35.371,9587199,-16315590,-24253280,20123020,-45928960,37261960,-418,1862
2026-01-14 16:52:35.381,-37806730,1939535,-5998149,67534220,-51635740,52124020,-47836300
2026-01-14 16:52:35.391,14345760,19395370,-59998770,15399000,-7965088,33813480,-13298040
2026-01-14 16:52:35.401,9615683,19386740,-60007400,20146330,-88012700,29571530,-4058838
2026-01-14 16:52:35.411,-37754950,19378110,-60016030,67534220,-8300781,22979740,-30227660
2026-01-14 16:52:35.421,-37729050,37672940,-41738460,67542860,-8709717,4901123,-36590580
2026-01-14 16:52:35.431,-3771181,19369480,-60041930,6754286,-9350586,15853880,-40527340
2026-01-14 16:52:35.441,9662293,19369480,-60041930,20186030,-9991455,-2128601,-32287600
2026-01-14 16:52:35.451,9670926,19360850,-60050560,20194670,-116882300,-4634857,-56884770
2026-01-14 16:52:35.461,-37668630,-16373430,-24316290,67551490,-9527588,41503900,-66467280
2026-01-14 16:52:35.471,-37668630,-16373430,-24316290,67551490,-8898926,-23040770,-7635498
2026-01-14 16:52:35.481,9689916,-16373420,-24316290,20210200,-8276367,-27771000,-7910156
2026-01-14 16:52:35.491,9689916,-16372560,-24317150,20210200,-10620120,-24673460,-9832764
2026-01-14 16:52:35.501,9689916,-16363930,-24308520,20210200,-7092285,-46813960,-78552250
2026-01-14 16:52:35.511,9689916,37698840,-41764360,20210200,-6402588,-38909910,-77697750
2026-01-14 16:52:35.521,9681284,19412630,-60050560,20201570,-7354736,-28244020,-62561040
2026-01-14 16:52:35.531,9681286,-16336310,-24284350,20201570,-9490967,4095459,-4916382
2026-01-14 16:52:35.541,9672654,-16326810,-24276580,20192940,-9240723,4727173,-27648930
2026-01-14 16:52:35.551,9664021,1945579,-6004194,20184310,-5630493,38146970,-19973760
2026-01-14 16:52:35.561,-51118510,19473050,-60041920,54101610,-53222660,26626590,-27389530
2026-01-14 16:52:35.571,-37703160,19481690,-60033290,67516960,-56877140,27130130,-22628780
2026-01-14 16:52:35.581,9636400,37730770,-41784210,20160140,-19515990,28564450,18112180
2026-01-14 16:52:35.591,9626904,19498950,-60016030,20152370,-28457640,463562,12016300
2026-01-14 16:52:35.601,9618272,19507580,-60007400,20143740,-8117676,5105591,211792
2026-01-14 16:52:35.611,-37763580,19516210,-59998760,67508330,-6573486,62072750,839,2334
2026-01-14 16:52:35.621,-37763580,37734220,-41780750,67508330,-6402588,413208,-4234314
2026-01-14 16:52:35.631,-37772210,1953345,-5999875,67499700,-7672119,4019165,-31986240
2026-01-14 16:52:35.641,-37789470,-16247400,-24200620,67499700,-6585693,2218628,50468440
2026-01-14 16:52:35.651,-37798100,-16238770,-24191990,67491060,-57891850,23788450,-13198850
2026-01-14 16:52:35.661,9572527,1955936,-5997288,20103170,-56854250,12207030,-13542180
2026-01-14 16:52:35.671,-3782401,-16221510,-24174730,6748243,-42755130,-24223330,-58670040
2026-01-14 16:52:35.681,14293970,-16212870,-24166100,15347200,-23239140,-14953610,-31219480
2026-01-14 16:52:35.691,-37858520,1958524,-5994696,67482430,-37963870,-1701355,-17089840
2026-01-14 16:52:35.701,-37858520,1958524,-5994696,67482430,-68237300,11871340,-8613586
2026-01-14 16:52:35.711,-37867150,1958524,-5994696,67473800,-8465576,-6965637,-14602660
2026-01-14 16:52:35.721,9526778,-16195610,-24148840,20062600,-10076900,-23727420,-29464720
2026-01-14 16:52:35.731,9518146,-20159610,-20167570,20053970,-7128906,-17730710,-39642340
2026-01-14 16:52:35.741,9509515,-20150980,-20158940,20045340,-6915283,14762880,-27069090
2026-01-14 16:52:35.751,9491390,-2010656,-2018611,20028940,-5441284,18798830,-13702390
2026-01-14 16:52:35.761,9482756,-16159360,-24116040,20020300,-4437256,3118515,-46043400
2026-01-14 16:52:35.771,-37962100,-16150730,-24107400,67430640,-36590580,1253128,-17232900
2026-01-14 16:52:35.781,9446504,1966295,-5990383,19987500,-30151370,-15457150,12557980
2026-01-14 16:52:35.791,9437008,-16133460,-24090140,19979730,-38970950,-3213501,5821228
2026-01-14 16:52:35.801,-38022520,-20099190,-20107150,67422000,-6048584,-5230713,2508545
2026-01-14 16:52:35.811,-51262650,-2005479,-2013429,54199140,-793457,-7110596,33294680
2026-01-14 16:52:35.821,9391261,-20081930,-20089880,19939170,-7751465,-6072998,32165530
2026-01-14 16:52:35.831,9373997,-20081930,-20089880,19921900,-8862305,-7598877,3527832
2026-01-14 16:52:35.841,9355870,-20073300,-20081250,19905500,-7495117,-7537842,54901120
2026-01-14 16:52:35.851,-38143370,-16090310,-24046980,67370220,-77941900,-7965088,29922480
2026-01-14 16:52:35.861,-51297180,1972336,-5984338,54216410,-6210327,-60821530,21362300
2026-01-14 16:52:35.871,9302353,19740640,-59843400,19855440,-45562740,-40771480,32958980
2026-01-14 16:52:35.881,9284226,19740640,-59843400,19839040,-30654910,-24108890,390625
2026-01-14 16:52:35.891,9266964,19749270,-59834770,19821780,16174320,-11810300,2520752
2026-01-14 16:52:35.901,-38255580,37788600,-41795430,67309800,-7129669,21957400,65193180
2026-01-14 16:52:35.911,-38272840,-16045420,-24005550,67309790,28549190,56152340,-10128020
2026-01-14 16:52:35.921,-51340340,-16036790,-23996910,54242300,28945920,5441284,21057130
2026-01-14 16:52:35.931,9221217,-16028160,-23988290,19781210,4840088,8996582,-7522583
2026-01-14 16:52:35.941,9212584,1980105,-5980025,19772580,32592770,7751465,-19664760
2026-01-14 16:52:35.951,9203090,-16010890,-23971020,19764810,53955080,10797120,5218506
2026-01-14 16:52:35.961,9194458,-16002260,-23962390,19756180,58746340,1048584,489,2349
2026-01-14 16:52:35.971,-38350530,-16002260,-23962390,67283900,6719971,12548830,-1272583
2026-01-14 16:52:35.981,-38350530,1982693,-5977433,67283900,9185791,108947800,-20111080
2026-01-14 16:52:35.991,9175468,37794650,-41789390,19740640,98083500,109191900,-11520390
2026-01-14 16:52:36.001,9174604,37794650,-41789390,19741500,11602780,11779790,-35064700
2026-01-14 16:52:36.011,9174605,-15986730,-23943400,19741500,10437010,1159668,-2482605
2026-01-14 16:52:36.021,-38385060,-19961090,-19969040,67301170,11694340,10284420,-10894780
2026-01-14 16:52:36.031,-38385060,-1993395,-2001345,67301170,14086910,10040280,-1977539
2026-01-14 16:52:36.041,9181512,1979242,-5973983,19751860,10845950,7904053,-3805542
2026-01-14 16:52:36.051,9181512,1977516,-5972257,19751860,1270752,64453120,-1889038
2026-01-14 16:52:36.061,9190143,-16008300,-23956350,19760490,11505130,37963870,-12535100
2026-01-14 16:52:36.071,9197909,19740640,-59722550,19769990,93688970,1474762,-11550900
2026-01-14 16:52:36.081,9206542,1972337,-5972256,19778620,6829834,-1779,795,27267460
2026-01-14 16:52:36.091,9215173,19697480,-59713930,19787250,6707764,-33843990,22415160
2026-01-14 16:52:36.101,-51418020,19671590,-59722550,54319990,17974850,-24108890,32165530
2026-01-14 16:52:36.111,-38341900,1964566,-5971391,67396110,-44136050,-12809750,36224360
2026-01-14 16:52:36.121,-51415440,19619790,-59722550,54322580,-3543091,756073,52825930
2026-01-14 16:52:36.131,9258334,-16102390,-24034900,19830410,-44891360,630188,37200930
2026-01-14 16:52:36.141,9266966,-19689370,-20482450,19839040,-39642340,-16393660,27267460
2026-01-14 16:52:36.151,9275595,19542110,-59748450,19847670,-31463620,-2255249,18844600
2026-01-14 16:52:36.161,9292860,1951621,-5975709,19864940,-23788450,9544373,19088740
2026-01-14 16:52:36.171,9301492,-16166260,-24091870,19873570,-3515625,29708860,31219480
2026-01-14 16:52:36.181,9302355,37604750,-41634020,19872710,-5029297,60577390,737381
2026-01-14 16:52:36.191,-3825561,19455790,-59765710,6744791,-647583,60333250,3932953
2026-01-14 16:52:36.201,9328250,-16212010,-24132440,19898600,-62469480,78125,14381410
2026-01-14 16:52:36.211,-38221060,-16230140,-24148830,67465170,-55877690,6530762,-13877870
2026-01-14 16:52:36.221,-38212420,-16238770,-24157470,67473800,-56793210,64575200,-3491211
2026-01-14 16:52:36.231,-38195160,37564180,-41605530,67491060,-47729490,5206299,-3173828
2026-01-14 16:52:36.241,-38186530,-16257760,-24173000,67499700,-27755740,37353520,-6903076
2026-01-14 16:52:36.251,-38177900,-16258620,-24172140,67508330,-13755800,12908940,-51452640
2026-01-14 16:52:36.261,-51374870,19334950,-59782970,54311360,592041,26901240,-7293701
2026-01-14 16:52:36.271,-38152000,1931766,-5978296,67534220,31402590,284729,-7519531
2026-01-14 16:52:36.281,-38134740,-16287110,-24195440,67551480,41778560,42388920,-7885742
2026-01-14 16:52:36.291,-38117480,19283160,-59782970,67568750,34973140,5429077,-10308840
2026-01-14 16:52:36.301,-51368820,-16306960,-24210120,54317400,22415160,61767580,-11578370
2026-01-14 16:52:36.311,-38082950,1923997,-5977433,67603280,20736690,6549072,-100097700
2026-01-14 16:52:36.321,-38065690,19222740,-59774340,67620540,12611390,6781006,-85754390
2026-01-14 16:52:36.331,-38039790,-16335450,-24233430,67646430,5584717,6112671,-8868408
2026-01-14 16:52:36.341,-38022530,1918818,-5977433,67663700,12950900,64697260,-89538580
2026-01-14 16:52:36.351,-38005260,37443340,-41501950,67680960,-7785797,5407715,-6506348
2026-01-14 16:52:36.361,9571660,19153690,-59774340,20138560,-28015140,4510498,-4864502
