Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
2026-01-14 16:52:35.071,-35424390,7336062,-18386330,-51013190,-41931150,-13977050,67993170
2026-01-14 16:52:35.081,-35433020,12805950,-12916440,-51004560,-8166504,-12463380,37475580
2026-01-14 16:52:35.091,-35441660,12805950,-12916440,-50995930,-28930660,-117004400,-21316530
2026-01-14 16:52:35.101,-35450290,7336062,-18386330,-50987300,-19226070,-847168,-52246100
2026-01-14 16:52:35.111,-35450290,7336062,-18386330,-50987300,-45196530,-64697260,-4849243
2026-01-14 16:52:35.121,3437132,12805950,-12916440,-12082620,-6561279,-7531738,-36956790
2026-01-14 16:52:35.131,3428501,12805950,-12916440,-12073990,-6750488,-7849121,-335083
2026-01-14 16:52:35.141,3437132,12805950,-12916440,-12082620,-10058590,-9124756,-4219055
2026-01-14 16:52:35.151,3436269,12892270,-13002760,-12083480,-8294678,-7702637,-10559080
2026-01-14 16:52:35.161,3436268,7424104,-18470920,-12083480,-5239868,-7067871,72135930
2026-01-14 16:52:35.171,3444900,7424104,-18470920,-12092110,-5593872,-42388920,10681150
2026-01-14 16:52:35.181,3453532,7424104,-18470920,-12100740,-21148680,-41870120,3375244
2026-01-14 16:52:35.191,3463027,7424104,-18470920,-12108510,-2331543,-34423830,53955080
2026-01-14 16:52:35.201,3471659,7424104,-18470920,-12117140,-28320310,-28060910,62927250
2026-01-14 16:52:35.211,3480290,7337786,-18384600,-12125780,-2961731,-30166630,5218506
2026-01-14 16:52:35.221,3480291,12805950,-12916440,-12125780,-19058230,-24108890,46813960
2026-01-14 16:52:35.231,3488922,7337786,-18384600,-12134410,-3488159,-33111570,28900150
2026-01-14 16:52:35.241,-35407130,12805950,-12916440,-51030460,-13076780,-7055664,26870730
2026-01-14 16:52:35.251,-42436760,7337788,-18384600,-44000820,-9529114,-107421900,33741000
2026-01-14 16:52:35.261,-35389860,7424106,-18470920,-51047720,-73547360,-1237793,21514890
2026-01-14 16:52:35.271,-35389860,7424106,-18470920,-51047720,-34618380,-11303710,-12458800
2026-01-14 16:52:35.281,-35389860,7510422,-18557230,-51047720,-24002080,-1315918,-3125
2026-01-14 16:52:35.291,35156810,7596742,-18643560,-121594400,-5897522,-13647460,-38116460
2026-01-14 16:52:35.301,35156810,7683059,-18729870,-121594400,-2999878,-10821530,-5883789
2026-01-14 16:52:35.311,74052860,7855690,-18902510,-82698340,-3768921,-109802200,-52337650
2026-01-14 16:52:35.321,74139180,7942007,-18988820,-82784660,-131073,-10723880,-3491211
2026-01-14 16:52:35.331,74225500,-41673720,-68777180,-82870980,-32684330,-9649658,-2406311
2026-01-14 16:52:35.341,74225500,-53861640,-56589260,-82870980,-58517460,-11383060,-65689090
2026-01-14 16:52:35.351,74311810,-53853010,-56597890,-82957300,27332310,-106933600,-14671330
2026-01-14 16:52:35.361,74398130,-53844380,-56606520,-83043620,10856630,-11883550,17333980
2026-01-14 16:52:35.371,74484440,-53844380,-56606520,-83129930,7255554,-9863281,32287600
2026-01-14 16:52:35.381,74570760,-53835750,-56615160,-83216250,-5832672,-13012700,25314330
