gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
5.854,3.354,-10.915,0.729,0.018,0.218
5.488,3.476,-12.988,0.749,0,0.216
5.549,4.329,-14.451,0.775,-0.008,0.211
7.683,4.939,-16.707,0.813,0.038,0.211
11.159,5.549,-19.329,0.88,0.041,0.214
15.244,6.768,-21.707,0.905,0.096,0.224
20.915,8.049,-24.39,0.932,0.083,0.208
26.585,9.573,-27.073,0.952,0.053,0.191
32.927,11.098,-30.122,0.967,0.081,0.188
38.902,12.622,-33.78,1.036,0.099,0.18
45.549,14.268,-37.439,1.092,0.12,0.192
51.22,16.098,-40.976,1.14,0.162,0.177
56.159,17.805,-45.305,1.212,0.16,0.178
60.732,19.695,-49.756,1.251,0.206,0.145
63.963,21.463,-53.598,1.326,0.25,0.142
65.671,23.11,-57.317,1.38,0.271,0.129
67.195,25.366,-61.829,1.438,0.306,0.097
67.073,26.951,-65.915,1.494,0.396,0.087
65.122,28.72,-70.61,1.568,0.47,0.077
62.927,30.854,-75.244,1.637,0.547,0.052
59.207,33.902,-79.329,1.685,0.661,0.01
56.707,36.89,-83.902,1.736,0.76,-0.033
54.39,39.756,-87.805,1.763,0.826,-0.069
51.22,42.256,-90.976,1.778,0.893,-0.08
50.183,44.634,-94.268,1.777,1.026,-0.119
51.341,47.317,-96.341,1.806,1.227,-0.165
52.927,50.488,-97.866,1.858,1.387,-0.177
58.598,54.146,-98.049,1.896,1.471,-0.208
62.988,59.024,-97.439,1.93,1.56,-0.241
67.744,63.476,-96.768,1.932,1.707,-0.291
73.841,69.329,-95.305,1.898,1.887,-0.328
80.915,74.39,-92.744,1.873,2.046,-0.395
85.488,77.927,-90.244,1.896,2.127,-0.449
90.061,81.89,-87.134,1.891,2.205,-0.539
90.061,87.378,-83.476,1.847,2.362,-0.574
86.098,92.927,-79.756,1.8,2.563,-0.581
82.805,98.659,-75.854,1.785,2.738,-0.594
75.305,102.56,-72.805,1.77,2.86,-0.602
69.756,108.48,-67.378,1.733,2.945,-0.63
60,114.27,-61.524,1.716,3.117,-0.616
44.512,116.58,-57.012,1.675,3.266,-0.655
31.951,120.79,-52.5,1.653,3.357,-0.715
20.793,127.26,-46.402,1.652,3.396,-0.736
12.866,135.61,-38.476,1.589,3.438,-0.775
4.207,145.43,-29.878,1.55,3.451,-0.754
-0.244,155.24,-18.72,1.458,3.433,-0.719
-2.805,164.76,-7.866,1.299,3.42,-0.693
1.22,174.57,5.122,1.173,3.424,-0.659
5.915,186.22,21.22,1.094,3.402,-0.613
9.939,196.04,39.329,0.995,3.357,-0.566
7.744,203.6,55.061,0.864,3.334,-0.53
4.329,209.76,71.159,0.77,3.342,-0.49
-0.244,217.32,89.268,0.712,3.4,-0.452
-8.354,225.24,108.72,0.635,3.479,-0.437
-20,228.84,129.88,0.514,3.496,-0.407
-40.732,236.89,145.67,0.358,3.424,-0.361
-60.305,241.34,162.74,0.2,3.307,-0.318
-78.659,247.13,181.04,0.055,3.187,-0.28
-93.415,256.22,201.28,-0.046,3.089,-0.226
-105.06,261.95,219.94,-0.119,2.992,-0.186
-111.22,271.4,239.88,-0.219,2.889,-0.194
-113.48,280.98,260.49,-0.307,2.76,-0.217
-112.44,285.85,280.37,-0.412,2.664,-0.193
-108.29,289.51,299.15,-0.587,2.625,-0.174
-102.19,294.39,317.99,-0.734,2.54,-0.184
-98.11,298.05,335.79,-0.84,2.424,-0.185
-97.5,297.32,350.43,-0.95,2.255,-0.176
-101.89,294.69,362.38,-1.193,2.228,-0.134
-112.13,293.78,372.74,-1.389,2.204,-0.146
-126.95,294.08,380.67,-1.675,2.102,-0.136
-144.57,294.02,386.1,-1.946,1.915,-0.122
-166.28,291.83,389.76,-2.261,1.741,-0.042
-192.56,286.22,391.83,-2.527,1.6,-0.048
-221.46,277.01,392.07,-2.792,1.287,-0.114
-251.04,267.81,391.89,-2.982,0.98,-0.21
-281.71,260.18,390.61,-2.975,0.757,-0.234
-313.84,251.89,387.56,-2.976,0.613,-0.326
-348.96,245,384.82,-2.927,0.44,-0.468
-389.08,239.27,381.34,-2.775,0.304,-0.533
-429.88,230.67,375.06,-2.643,0.15,-0.606
-474.94,222.93,368.11,-2.596,-0.196,-0.662
-522.5,219.09,362.68,-2.431,-0.198,-0.621
-577.87,217.74,356.95,-2.596,-0.745,-0.806
-639.45,212.99,349.63,-2.601,-1.11,-0.847
-701.22,206.71,340.61,-2.582,-1.228,-0.815
-765.43,197.19,329.63,-2.568,-1.333,-0.751
-825.73,185.79,321.04,-2.654,-1.547,-0.626
-882.99,175.31,311.22,-2.576,-1.398,-0.479
-925,162.56,301.71,-2.497,-1.269,-0.367
-955.91,144.02,291.1,-2.448,-1.121,-0.339
-971.22,119.88,280.61,-2.441,-0.978,-0.417
-973.66,97.988,266.28,-2.491,-0.855,-0.518
-952.8,71.463,252.87,-2.496,-0.813,-0.579
-916.46,44.329,242.44,-2.445,-0.885,-0.579
-854.15,32.317,232.99,-2.331,-0.854,-0.53
-760.43,24.085,226.22,-2.206,-0.924,-0.47
-663.48,20,222.19,-2.06,-1.042,-0.387
-544.57,33.232,202.93,-1.945,-1.113,-0.313
-419.02,38.354,185.24,-1.845,-1.189,-0.261
-306.4,41.768,164.88,-1.765,-1.28,-0.227
-191.89,45.61,143.96,-1.662,-1.329,-0.192
-84.573,43.049,122.38,-1.571,-1.307,-0.197
1.402,33.963,102.87,-1.538,-1.283,-0.192
72.439,22.561,84.634,-1.52,-1.227,-0.191
118.72,11.402,65.061,-1.482,-1.248,-0.163
143.66,-2.073,45.61,-1.473,-1.203,-0.118
155.24,-18.476,26.28,-1.419,-1.184,-0.004
158.41,-38.537,10.854,-1.384,-1.126,0.091
156.65,-56.098,-6.22,-1.363,-1.049,0.181
150.98,-72.744,-19.756,-1.354,-0.995,0.306
144.39,-86.341,-30.732,-1.352,-0.872,0.424
141.83,-96.951,-40.183,-1.299,-0.815,0.563
141.52,-101.71,-48.537,-1.296,-0.768,0.671
146.95,-100.24,-54.817,-1.37,-0.531,0.742
159.02,-94.817,-60.122,-1.309,-0.411,0.853
176.89,-87.134,-64.085,-1.329,-0.267,0.927
198.11,-76.829,-67.134,-1.262,-0.355,1.021
220.61,-66.22,-68.78,-1.282,-0.303,1.1
242.93,-57.134,-70.122,-1.304,0.058,1.164
267.44,-49.939,-71.707,-1.223,0.122,1.26
287.32,-42.744,-73.171,-1.221,0.017,1.3
308.05,-37.073,-74.451,-1.053,0.039,1.409
324.88,-30.854,-76.28,-1.084,0.301,1.423
339.15,-26.098,-78.476,-1.08,0.397,1.434
350.12,-22.927,-82.5,-0.896,0.323,1.451
355.18,-21.89,-85.549,-0.924,0.605,1.447
358.78,-21.402,-88.293,-0.942,0.787,1.415
357.68,-16.524,-95.122,-0.798,0.735,1.4
353.96,-18.049,-101.28,-0.711,0.872,1.385
350.24,-20.915,-108.11,-0.7,1.091,1.37
340.43,-25.976,-114.02,-0.621,1.047,1.28
338.11,-33.293,-119.82,-0.585,1.095,1.23
338.96,-34.634,-124.02,-0.467,1.096,1.152
334.08,-42.866,-125.55,-0.376,1.15,1.107
331.71,-49.817,-130.24,-0.329,1.244,1.042
327.68,-55.427,-136.34,-0.24,1.368,0.987
332.07,-64.207,-135.37,-0.195,1.316,0.917
334.94,-65.244,-135.85,-0.127,1.278,0.787
334.39,-73.354,-139.88,-0.058,1.416,0.708
341.16,-84.878,-140.49,0.02,1.52,0.635
347.32,-86.951,-139.27,0.106,1.607,0.555
346.83,-96.89,-138.66,0.21,1.66,0.465
355.92,-110.06,-138.9,0.281,1.658,0.393
360.31,-116.34,-138.48,0.416,1.542,0.323
363.05,-121.77,-137.56,0.456,1.67,0.197
371.95,-127.32,-137.68,0.57,1.606,0.201
378.35,-134.63,-135.73,0.676,1.532,0.154
382.13,-143.17,-135,0.652,1.558,0.077
388.35,-149.02,-131.28,0.701,1.522,0.133
393.42,-156.77,-125.49,0.778,1.476,0.104
392.68,-164.51,-122.26,0.797,1.478,0.058
390.67,-169.09,-121.16,0.854,1.478,0.034
386.52,-175.12,-118.23,0.883,1.437,-0.02
379.88,-184.94,-112.13,0.919,1.383,-0.064
373.72,-192.74,-106.89,0.96,1.291,-0.13
