gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
7.622,14.39,8.354,0.73,0.264,0.026
7.866,14.512,7.378,0.74,0.28,0.031
8.11,14.939,6.707,0.765,0.292,0.027
8.659,15.671,5.915,0.797,0.293,0.008
9.634,16.585,5.305,0.819,0.295,0.003
10.61,17.561,4.512,0.837,0.295,0.002
11.829,18.598,3.354,0.855,0.296,-0.004
13.171,19.451,2.5,0.865,0.289,-0.01
14.695,20,1.707,0.888,0.285,0.001
16.89,20.122,1.22,0.88,0.29,0.016
18.963,19.634,1.402,0.867,0.273,0.03
20.854,18.902,1.646,0.882,0.256,0.047
22.622,18.354,1.951,0.885,0.245,0.047
24.329,17.988,2.073,0.904,0.235,0.044
26.524,17.256,2.256,0.934,0.229,0.049
28.354,16.646,2.561,0.982,0.215,0.038
30.183,16.098,2.988,1.042,0.204,0.049
31.951,15.305,3.171,1.109,0.199,0.048
33.841,14.329,3.293,1.16,0.188,0.041
35.732,13.354,3.537,1.226,0.179,0.054
37.317,12.622,3.902,1.281,0.183,0.075
38.598,12.073,4.329,1.317,0.199,0.114
39.39,12.439,5.366,1.335,0.21,0.155
40.366,13.598,6.585,1.36,0.236,0.197
41.524,14.451,6.22,1.399,0.253,0.238
42.134,16.402,6.159,1.466,0.281,0.277
42.5,19.695,7.012,1.555,0.249,0.333
42.805,23.354,7.195,1.685,0.256,0.418
43.841,27.134,7.317,1.822,0.221,0.521
45,30.671,7.256,1.972,0.188,0.657
45.732,33.476,7.195,2.137,0.157,0.777
46.768,36.22,6.829,2.34,0.062,0.921
47.256,39.146,6.28,2.555,-0.01,1.002
47.439,42.073,5.244,2.763,-0.089,1.096
47.012,45.427,3.598,3.007,-0.198,1.165
45.915,49.695,1.463,3.216,-0.355,1.24
43.415,55,-0.732,3.262,-0.46,1.313
39.939,62.256,-3.415,3.309,-0.575,1.4
36.037,70.488,-5.244,3.436,-0.697,1.484
32.622,79.817,-7.317,3.502,-0.806,1.591
28.354,88.11,-13.72,3.519,-0.908,1.675
21.707,98.232,-20.427,3.478,-0.955,1.671
15,107.81,-27.073,3.459,-1.004,1.655
5.793,117.62,-35.122,3.373,-1.059,1.446
-3.963,128.84,-41.585,3.245,-1.084,1.305
-16.22,141.16,-49.573,3.141,-1.071,1.148
-33.963,148.96,-54.146,3.039,-1.075,0.959
-51.159,154.88,-57.683,2.846,-1.07,0.805
-71.402,160.12,-60.793,2.637,-1.027,0.642
-89.329,166.34,-61.341,2.447,-1.045,0.432
-108.9,171.46,-60.976,2.256,-1.05,0.257
-128.41,174.27,-63.902,2.065,-1.026,0.109
-150,177.07,-69.451,1.86,-0.968,-0.018
-174.45,180.85,-72.927,1.656,-0.91,-0.149
-202.01,183.84,-77.561,1.409,-0.872,-0.356
-229.94,185.98,-83.354,1.121,-0.844,-0.443
-260.31,187.13,-92.378,0.767,-0.788,-0.383
-291.16,185.73,-102.26,0.344,-0.719,-0.316
-314.08,180.37,-117.13,-0.097,-0.691,-0.244
-341.46,171.34,-137.07,-0.555,-0.715,-0.095
-369.69,161.28,-158.66,-1.212,-0.695,0.066
-392.32,150.37,-181.77,-1.792,-0.893,0.17
-414.51,137.81,-210.61,-2.542,-1.245,0.279
-437.26,125.43,-244.09,-3.167,-1.737,0.325
-456.52,113.66,-280.85,-4.723,-1.802,0.199
-473.11,104.02,-319.69,-7.332,-0.775,-0.011
-485.06,97.683,-359.27,-9.89,0.769,-0.071
-494.94,95.732,-399.51,-9.734,1.516,0.014
-501.16,98.78,-439.57,-8.084,0.538,0.431
-505.61,105.55,-478.11,-7.92,1.191,0.981
-507.5,112.62,-512.87,-7.728,2.69,0.825
-504.27,120.06,-543.72,-6.703,2.455,-1.085
-497.62,130.12,-571.59,-5.124,1.083,-2.146
-484.21,144.45,-593.41,-3.878,-2.524,-1.804
-461.58,160.18,-605.67,-3.728,-0.062,-1.532
-432.38,176.28,-611.95,-1.955,0.561,-0.912
-396.65,194.02,-602.56,-0.678,1.36,-0.112
-342.62,250.49,-597.44,-0.155,1.833,0.771
-265.73,345.06,-618.9,0.094,1.851,1.596
-180.06,405.06,-694.51,0.347,1.839,1.875
-122.13,386.58,-777.44,0.443,1.451,1.368
-120.06,295.61,-801.34,0.042,0.774,0.509
-118.54,219.76,-764.15,-0.544,-0.192,0.075
-110.06,169.82,-681.1,-0.814,-0.72,0.128
-107.93,108.6,-589.15,-1.007,-1.41,0.163
-27.561,47.134,-505,-1.138,-1.626,0.074
-23.902,-52.134,-351.22,-1.089,-1.202,0.187
2.622,-125.55,-202.38,-0.965,-1.022,0.476
43.476,-151.4,-38.049,-0.831,-1.033,0.846
-36.768,-142.26,70.244,-0.706,-0.944,1.137
-115.67,-152.62,180.24,-0.664,-0.822,1.323
-156.52,-172.07,242.32,-0.688,-0.737,1.372
-172.01,-163.84,258.6,-0.729,-0.672,1.293
-164.69,-107.19,237.56,-0.794,-0.592,1.181
-157.68,-32.561,206.22,-0.859,-0.493,1.085
-185.91,22.195,177.07,-0.92,-0.376,1.046
-202.5,45.305,148.72,-0.965,-0.249,1.074
-206.52,51.098,132.32,-1.012,-0.115,1.093
-200.12,53.049,131.95,-1.084,0.039,1.09
-173.17,51.098,135.31,-1.181,0.196,1.06
-137.44,41.098,137.99,-1.328,0.354,0.991
-109.57,29.451,135.61,-1.487,0.469,0.908
-80.671,23.049,129.94,-1.638,0.549,0.83
-47.195,22.866,123.84,-1.771,0.613,0.752
-14.756,26.402,119.51,-1.869,0.644,0.699
13.963,32.622,117.62,-1.954,0.678,0.67
40.244,38.476,118.6,-2.039,0.719,0.648
65.61,41.524,122.13,-2.101,0.77,0.625
89.573,41.707,127.38,-2.157,0.791,0.6
112.26,39.817,135.18,-2.159,0.808,0.538
132.93,37.012,145.67,-2.113,0.806,0.456
148.78,34.207,158.84,-2.024,0.825,0.378
160.18,31.829,174.39,-1.926,0.866,0.314
169.15,29.634,191.28,-1.823,0.885,0.264
175.06,26.707,208.66,-1.69,0.894,0.229
176.71,23.537,226.4,-1.527,0.887,0.171
178.66,19.329,244.63,-1.35,0.88,0.125
179.76,13.72,263.96,-1.175,0.875,0.068
181.04,7.927,283.54,-1.016,0.863,0.022
184.94,2.134,302.93,-0.849,0.836,0
192.68,-2.988,320.92,-0.681,0.782,-0.022
201.83,-5.732,338.48,-0.58,0.768,0.01
211.95,-7.744,355.55,-0.418,0.669,-0.036
225.37,-9.878,369.33,-0.25,0.57,-0.022
241.1,-11.951,381.77,-0.112,0.559,-0.005
258.84,-13.841,391.89,0.008,0.509,-0.016
279.57,-16.707,400.79,0.131,0.493,-0.024
300.37,-19.817,409.08,0.229,0.463,-0.042
320.67,-23.415,415.61,0.341,0.443,-0.059
339.51,-26.89,420.98,0.473,0.387,-0.048
356.46,-31.098,425.49,0.629,0.295,-0.021
371.4,-33.902,429.08,0.732,0.216,-0.035
383.11,-37.622,431.83,0.881,0.101,-0.029
391.77,-43.049,432.19,1.016,0.003,-0.024
397.99,-47.988,431.58,1.171,-0.078,0.036
401.71,-51.341,431.58,1.422,-0.121,0.173
403.96,-54.756,430.24,1.508,-0.135,0.338
400.31,-63.232,425.67,1.736,-0.102,0.516
394.82,-71.707,420.61,1.864,-0.066,0.649
389.21,-78.78,412.56,2.04,-0.06,0.719
379.63,-87.622,400,2.265,-0.117,0.732
370.06,-99.085,386.34,2.334,-0.146,0.687
360.92,-111.65,368.9,2.406,-0.202,0.596
349.08,-125.73,349.08,2.551,-0.292,0.504
334.45,-139.27,331.1,2.598,-0.33,0.465
319.51,-153.54,315.49,2.63,-0.347,0.487
303.29,-167.01,296.16,2.677,-0.39,0.583
284.94,-179.21,279.57,2.672,-0.419,0.725
260.61,-191.28,260.55,2.604,-0.404,0.89
238.23,-199.15,247.01,2.546,-0.39,0.987
215.49,-206.16,238.11,2.47,-0.375,1.008
184.21,-209.88,219.69,2.381,-0.369,0.959
156.34,-212.81,204.57,2.27,-0.376,0.864
126.77,-215.98,185.49,2.162,-0.374,0.74
94.39,-219.51,170.43,2.07,-0.36,0.625
61.829,-226.16,164.15,1.986,-0.356,0.527
30.244,-234.39,153.6,1.909,-0.338,0.462
-0.976,-242.13,145.37,1.813,-0.322,0.407
-29.817,-250.43,141.59,1.718,-0.3,0.361
-55.915,-258.84,132.62,1.627,-0.267,0.3
-83.171,-266.1,119.57,1.537,-0.198,0.275
-108.84,-271.16,109.45,1.445,-0.151,0.247
-133.35,-273.11,99.39,1.355,-0.062,0.179
-155.55,-270.85,88.11,1.27,-0.028,0.077
-179.33,-266.34,77.317,1.211,0.057,0.04
-202.38,-260.06,66.22,1.153,0.143,-0.045
-224.02,-253.48,55.183,1.089,0.224,-0.086
-244.15,-247.38,43.232,1.042,0.324,-0.114
-262.32,-241.65,31.037,0.988,0.424,-0.133
-278.23,-236.34,18.476,0.943,0.506,-0.126
-292.87,-230.91,5.732,0.893,0.58,-0.12
-305.31,-224.88,-7.378,0.835,0.625,-0.11
-314.08,-218.35,-20.122,0.803,0.674,-0.103
-321.89,-210.79,-32.012,0.757,0.712,-0.106
-328.96,-202.56,-42.866,0.719,0.765,-0.105
-333.96,-193.23,-52.866,0.674,0.817,-0.088
-337.74,-182.32,-62.5,0.617,0.829,-0.058
-338.35,-170.12,-71.524,0.583,0.85,-0.025
-337.44,-159.45,-81.159,0.558,0.852,0.003
-336.58,-149.09,-89.085,0.536,0.843,0.042
-331.52,-139.33,-95.976,0.514,0.843,0.061
-324.45,-130.55,-101.46,0.502,0.843,0.072
-316.89,-120.98,-105.31,0.489,0.834,0.095
-310.24,-111.83,-107.38,0.467,0.824,0.121
