gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-11.28,-5.61,-1.098,0.708,0.571,0.489
-10.183,-5.671,-0.915,0.712,0.568,0.495
-8.659,-5.549,-0.915,0.719,0.568,0.505
-6.829,-5.366,-0.61,0.734,0.566,0.509
-4.939,-5.244,-0.061,0.744,0.567,0.507
-2.927,-5.244,0.427,0.747,0.567,0.511
-1.098,-5.122,1.037,0.747,0.569,0.508
0.854,-4.939,1.768,0.744,0.566,0.511
2.622,-4.939,2.561,0.746,0.563,0.514
4.329,-5.061,3.598,0.752,0.564,0.518
5.61,-4.878,4.878,0.744,0.562,0.518
6.524,-4.756,6.22,0.739,0.554,0.524
6.951,-4.817,7.439,0.738,0.553,0.527
6.951,-5,8.902,0.735,0.555,0.524
6.829,-5.244,10.427,0.736,0.544,0.516
6.768,-5.427,12.012,0.734,0.538,0.517
6.159,-5.61,13.78,0.723,0.53,0.516
5.488,-5.61,15.61,0.723,0.529,0.519
5.061,-5.61,17.5,0.721,0.534,0.511
4.695,-5.854,19.634,0.716,0.531,0.494
4.268,-6.037,21.768,0.699,0.529,0.488
4.146,-6.402,23.841,0.691,0.529,0.487
3.902,-6.829,25.976,0.692,0.524,0.487
3.963,-7.195,28.293,0.69,0.526,0.486
4.451,-7.561,30.793,0.684,0.529,0.49
5.305,-7.927,33.476,0.679,0.529,0.478
6.159,-8.293,35.854,0.67,0.526,0.469
7.256,-8.598,37.866,0.656,0.516,0.458
8.902,-9.085,39.756,0.646,0.501,0.459
10.61,-9.512,41.829,0.643,0.494,0.456
12.744,-9.817,43.902,0.643,0.491,0.447
14.878,-10.427,45.671,0.641,0.486,0.438
16.646,-11.037,47.256,0.642,0.478,0.435
18.415,-11.28,48.72,0.634,0.472,0.427
20.244,-11.829,50.122,0.631,0.469,0.418
21.707,-12.744,51.646,0.635,0.482,0.418
22.5,-13.293,52.988,0.634,0.496,0.413
23.171,-13.78,54.146,0.637,0.493,0.411
23.659,-14.146,55.122,0.639,0.493,0.412
23.72,-14.268,55.671,0.649,0.497,0.406
23.293,-14.268,56.037,0.653,0.499,0.401
22.927,-14.207,56.22,0.651,0.497,0.401
22.256,-14.085,56.159,0.648,0.493,0.394
21.585,-13.841,56.037,0.645,0.489,0.383
20.793,-13.598,55.915,0.646,0.479,0.37
20,-13.11,55.488,0.644,0.467,0.367
19.451,-12.622,55,0.639,0.466,0.369
19.024,-12.134,54.451,0.645,0.466,0.368
18.293,-11.768,53.963,0.649,0.46,0.373
16.768,-11.524,53.354,0.644,0.451,0.376
15.122,-11.037,52.439,0.65,0.447,0.373
13.598,-10.488,51.22,0.647,0.441,0.371
11.585,-10.061,50,0.636,0.43,0.371
9.512,-9.512,48.902,0.625,0.424,0.365
7.317,-8.72,47.927,0.618,0.416,0.363
5.244,-7.927,46.951,0.615,0.417,0.366
3.11,-7.256,45.732,0.61,0.414,0.366
1.402,-6.646,44.573,0.612,0.416,0.367
0,-5.793,43.415,0.616,0.416,0.373
-1.402,-5.183,42.378,0.619,0.419,0.375
-2.378,-4.817,41.463,0.614,0.419,0.375
-2.744,-4.573,40.549,0.611,0.407,0.374
-2.683,-4.085,39.329,0.61,0.398,0.373
-2.012,-3.354,38.232,0.605,0.393,0.379
-0.915,-2.683,37.317,0.601,0.391,0.385
0.732,-1.768,36.28,0.596,0.391,0.392
2.5,-1.037,35.061,0.588,0.39,0.392
4.329,-0.183,33.963,0.585,0.39,0.395
6.159,0.793,32.805,0.584,0.388,0.397
