gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
10.671,-12.439,-41.463,0.225,-0.192,0.099
13.11,-11.89,-44.939,0.248,-0.201,0.086
14.268,-10.976,-49.024,0.289,-0.202,0.067
15.122,-9.573,-53.659,0.345,-0.195,0.05
15.915,-7.683,-58.354,0.405,-0.188,0.043
16.22,-5.61,-63.598,0.441,-0.187,0.047
15.976,-3.293,-68.963,0.469,-0.188,0.053
15.793,-0.488,-74.695,0.51,-0.19,0.054
15.976,2.561,-80.549,0.572,-0.194,0.046
16.098,5.854,-86.159,0.645,-0.209,0.012
16.159,9.329,-92.378,0.709,-0.215,-0.005
16.402,12.866,-99.207,0.765,-0.191,-0.01
17.561,16.707,-106.04,0.859,-0.16,-0.031
20,21.037,-113.23,0.988,-0.135,-0.061
22.988,25.549,-120.37,1.135,-0.088,-0.08
26.89,30.244,-127.99,1.296,-0.044,-0.117
32.622,35.061,-135.85,1.41,0.021,-0.11
39.756,40.366,-144.21,1.462,0.039,-0.069
48.537,46.341,-152.81,1.555,0.203,-0.068
58.902,52.683,-162.07,1.55,0.369,-0.073
71.524,59.268,-172.26,1.506,0.63,-0.113
86.89,66.159,-183.05,1.418,0.982,-0.169
104.39,72.988,-194.45,1.306,1.473,-0.282
124.51,80.915,-206.83,1.157,2.077,-0.412
147.07,89.512,-219.51,0.983,2.645,-0.555
172.74,97.5,-231.89,0.81,3.245,-0.72
201.34,104.69,-244.27,0.644,3.82,-0.978
231.83,111.65,-256.95,0.511,4.498,-1.302
263.54,118.54,-271.04,0.351,5.212,-1.607
298.11,124.39,-286.71,0.29,5.629,-1.959
335.18,128.9,-303.17,0.374,5.935,-2.385
375.61,133.17,-320.06,0.523,6.124,-2.787
417.99,138.84,-336.16,0.834,6.08,-3.079
463.23,143.29,-352.56,1.168,6.031,-3.375
512.01,146.52,-367.01,1.479,5.829,-3.594
564.63,148.41,-381.04,1.749,5.402,-3.664
621.22,150.31,-394.39,1.989,4.878,-3.606
678.72,150.49,-403.23,2.223,4.389,-3.481
736.77,151.4,-406.83,2.371,4.042,-3.329
793.84,151.52,-402.74,2.386,3.579,-3.132
848.41,148.6,-388.84,2.343,2.98,-2.986
901.65,143.35,-367.68,2.257,2.48,-2.904
940.73,145.12,-340.18,2.081,2.081,-2.831
967.87,153.29,-303.29,1.831,1.722,-2.784
975.3,165.61,-262.68,1.539,1.422,-2.753
957.32,184.02,-223.84,1.231,1.226,-2.72
906.95,210.37,-184.21,0.9,1.116,-2.702
826.89,235.85,-149.63,0.585,1.087,-2.661
722.74,264.45,-121.71,0.318,1.063,-2.609
602.62,299.21,-94.573,0.109,1.059,-2.555
470.73,333.6,-66.341,-0.093,1.06,-2.519
336.04,367.5,-38.415,-0.272,1.109,-2.484
208.41,402.62,-11.098,-0.486,1.231,-2.461
93.902,438.9,15.488,-0.662,1.326,-2.513
-0.183,474.15,46.22,-0.861,1.375,-2.544
-70.549,505.67,82.378,-1.079,1.333,-2.607
-116.1,533.84,119.69,-1.361,1.245,-2.542
-136.83,557.62,158.29,-1.737,1.197,-2.349
-134.51,574.94,198.05,-2.087,1.356,-2.269
-114.51,586.83,236.95,-2.529,1.599,-2.344
-83.476,594.15,274.15,-3.026,1.77,-2.618
-47.439,598.17,307.68,-3.499,1.743,-2.847
-9.329,599.57,337.01,-3.977,1.604,-2.666
25.732,598.78,363.78,-4.402,1.498,-2.162
55.427,596.28,385.73,-4.813,1.274,-1.682
77.073,592.13,403.84,-5.129,0.808,-1.486
91.037,585.55,415.98,-5.213,0.431,-1.267
98.963,576.34,422.93,-4.914,0.145,-1.234
100.98,563.9,426.46,-4.433,-0.072,-1.498
98.659,547.68,425.49,-4.08,-0.261,-1.693
94.695,530.06,420.31,-3.716,-0.239,-1.652
88.354,507.87,410.92,-3.299,-0.292,-1.466
77.073,480.12,396.34,-2.839,-0.333,-1.134
61.28,448.05,376.83,-2.487,-0.305,-0.745
41.829,408.9,350.98,-2.202,-0.139,-0.37
19.024,364.82,322.62,-1.987,0.054,-0.104
-1.585,318.42,297.81,-1.823,0.263,0.04
-17.683,275.79,277.99,-1.723,0.414,0.13
-27.622,233.84,261.77,-1.667,0.538,0.117
-31.524,195.37,247.38,-1.591,0.62,0.043
-28.11,159.15,233.23,-1.508,0.7,0.013
-12.134,122.44,217.38,-1.386,0.792,-0.014
12.5,90.915,198.96,-1.24,0.833,-0.079
44.024,59.634,175,-1.096,0.847,-0.141
80.976,28.415,144.76,-0.969,0.841,-0.186
121.89,3.963,113.23,-0.812,0.796,-0.219
