gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-130.06,28.963,131.22,-0.218,-0.121,-0.334
-137.07,30.61,160.61,-0.343,-0.082,-0.354
-138.41,30.488,191.4,-0.46,-0.069,-0.357
-134.09,28.659,222.13,-0.584,-0.078,-0.316
-122.5,25,251.52,-0.685,-0.113,-0.247
-106.77,20.183,279.27,-0.788,-0.143,-0.192
-89.634,15.183,305.18,-0.924,-0.166,-0.116
-68.232,9.573,328.96,-1.076,-0.168,-0.038
-45.305,4.146,351.16,-1.225,-0.148,0.044
-23.841,-0.61,371.46,-1.333,-0.146,0.146
-2.195,-5.122,389.27,-1.389,-0.146,0.298
18.171,-6.951,404.82,-1.399,-0.167,0.462
35.793,-5.976,417.5,-1.337,-0.224,0.648
52.073,-3.293,427.01,-1.215,-0.263,0.857
67.256,0.427,435.67,-1.038,-0.31,1.069
80.854,8.415,440.98,-0.816,-0.411,1.277
92.073,17.317,445.79,-0.578,-0.517,1.485
101.95,24.512,452.38,-0.32,-0.602,1.671
110.73,27.439,457.38,-0.03,-0.703,1.844
117.13,25.549,455.55,0.314,-0.827,2.034
129.27,25.061,449.45,0.725,-0.943,2.176
140.98,26.463,435,1.143,-1.059,2.294
154.51,26.098,410.55,1.574,-1.266,2.339
170.37,25,377.5,2.05,-1.591,2.356
189.39,20.732,337.01,2.539,-1.938,2.368
208.23,16.098,291.1,2.923,-2.305,2.366
222.93,7.988,241.1,3.174,-2.653,2.293
229.27,2.988,189.69,3.358,-3.011,2.131
230.18,-0.915,132.68,3.495,-3.245,2.029
225.73,-5.427,70.244,3.675,-3.491,1.804
216.71,-9.756,5.549,3.832,-3.764,1.594
207.07,-13.415,-59.024,3.994,-4.13,1.301
196.16,-15.671,-122.81,4.138,-4.443,1.011
184.57,-17.683,-184.39,4.314,-4.637,0.702
172.93,-18.963,-243.29,4.353,-4.785,0.471
160.24,-16.341,-299.51,4.259,-4.885,0.283
147.26,-9.024,-353.11,4.145,-4.893,0.07
136.4,2.439,-403.17,3.956,-4.948,-0.159
124.88,17.744,-449.94,3.74,-5.006,-0.42
112.74,38.171,-492.19,3.471,-5.121,-0.699
102.44,63.476,-529.63,3.188,-5.181,-0.981
93.171,92.378,-563.11,2.875,-5.14,-1.229
86.524,124.27,-592.87,2.581,-5.008,-1.455
82.927,160.24,-619.15,2.308,-4.875,-1.63
81.402,199.15,-642.07,2.025,-4.79,-1.765
82.5,239.15,-661.83,1.717,-4.714,-1.875
87.5,280.31,-678.23,1.426,-4.624,-1.936
95.61,320.73,-690.61,1.179,-4.525,-1.952
106.58,358.9,-698.11,0.952,-4.413,-1.952
123.11,395.18,-701.22,0.725,-4.3,-1.946
145.55,427.74,-700.49,0.502,-4.19,-1.903
173.05,457.19,-697.07,0.267,-4.104,-1.83
207.01,483.54,-692.07,0.023,-4.037,-1.735
246.77,504.27,-686.65,-0.235,-3.999,-1.655
291.58,520,-681.4,-0.498,-3.997,-1.576
341.46,533.78,-672.93,-0.704,-3.989,-1.501
396.52,544.51,-654.7,-0.899,-3.968,-1.473
471.95,553.54,-621.1,-1.105,-3.935,-1.472
538.48,548.96,-551.52,-1.339,-3.861,-1.541
572.38,535.79,-455.24,-1.601,-3.781,-1.646
620,532.93,-360.18,-1.857,-3.706,-1.834
591.22,515.55,-283.66,-2.113,-3.639,-2.043
541.89,431.28,-204.09,-2.342,-3.537,-2.168
509.45,324.45,-152.93,-2.648,-3.48,-2.212
484.08,289.63,-105.73,-3.354,-3.508,-2.152
507.62,232.26,-83.049,-4.591,-3.733,-2.088
521.83,191.83,-51.402,-6.059,-3.598,-1.755
420,127.81,-56.951,-7.669,-3.451,-1.569
287.44,40.671,-48.049,-8.787,-2.885,-1.78
145.24,10.61,-5.305,-7.684,-1.407,-2.925
-1.646,-11.646,30.244,-5.547,0.313,-4.112
-145.67,-23.963,49.329,-4.851,1.763,-4.481
-270.12,-30.732,63.11,-5.434,2.722,-3.655
-365.49,-27.134,72.256,-6.039,2.737,-2.792
-428.72,-20.61,78.659,-6.336,2.688,-2.244
-456.34,-6.829,82.744,-5.052,2.987,-1.754
-456.4,3.415,87.622,-4.493,3.145,-1.359
-433.42,10.488,96.341,-4.225,3.13,-0.889
-387.44,17.073,110,-3.956,3.188,-0.546
-321.89,21.646,125.61,-3.75,3.118,-0.338
-242.13,23.78,142.93,-3.603,2.893,-0.062
-157.26,23.293,158.72,-3.399,2.621,0.305
-76.098,21.28,174.51,-3.108,2.078,0.736
-8.537,18.354,190.73,-2.771,1.54,1.199
42.439,14.634,206.22,-2.555,1.181,1.547
77.317,7.866,220.37,-2.453,0.91,1.82
93.476,-1.037,233.84,-2.341,0.776,2.049
91.707,-12.073,246.59,-2.127,0.754,2.134
74.451,-34.268,257.62,-1.944,0.704,2.187
40.183,-54.268,266.95,-1.828,0.633,2.257
-2.744,-48.11,272.93,-1.744,0.577,2.302
-51.768,-64.268,278.29,-1.704,0.571,2.341
-103.96,-89.878,281.58,-1.651,0.559,2.337
-155.61,-116.04,282.99,-1.589,0.521,2.294
-206.34,-142.26,282.68,-1.599,0.471,2.217
-249.76,-167.07,281.1,-1.637,0.382,2.142
-283.96,-195.98,276.65,-1.278,0.289,2.144
-308.96,-224.33,270.61,-1.426,0.182,2.013
-325.24,-249.76,263.84,-1.482,-0.033,1.883
-335.55,-276.52,254.02,-1.422,-0.29,1.732
-339.82,-300.67,241.52,-1.376,-0.58,1.587
-337.99,-322.56,226.4,-1.282,-0.815,1.413
-331.77,-342.19,209.88,-1.25,-1.095,1.186
-323.96,-359.63,192.74,-1.184,-1.384,1.011
-314.76,-374.76,174.76,-1.068,-1.67,0.823
-304.21,-386.28,157.13,-0.982,-1.864,0.689
-292.68,-393.84,141.28,-0.83,-1.965,0.524
-283.11,-398.6,125.98,-0.685,-2.02,0.372
-275.06,-401.34,110.06,-0.562,-2.034,0.243
-266.4,-402.44,96.037,-0.455,-2.01,0.139
-260.31,-401.52,83.232,-0.368,-1.994,0.024
-254.51,-399.08,70.61,-0.271,-1.936,-0.137
-249.15,-395.73,59.512,-0.179,-1.87,-0.304
-244.39,-391.52,50.122,-0.098,-1.819,-0.443
-239.51,-385.98,42.134,-0.02,-1.721,-0.56
-234.82,-378.96,35.366,0.056,-1.587,-0.66
-231.83,-372.07,29.878,0.126,-1.502,-0.73
-228.66,-364.57,26.098,0.162,-1.442,-0.799
-225.43,-355.49,23.659,0.179,-1.371,-0.884
-221.83,-344.57,22.988,0.191,-1.295,-0.966
-217.99,-332.87,23.11,0.203,-1.225,-1.038
-213.29,-320.67,22.805,0.215,-1.164,-1.107
-206.34,-308.29,21.768,0.233,-1.115,-1.134
-196.46,-295.31,20.915,0.256,-1.05,-1.128
-185.06,-281.4,19.878,0.305,-0.994,-1.145
-171.83,-268.05,19.756,0.365,-0.949,-1.183
-157.68,-254.76,20.244,0.432,-0.911,-1.183
-142.62,-241.16,22.195,0.524,-0.861,-1.138
-127.74,-227.87,24.695,0.619,-0.763,-1.072
-113.6,-214.39,26.951,0.73,-0.667,-1.018
-99.939,-200.73,29.085,0.837,-0.652,-0.969
-86.89,-186.52,30.915,0.902,-0.652,-0.917
-75.671,-171.83,32.683,0.998,-0.645,-0.861
-65.732,-156.71,34.817,1.123,-0.626,-0.816
-57.012,-140.61,36.829,1.253,-0.612,-0.752
-49.695,-123.78,38.598,1.378,-0.567,-0.69
-44.39,-106.16,39.817,1.508,-0.507,-0.628
-40.854,-87.988,40.305,1.637,-0.477,-0.554
-38.049,-70.366,40.793,1.796,-0.452,-0.471
-36.402,-53.049,40.122,1.973,-0.398,-0.407
-36.159,-37.012,38.049,2.152,-0.342,-0.364
-35.793,-21.646,35.915,2.3,-0.282,-0.3
-35.976,-7.012,32.927,2.443,-0.226,-0.233
-35.244,5.61,29.268,2.596,-0.183,-0.165
-33.659,16.707,24.878,2.729,-0.152,-0.103
-31.768,26.28,19.695,2.845,-0.136,-0.022
-28.598,34.024,14.085,2.913,-0.133,0.048
-23.659,39.878,8.476,2.932,-0.125,0.117
-18.293,44.268,2.012,2.92,-0.127,0.186
-12.988,47.012,-4.451,2.886,-0.13,0.247
-7.5,48.415,-10.732,2.822,-0.158,0.296
-2.866,48.659,-16.463,2.747,-0.219,0.337
1.098,47.561,-21.89,2.641,-0.263,0.373
4.39,45.488,-26.951,2.523,-0.285,0.41
5.915,43.11,-31.89,2.396,-0.338,0.438
6.585,40.427,-36.402,2.261,-0.401,0.465
6.524,37.5,-40.488,2.113,-0.448,0.501
5.244,34.878,-44.695,1.97,-0.493,0.516
3.11,32.439,-48.78,1.836,-0.537,0.514
0.549,30,-52.561,1.701,-0.57,0.508
-2.317,28.232,-55.732,1.576,-0.609,0.489
