gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-18.293,-2.256,25.427,0.386,-0.073,0.183
-20.549,-1.646,27.012,0.38,-0.039,0.177
-21.768,-0.915,29.085,0.374,-0.006,0.164
-22.256,0.061,31.951,0.366,0.017,0.152
-22.561,0.793,35.549,0.365,0.041,0.145
-22.439,1.524,39.39,0.363,0.053,0.15
-21.707,2.317,43.598,0.371,0.046,0.14
-20.427,3.232,48.11,0.378,0.03,0.119
-18.293,4.268,52.744,0.385,0.017,0.097
-15.793,5.427,57.866,0.402,-0.01,0.072
-12.988,7.073,63.415,0.433,-0.062,0.056
-9.695,8.963,69.207,0.483,-0.134,0.043
-6.159,11.098,75.488,0.54,-0.205,0.034
-2.927,13.902,82.134,0.594,-0.277,0.033
0.122,17.439,89.085,0.661,-0.362,0.04
2.317,21.22,96.098,0.747,-0.455,0.042
2.866,25.366,103.29,0.851,-0.555,0.042
2.134,29.756,110.55,0.946,-0.675,0.054
-0.549,34.207,118.05,1.038,-0.823,0.09
-5.183,38.963,125.98,1.15,-1,0.15
-11.098,43.476,134.33,1.329,-1.195,0.235
-18.659,47.988,143.35,1.585,-1.414,0.342
-27.805,52.5,153.17,1.847,-1.726,0.514
-37.256,57.622,163.84,2.083,-2.067,0.647
-45.671,63.415,175.43,2.264,-2.465,0.731
-53.659,69.39,187.56,2.4,-2.889,0.802
-61.037,75.793,200.06,2.565,-3.354,0.906
-66.89,82.744,213.48,2.63,-3.888,0.932
-70.488,90.671,228.11,2.815,-4.354,1.008
-72.561,99.39,243.72,3.38,-4.635,1.093
-73.11,109.15,260.18,3.622,-4.952,1.079
-72.439,120.18,277.5,3.717,-5.335,1.047
-70.732,132.44,295.55,3.888,-5.796,0.991
-68.537,145.98,313.6,4.025,-5.994,1.005
-66.098,160.85,331.16,3.946,-6.061,1.014
-64.024,178.23,347.87,3.784,-6.017,0.994
-62.561,197.38,363.96,3.588,-5.803,0.944
-59.451,215.73,378.23,3.299,-5.5,0.843
-57.988,234.09,389.08,2.929,-5.162,0.754
-56.341,251.16,394.15,2.49,-4.842,0.652
-52.073,265.37,388.72,2.03,-4.574,0.543
-44.268,278.17,369.82,1.592,-4.337,0.387
-33.11,287.62,335.85,1.156,-4.104,0.242
-12.683,284.69,285.61,0.747,-3.878,0.165
0.244,293.29,229.82,0.409,-3.678,0.112
12.439,314.45,167.62,0.13,-3.49,0.082
29.329,325.55,98.232,-0.106,-3.291,0.086
49.146,329.82,21.829,-0.275,-3.159,0.074
72.988,329.02,-56.28,-0.436,-3.134,0.118
96.037,323.29,-138.9,-0.597,-2.997,0.262
118.66,307.87,-222.93,-0.66,-2.633,0.351
139.57,283.9,-307.81,-0.604,-2.2,0.314
158.54,253.48,-391.71,-0.524,-1.857,0.289
174.94,217.99,-471.34,-0.546,-1.699,0.228
186.65,178.41,-544.88,-0.853,-1.714,0.065
195.12,136.22,-609.45,-1.565,-1.602,-0.023
203.11,93.78,-663.54,-2.337,-1.518,-0.182
207.44,52.866,-705.73,-3.071,-1.624,-0.177
209.09,14.512,-736.89,-3.671,-1.567,0
208.78,-21.768,-758.17,-3.814,-1.022,-0.276
206.04,-56.159,-770.91,-4.013,-0.475,-0.464
201.77,-87.744,-775.61,-4.129,-0.16,-0.384
198.11,-115.92,-771.52,-4.029,0.036,-0.239
193.17,-141.65,-760.18,-3.924,-0.032,-0.212
184.21,-163.84,-741.28,-3.527,-0.019,-0.09
173.05,-182.01,-712.99,-3.387,-0.073,-0.001
161.59,-197.38,-673.35,-3.528,-0.168,0.055
155.24,-209.33,-616.59,-3.598,-0.156,0.115
152.32,-216.65,-540.06,-3.661,-0.141,0.149
146.83,-217.81,-450.79,-3.689,-0.165,0.144
143.29,-210,-354.08,-3.48,-0.01,0.151
133.66,-194.39,-255.37,-3.297,0.046,0.143
123.78,-181.71,-165.79,-3.13,0.034,0.105
117.13,-179.33,-95.183,-2.953,-0.015,0.064
100.79,-169.76,-35.183,-2.807,-0.11,0.072
88.049,-150.43,18.78,-2.674,-0.243,0.11
