gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
5,-1.037,-10.061,0.686,0.327,0.296
5.61,0.183,-8.72,0.66,0.342,0.293
5.671,0.976,-7.5,0.642,0.343,0.278
5.549,1.829,-5.976,0.637,0.338,0.259
5.488,2.744,-4.817,0.619,0.332,0.241
5.244,3.354,-3.841,0.6,0.32,0.228
4.207,3.659,-3.11,0.582,0.3,0.208
3.659,4.024,-2.744,0.582,0.283,0.188
3.293,4.329,-2.561,0.596,0.262,0.162
2.988,4.268,-2.012,0.603,0.247,0.146
3.232,3.659,-1.707,0.605,0.212,0.132
4.451,2.927,-1.098,0.62,0.178,0.118
6.524,2.439,-0.488,0.627,0.118,0.106
9.268,2.012,0.122,0.633,0.071,0.111
12.805,1.768,0.976,0.649,0.053,0.133
16.524,1.402,1.463,0.664,-0.009,0.15
20.122,1.22,1.829,0.658,-0.043,0.157
24.085,1.159,1.524,0.659,-0.085,0.156
27.5,1.463,0.915,0.666,-0.165,0.146
29.878,1.646,0.305,0.669,-0.211,0.142
31.89,1.768,-0.427,0.673,-0.239,0.144
33.171,1.707,-1.646,0.696,-0.294,0.123
33.476,1.646,-3.902,0.774,-0.345,0.079
33.11,1.768,-6.524,0.885,-0.333,0.065
31.89,1.89,-9.146,0.979,-0.302,0.057
30.488,1.646,-12.256,1.049,-0.296,0.025
29.268,1.28,-16.159,1.099,-0.3,0.009
28.598,1.585,-20.183,1.128,-0.25,0.014
27.988,1.707,-24.512,1.164,-0.198,0.016
27.378,1.585,-29.573,1.22,-0.149,0.019
28.293,1.89,-35.183,1.289,-0.079,0.03
29.024,2.744,-40.732,1.332,0.024,0.033
31.28,3.902,-46.89,1.376,0.111,0.012
35.366,5.61,-53.415,1.438,0.175,-0.025
39.756,7.439,-59.878,1.521,0.224,-0.083
44.878,9.634,-66.402,1.611,0.285,-0.14
51.524,11.89,-73.354,1.713,0.347,-0.158
58.963,12.866,-80.671,1.785,0.42,-0.172
66.646,13.659,-87.805,1.854,0.497,-0.187
75.732,15.61,-93.963,1.92,0.604,-0.231
85.854,18.476,-99.207,1.979,0.775,-0.281
94.573,21.28,-103.05,2.05,0.951,-0.341
101.16,24.39,-106.52,2.072,1.115,-0.405
107.44,27.5,-109.45,2.112,1.249,-0.458
110.98,30.488,-112.5,2.124,1.428,-0.536
111.71,33.537,-114.82,2.123,1.643,-0.633
109.63,37.073,-116.28,2.118,1.856,-0.706
106.34,41.159,-117.81,2.11,2.042,-0.777
102.5,45.793,-119.02,2.107,2.246,-0.882
97.195,50.915,-119.02,2.14,2.466,-0.979
90.61,56.159,-117.87,2.18,2.589,-1.059
85.488,61.829,-115.49,2.153,2.694,-1.206
80.854,69.085,-111.83,2.136,2.851,-1.317
76.28,76.768,-107.32,2.14,2.979,-1.412
72.744,85.244,-101.71,2.088,3.118,-1.53
68.049,94.939,-95.854,2.069,3.211,-1.521
66.585,106.4,-89.39,2.043,3.275,-1.515
65.488,118.72,-81.098,1.988,3.406,-1.553
66.037,130.12,-72.439,1.952,3.521,-1.583
66.463,140.43,-62.073,1.897,3.55,-1.672
67.195,149.21,-50,1.839,3.557,-1.747
70,157.87,-37.012,1.742,3.607,-1.754
74.329,167.26,-23.049,1.623,3.62,-1.691
76.463,173.96,-8.354,1.515,3.592,-1.641
75.244,178.78,7.012,1.407,3.609,-1.57
75.061,186.46,23.049,1.252,3.673,-1.486
71.829,196.34,40.061,1.101,3.62,-1.528
64.085,202.93,57.622,0.949,3.422,-1.652
56.22,211.16,75.671,0.71,3.219,-1.756
46.402,221.89,95.061,0.396,3.147,-1.719
32.622,229.63,113.78,0.168,3.234,-1.564
19.573,240.67,132.38,0.091,3.367,-1.331
4.756,251.77,150.85,-0.013,3.495,-1.133
-14.817,262.87,167.32,-0.156,3.607,-0.974
-30.549,274.08,183.84,-0.311,3.614,-0.88
-44.329,284.57,200.67,-0.483,3.583,-0.833
-57.866,294.94,218.23,-0.608,3.461,-0.784
-68.963,306.28,234.57,-0.757,3.257,-0.683
-78.659,317.81,249.33,-0.914,3.04,-0.601
-88.415,329.33,263.48,-1.071,2.802,-0.539
-98.72,342.87,277.32,-1.23,2.615,-0.477
-106.52,358.78,289.82,-1.389,2.489,-0.445
-111.34,375.18,302.01,-1.677,2.557,-0.419
-117.13,390.31,317.19,-1.908,2.5,-0.428
-128.6,399.21,334.21,-2.161,2.143,-0.445
-149.02,398.9,349.39,-2.644,1.823,-0.442
-177.68,393.6,361.22,-3.208,1.574,-0.369
-214.94,390.37,368.54,-3.66,1.398,-0.269
-258.78,387.44,372.87,-3.931,1.172,-0.227
-309.57,382.93,373.84,-3.971,0.84,-0.207
-366.1,376.46,371.77,-3.964,0.425,-0.207
-424.94,366.83,368.23,-3.903,0.261,-0.196
-481.16,357.81,366.04,-3.701,0.148,-0.302
-537.01,348.96,364.57,-3.467,0.098,-0.478
-589.63,338.29,363.84,-3.22,-0.038,-0.541
-641.04,327.32,363.48,-3.09,-0.371,-0.688
-689.21,317.01,365.49,-3.12,-1.017,-0.696
-743.54,308.48,366.52,-2.854,-1.264,-0.575
-793.29,298.23,363.05,-2.749,-1.236,-0.647
-832.38,293.35,362.87,-2.76,-1.467,-0.681
-872.44,293.54,363.48,-2.795,-1.57,-0.673
-912.5,283.29,362.19,-2.85,-1.618,-0.703
-948.11,260.55,358.54,-2.753,-1.473,-0.706
-969.39,231.4,351.71,-2.625,-1.342,-0.735
-975.06,203.9,339.27,-2.462,-1.205,-0.637
-964.33,179.76,325.92,-2.375,-1.204,-0.54
-940.43,151.83,310.55,-2.299,-1.097,-0.464
-893.96,117.87,293.84,-2.347,-1.182,-0.436
-831.59,86.89,275.49,-2.297,-1.229,-0.418
-755.98,62.012,255.06,-2.204,-1.196,-0.426
-657.87,49.939,235.55,-2.092,-1.223,-0.404
-523.72,36.829,216.04,-1.949,-1.249,-0.365
-408.84,19.39,192.56,-1.735,-1.224,-0.277
-296.22,15.122,162.32,-1.63,-1.21,-0.205
-179.39,10.061,132.5,-1.583,-1.182,-0.141
-74.512,4.756,104.45,-1.606,-1.174,-0.109
21.037,-7.744,78.902,-1.586,-1.208,-0.064
101.65,-25.976,57.378,-1.58,-1.207,-0.036
162.13,-46.037,39.634,-1.62,-1.189,0.006
203.78,-65.671,25.366,-1.588,-1.145,0.124
232.62,-78.72,11.829,-1.53,-1.086,0.273
246.65,-86.402,1.402,-1.552,-0.979,0.355
254.51,-92.988,-7.744,-1.527,-0.907,0.497
257.38,-101.28,-14.085,-1.575,-0.717,0.568
256.34,-106.46,-19.024,-1.476,-0.645,0.709
253.17,-110.55,-24.756,-1.484,-0.567,0.788
248.54,-114.88,-29.39,-1.47,-0.39,0.896
243.9,-115.98,-35.122,-1.406,-0.408,1.028
240.55,-108.9,-41.89,-1.374,-0.302,1.112
237.74,-99.512,-49.146,-1.435,-0.201,1.176
237.56,-91.951,-56.402,-1.406,-0.024,1.275
241.89,-88.293,-62.927,-1.33,0.032,1.305
248.41,-82.927,-68.78,-1.294,0.036,1.353
257.19,-79.634,-73.415,-1.294,0.25,1.323
