gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-23.476,-0.61,-7.195,0.785,0.117,0.1
-21.768,0.61,-6.524,0.784,0.109,0.1
-19.695,1.402,-5.488,0.777,0.094,0.093
-17.561,2.134,-4.329,0.773,0.085,0.093
-15.488,2.683,-3.293,0.782,0.073,0.095
-13.232,2.927,-2.256,0.792,0.06,0.099
-10.854,3.11,-1.341,0.81,0.051,0.097
-8.415,2.927,-0.549,0.843,0.043,0.093
-6.098,2.683,0.183,0.872,0.038,0.097
-3.659,2.378,0.671,0.906,0.039,0.101
-1.22,2.012,1.22,0.939,0.041,0.1
1.28,1.707,1.463,0.962,0.044,0.104
3.598,1.159,1.646,0.984,0.054,0.105
6.037,0.61,1.768,1.008,0.064,0.105
8.354,0.244,1.829,1.041,0.072,0.102
10.305,0.488,1.829,1.08,0.086,0.094
12.378,0.793,1.951,1.135,0.076,0.07
14.878,0.671,2.256,1.192,0.091,0.073
17.073,0.732,2.683,1.247,0.112,0.064
18.841,0.976,3.537,1.303,0.123,0.057
20.427,1.22,4.634,1.37,0.134,0.054
22.012,1.768,5.915,1.44,0.143,0.05
23.11,2.317,7.134,1.524,0.151,0.054
23.72,3.049,8.232,1.598,0.156,0.062
24.39,4.207,9.268,1.667,0.172,0.07
24.512,5.488,9.695,1.747,0.19,0.089
23.902,7.256,9.878,1.819,0.199,0.12
23.293,9.512,9.756,1.876,0.215,0.166
22.5,12.073,9.207,1.925,0.2,0.23
21.28,15.305,8.293,1.968,0.167,0.291
20,18.598,7.134,2.023,0.151,0.376
17.805,21.402,5.854,2.109,0.146,0.476
15.732,24.939,4.207,2.281,0.111,0.587
13.537,29.024,2.378,2.532,0.023,0.701
10.366,33.171,0.183,2.729,-0.031,0.853
7.073,37.927,-2.378,2.927,-0.124,1.007
3.963,42.927,-4.939,3.076,-0.261,1.164
0.427,48.171,-6.707,3.137,-0.391,1.237
-3.78,54.39,-8.659,3.27,-0.514,1.372
-8.293,61.28,-10.488,3.362,-0.666,1.362
-13.171,68.232,-12.378,3.443,-0.773,1.369
-18.902,76.037,-14.146,3.585,-0.897,1.41
-24.634,84.512,-16.098,3.608,-0.969,1.393
-30.549,93.902,-18.171,3.593,-1.039,1.294
-37.988,103.84,-20.427,3.623,-1.122,1.177
-46.585,114.69,-23.354,3.611,-1.156,1.063
