gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-102.62,29.756,6.098,0.311,0.315,-0.221
-104.57,29.939,3.354,0.302,0.316,-0.229
-104.76,29.573,0.549,0.296,0.319,-0.232
-102.99,28.72,-2.256,0.285,0.32,-0.243
-99.817,27.622,-5.244,0.262,0.319,-0.248
-94.756,25.61,-8.171,0.234,0.307,-0.253
-88.598,22.927,-11.159,0.205,0.283,-0.264
-81.402,20.061,-14.268,0.174,0.264,-0.262
-73.598,16.768,-17.317,0.145,0.249,-0.265
-65.183,13.049,-20.488,0.116,0.228,-0.273
-56.341,8.902,-23.72,0.084,0.196,-0.279
-48.11,4.329,-27.134,0.047,0.168,-0.28
-40.854,-0.671,-30.671,0.008,0.132,-0.276
-34.146,-5.793,-34.207,-0.033,0.083,-0.273
-28.598,-10.854,-37.866,-0.07,0.034,-0.277
-24.207,-16.341,-41.707,-0.11,-0.019,-0.283
-21.159,-21.829,-45.61,-0.14,-0.062,-0.273
-19.817,-27.439,-49.39,-0.179,-0.11,-0.265
-19.756,-32.927,-53.354,-0.217,-0.168,-0.259
-20,-38.293,-57.195,-0.25,-0.23,-0.248
-21.22,-43.415,-61.22,-0.267,-0.287,-0.247
-23.049,-48.293,-65.366,-0.282,-0.347,-0.241
-25.061,-53.354,-69.695,-0.285,-0.403,-0.24
-27.744,-58.171,-74.695,-0.298,-0.471,-0.236
-31.037,-62.378,-80.549,-0.307,-0.537,-0.245
-34.512,-66.402,-87.012,-0.299,-0.581,-0.245
-38.171,-69.878,-94.085,-0.285,-0.622,-0.242
-41.646,-72.927,-101.89,-0.263,-0.646,-0.248
-45.305,-75.244,-110.24,-0.249,-0.652,-0.252
-49.207,-77.256,-119.02,-0.236,-0.66,-0.269
-53.354,-79.268,-128.41,-0.214,-0.665,-0.288
-57.317,-80.793,-138.41,-0.189,-0.669,-0.308
-61.037,-81.89,-149.21,-0.149,-0.666,-0.335
-64.39,-82.927,-160.91,-0.115,-0.647,-0.376
-68.11,-83.537,-173.66,-0.029,-0.629,-0.433
-70.976,-83.78,-186.89,0.099,-0.585,-0.492
-73.049,-83.537,-201.28,0.25,-0.539,-0.501
-73.963,-82.683,-215.79,0.43,-0.504,-0.514
-74.207,-81.585,-231.04,0.641,-0.451,-0.559
-73.537,-80.061,-247.56,0.873,-0.348,-0.627
-72.195,-77.988,-264.08,1.109,-0.273,-0.674
-69.573,-75.427,-281.34,1.357,-0.159,-0.73
-66.402,-72.073,-298.78,1.534,0.032,-0.75
-61.768,-68.11,-316.52,1.675,0.298,-0.754
-56.463,-63.232,-334.51,1.874,0.583,-0.78
-49.939,-57.439,-352.07,2.159,0.954,-0.82
-42.744,-52.012,-368.78,2.461,1.445,-0.915
-34.268,-46.22,-384.94,2.622,2.093,-1.13
-22.866,-35.732,-400.18,2.607,2.697,-1.443
-10.793,-25.61,-415.73,2.45,3.508,-1.823
3.841,-15.854,-431.65,2.22,4.438,-2.235
21.28,-4.756,-448.23,1.964,5.409,-2.66
41.28,8.415,-465.24,1.719,6.47,-3.206
63.232,21.646,-481.71,1.342,7.551,-3.588
90.061,35.183,-497.19,1.099,7.417,-4.191
