gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
4.817,7.5,7.195,0.712,-0.323,0.26
5.671,7.927,8.659,0.694,-0.309,0.251
6.707,8.537,10.244,0.68,-0.298,0.238
8.11,8.963,12.256,0.663,-0.285,0.227
9.39,10.122,14.573,0.649,-0.276,0.216
10.244,10.793,17.012,0.628,-0.262,0.201
9.817,11.524,20.793,0.607,-0.247,0.177
9.207,14.695,26.037,0.582,-0.228,0.156
7.195,17.561,33.049,0.548,-0.204,0.128
62.988,14.268,37.439,0.512,-0.167,0.102
17.988,30.61,55.549,0.484,-0.122,0.074
-19.024,35.915,77.561,0.448,-0.068,0.04
-23.537,40.793,96.22,0.397,-0.015,0.009
-28.11,48.476,123.17,0.331,0.043,-0.03
-32.805,54.207,155.98,0.248,0.081,-0.053
-37.012,56.707,191.71,0.035,-0.093,-0.116
-40.183,59.329,229.51,0.14,0.369,-0.049
-34.451,62.988,269.02,0.004,0.535,-0.042
-23.963,66.037,307.44,-0.255,0.233,0.046
-12.134,68.72,341.52,-0.385,0.359,0.057
10.671,69.512,370.37,-0.401,0.315,0.099
40.488,69.939,393.29,-0.539,0.271,0.187
72.927,67.561,410.85,-0.725,0.196,0.313
109.88,62.805,425.67,-0.883,0.192,0.426
147.32,57.805,438.72,-0.962,0.139,0.543
180.24,54.878,449.45,-1.019,0.135,0.783
214.09,53.659,460.49,-0.999,0.195,1.015
244.27,51.707,468.9,-0.877,0.19,1.235
268.29,47.256,473.78,-0.714,0.13,1.421
289.27,43.354,478.17,-0.539,0.018,1.578
306.04,41.402,481.89,-0.345,-0.155,1.7
318.66,40.244,482.62,-0.17,-0.386,1.844
328.9,37.805,479.57,0.025,-0.576,1.938
335.49,35.061,472.26,0.31,-0.849,2.044
337.99,31.402,459.08,0.585,-1.085,2.176
337.56,26.098,438.54,0.862,-1.288,2.244
333.6,19.207,410.24,1.157,-1.494,2.267
326.04,12.561,374.69,1.484,-1.759,2.268
315.49,3.659,330.79,1.825,-2.052,2.257
302.56,-10,279.51,2.167,-2.332,2.214
285.55,-25.976,223.35,2.532,-2.58,2.174
266.34,-44.756,161.77,2.887,-2.792,2.113
248.54,-65.488,96.768,3.241,-2.981,1.972
229.69,-82.927,31.768,3.603,-3.178,1.765
208.35,-98.415,-32.5,3.963,-3.42,1.525
185.18,-111.58,-94.329,4.245,-3.667,1.274
157.32,-121.4,-154.02,4.391,-3.92,1.028
125.85,-125.18,-211.59,4.39,-4.221,0.769
92.622,-122.99,-266.34,4.254,-4.461,0.497
58.537,-114.27,-317.74,4.01,-4.636,0.207
27.622,-98.841,-366.71,3.723,-4.879,-0.059
1.585,-77.195,-414.02,3.375,-5.057,-0.289
-20.183,-47.866,-458.72,2.997,-5.13,-0.518
-34.817,-13.171,-500.37,2.647,-5.163,-0.713
-41.28,25,-538.78,2.343,-5.164,-0.891
-40.305,67.012,-574.21,2.051,-5.155,-0.999
-30.915,112.5,-606.52,1.779,-5.131,-1.055
-14.939,159.76,-635.79,1.535,-5.044,-1.091
4.756,208.48,-661.59,1.352,-4.94,-1.121
29.878,255.91,-685.43,1.21,-4.852,-1.107
59.329,301.46,-707.2,1.067,-4.755,-1.07
87.439,343.9,-724.76,0.889,-4.637,-1.027
116.16,383.48,-734.94,0.68,-4.526,-0.975
146.22,421.71,-738.17,0.446,-4.436,-0.91
181.77,457.01,-736.34,0.157,-4.314,-0.841
223.17,487.81,-729.33,-0.156,-4.146,-0.789
269.94,514.39,-717.38,-0.452,-4.021,-0.728
325.43,536.65,-698.35,-0.674,-3.974,-0.626
393.11,552.5,-667.32,-0.89,-3.944,-0.57
