gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
51.098,-1.159,-39.817,-1.013,0.245,0.053
50.183,-0.854,-40.366,-1.012,0.248,0.06
49.085,-0.976,-40.793,-1.009,0.245,0.06
47.622,-1.341,-41.402,-1.009,0.247,0.055
45.793,-2.195,-41.951,-0.999,0.246,0.055
43.659,-3.354,-42.5,-0.997,0.242,0.055
41.707,-4.512,-43.049,-0.996,0.242,0.051
39.268,-5.671,-43.476,-0.993,0.238,0.053
36.768,-6.768,-43.598,-0.997,0.236,0.054
33.902,-7.927,-43.78,-0.997,0.231,0.055
51.098,-1.159,-39.817,-1.013,0.245,0.053
50.183,-0.854,-40.366,-1.012,0.248,0.06
49.085,-0.976,-40.793,-1.009,0.245,0.06
47.622,-1.341,-41.402,-1.009,0.247,0.055
45.793,-2.195,-41.951,-0.999,0.246,0.055
43.659,-3.354,-42.5,-0.997,0.242,0.055
41.707,-4.512,-43.049,-0.996,0.242,0.051
39.268,-5.671,-43.476,-0.993,0.238,0.053
36.768,-6.768,-43.598,-0.997,0.236,0.054
33.902,-7.927,-43.78,-0.997,0.231,0.055
30.854,-9.085,-43.841,-0.992,0.23,0.054
27.683,-10.366,-43.841,-0.988,0.229,0.057
24.39,-11.829,-43.72,-0.984,0.227,0.052
21.22,-13.232,-43.72,-0.982,0.223,0.047
18.049,-14.146,-43.78,-0.982,0.222,0.047
14.817,-15.122,-43.537,-0.981,0.217,0.042
11.951,-15.854,-43.293,-0.982,0.215,0.04
9.329,-16.22,-43.171,-0.982,0.215,0.046
6.89,-16.524,-43.11,-0.982,0.209,0.046
4.512,-16.646,-43.11,-0.981,0.21,0.048
2.439,-16.768,-43.049,-0.984,0.212,0.054
0.732,-16.646,-43.049,-0.99,0.215,0.064
-0.793,-16.524,-43.11,-0.99,0.216,0.065
-2.256,-15.976,-42.927,-0.99,0.216,0.067
-3.293,-15.488,-42.744,-0.984,0.217,0.06
-3.963,-14.756,-42.744,-0.984,0.218,0.067
-4.329,-13.72,-42.439,-0.986,0.221,0.073
