gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-2.744,-6.463,-1.463,-0.844,-0.354,0.399
-2.744,-6.341,-2.073,-0.848,-0.355,0.397
-2.683,-6.22,-2.5,-0.851,-0.357,0.393
-2.561,-6.098,-2.866,-0.853,-0.359,0.385
-2.256,-6.098,-3.049,-0.852,-0.36,0.384
-2.195,-6.22,-3.232,-0.855,-0.356,0.384
-1.951,-6.463,-3.354,-0.856,-0.356,0.385
-1.646,-6.768,-3.354,-0.862,-0.354,0.39
-1.341,-6.951,-3.232,-0.859,-0.352,0.392
-0.976,-7.012,-3.293,-0.858,-0.355,0.394
-0.793,-7.012,-3.171,-0.863,-0.356,0.399
-0.671,-7.012,-3.11,-0.866,-0.356,0.401
-0.671,-6.829,-3.11,-0.866,-0.361,0.404
-0.671,-6.585,-3.049,-0.871,-0.357,0.403
-0.671,-6.402,-3.11,-0.869,-0.362,0.401
-0.854,-6.22,-3.11,-0.871,-0.365,0.404
-0.854,-6.098,-2.927,-0.878,-0.365,0.406
-1.037,-6.037,-2.622,-0.889,-0.364,0.409
-1.159,-5.915,-2.256,-0.893,-0.362,0.414
-1.22,-5.732,-1.951,-0.89,-0.364,0.421
-1.159,-5.488,-1.341,-0.886,-0.366,0.427
-1.402,-5.122,-0.915,-0.885,-0.367,0.432
-1.463,-4.939,-0.549,-0.877,-0.371,0.429
-1.402,-4.756,-0.244,-0.877,-0.371,0.425
-1.159,-4.634,0.061,-0.879,-0.37,0.426
-0.976,-4.451,0.244,-0.876,-0.37,0.43
-0.793,-4.085,0.549,-0.879,-0.373,0.433
-0.427,-3.841,0.671,-0.885,-0.369,0.439
-0.061,-3.476,0.976,-0.895,-0.374,0.438
0.427,-3.171,1.463,-0.901,-0.379,0.438
0.915,-2.988,1.646,-0.902,-0.375,0.432
1.098,-2.927,2.012,-0.902,-0.374,0.431
1.098,-2.805,2.317,-0.902,-0.372,0.428
0.915,-2.622,2.561,-0.902,-0.37,0.432
0.61,-2.622,3.049,-0.902,-0.37,0.43
-0.061,-2.439,3.415,-0.894,-0.368,0.427
-0.976,-2.317,3.78,-0.889,-0.362,0.428
-1.707,-2.073,3.902,-0.889,-0.352,0.42
-2.744,-1.951,4.085,-0.892,-0.349,0.418
-3.78,-2.012,4.268,-0.895,-0.35,0.412
-4.573,-2.073,4.39,-0.896,-0.349,0.412
-5.366,-2.195,4.512,-0.894,-0.348,0.41
-5.671,-2.256,4.756,-0.891,-0.354,0.406
-5.915,-2.439,4.939,-0.892,-0.355,0.412
-6.22,-2.622,5,-0.89,-0.352,0.418
-6.037,-2.744,5.244,-0.889,-0.352,0.415
-5.427,-2.927,5.488,-0.888,-0.357,0.411
-4.756,-2.988,5.793,-0.884,-0.364,0.406
-4.329,-3.171,5.854,-0.883,-0.369,0.396
-3.537,-3.293,5.976,-0.882,-0.373,0.396
-2.5,-3.415,5.976,-0.881,-0.368,0.396
-1.707,-3.537,5.976,-0.878,-0.369,0.398
-0.976,-3.598,6.037,-0.88,-0.374,0.401
-0.366,-3.72,6.098,-0.886,-0.381,0.396
0.122,-3.78,5.976,-0.883,-0.387,0.399
